date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,报告日,净利润,营业利润,利润总额,应收账款,存货,资产总计,负债合计,经营活动产生的现金流量净额,投资活动产生的现金流量净额,筹资活动产生的现金流量净额,现金及现金等价物净增加额,实际披露日,stock_status,营业总收入,营业总成本,营业成本,所得税费用,归属于母公司所有者的净利润,货币资金,流动资产合计,非流动资产合计,流动负债合计,非流动负债合计,所有者权益(或股东权益)合计,流通股本,流通市值
2010-01-04,sh.600000,21.83,21.87,21.16,21.19,21.69,66191338.0,1419984112.0,3,0.835129,1,-2.3052,14.435065,2.877081,5.316299,7.09124,0,2009-09-30,10290733118.98,13585412480.36,13591562852.07,1575265796.58,,1587382922414.0002,1522261210505.24,40793086276.34,-29838291377.61,7129777059.47,18084571958.2,2009-12-30,正常票,,,,,,,,,,,,7925881869.747068,167949436819.9404
2010-01-04,sh.600003,3.87,3.87,3.87,3.87,3.87,0.0,0.0,3,,0,0.0,14.616711,1.251395,6.373314,88.204958,1,2009-09-30,210125893.08,280383563.49,283723602.31,25494787.24,7265359.73,5289278813.19,1152786688.74,295097518.0,-106148066.49,-1592096.98,187357354.53,2009-12-30,退市票,558588898.36,301026613.38,217678307.0,73597709.23,201234607.87,795688029.01,1013100142.87,4276178670.32,765786688.74,387000000.0,4136492124.45,,
2010-01-04,sh.600004,10.15,10.28,10.14,10.15,10.15,15478854.0,157747809.0,3,1.52501,1,0.0,23.850926,1.936616,3.724792,72.550299,0,2009-09-30,400267874.44,545880963.13,549179352.96,1077178655.57,27653653.69,9199575635.32,2976751052.16,630370222.09,-264224011.35,-131186173.99,234960036.75,2009-12-30,正常票,2349252600.06,1806742862.18,1352172928.68,148911478.52,378685744.03,795704976.14,2012961792.16,7186613843.16,2726751052.16,250000000.0,6222824583.16,1015000163.9333513,10302251663.923515
2010-01-04,sh.600005,8.35,8.38,8.17,8.18,8.28,56517668.0,466915654.0,3,1.802594,1,-1.2077,-69.227791,2.38092,1.218806,760.47878,0,2009-09-30,1053036855.59,1389548144.66,1396552198.84,545388135.01,8963764636.97,74127607694.72,47120273123.23,6298001534.2,-3101062617.17,-3544603388.45,-347836614.88,2009-12-30,退市票,37396004895.0,36547850468.94,34170345818.91,343515343.25,1052538797.01,1882501882.2,13926558770.68,60201048924.04,34982813101.52,12137460021.71,27007334571.49,3135352053.762522,25647179799.77743
2010-01-04,sh.600006,6.93,7.07,6.9,6.91,6.86,23281430.0,162801866.0,3,1.164071,1,0.7289,70.432299,2.583973,1.062389,8.611565,0,2009-09-30,298823501.86,301008717.05,355740779.05,858309358.06,2436618925.53,14822180516.82,8129837657.01,2490061755.72,11971515.29,-1180938124.57,1326386996.48,2009-12-30,正常票,10356005144.43,10225661222.9,9027248913.17,56917277.19,256093522.33,5070132383.57,10450498242.18,4371682274.64,8036256757.12,93580899.89,6692342859.81,2000000859.0541298,13820005936.064037
2010-01-04,sh.600007,12.4,12.4,11.83,11.86,12.28,5257993.0,63162879.0,3,0.521998,1,-3.4202,38.565061,2.773622,13.55399,-586.319137,0,2009-09-30,237307076.0,315955158.0,316928207.0,16874019.0,7577056.0,8781233635.0,4473022153.0,279433146.0,-487770977.0,251727644.0,43197941.0,2009-12-30,正常票,655548161.0,339802535.0,244503080.0,79621131.0,237001344.0,235964530.0,299593722.0,8481639913.0,903022153.0,3570000000.0,4308211482.0,1007282211.8092407,11946367032.057594
2010-01-04,sh.600008,7.27,7.3,7.13,7.15,7.24,14070632.0,101152799.0,3,0.639574,1,-1.2431,47.366442,3.378579,8.130128,33.099305,0,2009-09-30,231541860.24,106853688.34,294262025.84,234306250.94,654050158.97,13420836808.0,6263358203.81,535020804.84,-216375957.3,-392136228.74,-73433678.76,2009-12-30,正常票,1340180469.74,1223582441.31,802661882.25,62720165.6,186750959.26,2042013038.26,4679753902.74,8741082905.26,2986273839.65,3277084364.16,7157478604.19,2200000625.4162927,15730004471.726494
2010-01-04,sh.600009,17.45,18.25,17.45,17.9,17.42,47821206.0,857248185.0,3,4.373319,1,2.7555,51.177737,2.736846,10.245908,317.685776,0,2009-09-30,509701065.21,596390420.0,596317129.8,1385097372.51,17927118.48,16972837384.53,4252654129.89,734624749.42,-110516932.63,-566954981.35,57152835.44,2009-12-30,正常票,2438599575.71,2031336336.02,1707351504.28,86616064.59,476635299.38,434205065.07,1887840185.39,15084997199.14,1773492910.89,2479161219.0,12720183254.64,1093476281.9725704,19573225447.30901
2010-01-04,sh.600010,4.65,4.66,4.58,4.58,4.64,31292193.0,143979130.0,3,1.150172,1,-1.2931,-44.407968,2.146984,0.785966,-32.500335,0,2009-09-30,-328884044.11,-492576743.31,-431477866.67,533276500.08,10974564710.34,40922450581.04,27219372453.4,971288870.56,-2381182025.7,238700823.78,-1171192331.36,2009-12-30,正常票,24807111724.04,25315516511.14,23967131530.54,-102593822.56,-328884044.11,3258888842.79,19513374519.78,21409076061.26,17176322816.22,10043049637.18,13703078127.64,2720653345.7604604,12460592323.582909
2010-01-04,sh.600011,8.11,8.13,7.99,8.01,8.01,13471969.0,108432774.0,3,0.468067,1,0.0,32.306034,2.427654,1.355051,-22.300194,0,2009-09-30,4241763543.0,4553440197.0,4681336180.0,7703630209.0,3896102772.0,188446334414.0,141252947603.0,11365699579.0,-18951219154.0,7623678855.0,67758238.0,2009-12-30,正常票,56677500280.0,52725722215.0,47704098180.0,439572637.0,4130611622.0,6302740998.0,21546971063.0,166899363351.0,51209585223.0,90043362380.0,47193386811.0,2878213802.7248235,23054492559.825836
2010-01-04,sh.600012,5.97,5.97,5.86,5.87,5.94,4457081.0,26295595.0,3,0.382385,1,-1.1785,14.278326,1.888064,5.647122,-496.782107,0,2009-09-30,577822225.21,743914987.33,746718088.04,,1859439.85,9068873636.36,3693863799.82,803554857.51,-736519534.24,-124383637.42,-57348314.15,2009-12-30,正常票,1303016739.73,560758625.22,380359078.28,168895862.83,535413191.72,473886398.07,499681723.25,8569191913.11,3326615078.58,367248721.24,5375009836.54,1165600376.5838096,6842074210.546963
2010-01-04,sh.600015,12.41,12.57,12.25,12.28,12.42,44973906.0,558132565.0,3,1.188528,1,-1.1272,23.507309,2.104577,3.662196,0.989417,0,2009-09-30,2642517080.41,3446519888.64,3437762666.05,,,823631673943.5598,794512434969.8301,9599909321.04,2638024058.67,-1387721175.64,10851638197.04,2009-12-30,正常票,,,,,,,,,,,,3784000545.212229,46467526695.20617
2010-01-04,sh.600016,8.03,8.15,7.92,7.93,7.91,243569126.0,1957852262.0,3,1.293997,1,0.2528,18.683444,2.96173,4.510587,3.462924,0,2009-09-30,10213000000.0,13405000000.0,13473000000.0,,,1402936000000.0,1342525000000.0,15516000000.0,-14941000000.0,-10794000000.0,-10119000000.0,2009-12-30,正常票,,,,,,,,,,,,18823005462.918385,149266433320.94278
2010-01-04,sh.600017,6.91,7.02,6.85,6.91,6.91,18001888.0,125331695.0,3,1.42805,1,0.0,33.461802,2.581259,5.402586,34.536323,0,2009-09-30,310419795.79,400772540.7,404171110.34,266732262.56,124860113.92,7683451959.34,3352728287.16,398263194.24,-1782414083.9,1679540256.92,295389367.26,2009-12-30,正常票,1753545945.85,1382184163.74,1244575335.42,93751314.55,280296349.6,545971867.73,1379863566.13,6303588393.21,1613955514.17,1738772772.99,4330723672.18,1260592276.180806,8710692628.409369
2010-01-04,sh.600018,5.81,5.85,5.77,5.79,5.8,18708002.0,108775591.0,3,0.089125,1,-0.1724,35.483349,3.94091,7.417351,103.557565,0,2009-09-30,3478277260.76,3617063228.96,3833695961.7,2531730065.51,1058082284.64,64963031366.41,27959133994.34,2219912436.2,-1010338901.55,-103821063.28,1106265399.56,2009-12-30,正常票,12059328104.11,8591536887.85,6696184816.99,355418700.94,2728400193.87,7541586004.32,22490854563.66,42472176802.75,19790305194.02,8168828800.32,37003897372.07,20990745582.047688,121536416920.0561
2010-01-04,sh.600019,9.7,9.72,9.44,9.45,9.66,78327671.0,748314223.0,3,0.44728,1,-2.1739,-85.448102,1.781482,1.123015,-40.849301,0,2009-09-30,3996824564.31,4923499598.74,5073278846.0,7582452065.84,30867997223.57,201189624007.11,102245007462.39,18933989191.13,-12721645645.8,-7760554650.99,-1540643403.42,2009-12-30,正常票,106514822913.14,102263039924.18,96898770374.22,1076454281.69,3704584433.9,5649254577.29,55683193650.86,145506430356.24997,70902632694.59,31342374767.8,98944616544.72,17511999418.70864,165488394506.79663
2010-01-04,sh.600020,4.4,4.4,4.32,4.33,4.38,9785571.0,42649469.0,3,0.762423,1,-1.1416,25.781678,1.606679,4.685414,-36.380491,0,2009-09-30,381285876.27,518410206.63,520212033.66,134222352.78,423154384.89,20902821575.02,15112979074.14,398918478.95,-1669810872.09,1010784485.28,-260107907.86,2009-12-30,正常票,1483913625.33,1014587939.35,546337028.73,138926157.39,381876653.71,1749627061.2,3700082112.77,17202739462.25,6275584022.03,8837395052.11,5789842500.88,1283483184.5314217,5557482189.021056
2010-01-04,sh.600021,5.82,5.86,5.77,5.79,5.8,5522963.0,32039201.0,3,0.258114,1,-0.1724,613.740654,2.173926,1.474093,11.369346,0,2009-09-30,370174719.74,410237947.27,379126520.82,745075407.3,384833441.51,31914614862.32,23786269898.18,2905708102.77,-853271070.52,-496130997.09,1556306035.16,2009-12-30,正常票,7785051703.56,7897798467.26,7015738789.93,8951801.08,280579633.83,2355746761.77,4085650762.25,27828964100.07,15640870606.42,8145399291.76,8128344964.14,2139737867.7638562,12389082254.352728
