报告日,营业总收入,营业收入,利息收入,已赚保费,手续费及佣金收入,房地产销售收入,其他业务收入,营业总成本,营业成本,手续费及佣金支出,房地产销售成本,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,其他业务成本,营业税金及附加,研发费用,销售费用,管理费用,财务费用,利息费用,利息支出,投资收益,对联营企业和合营企业的投资收益,以摊余成本计量的金融资产终止确认产生的收益,汇兑收益,净敞口套期收益,公允价值变动收益,期货损益,托管收益,补贴收入,其他收益,资产减值损失,信用减值损失,其他业务利润,资产处置收益,营业利润,营业外收入,非流动资产处置利得,营业外支出,非流动资产处置损失,利润总额,所得税费用,未确认投资损失,净利润,持续经营净利润,终止经营净利润,归属于母公司所有者的净利润,被合并方在合并前实现净利润,少数股东损益,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划变动额,权益法下不能转损益的其他综合收益,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下可转损益的其他综合收益,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,其他,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20250930,322321866.91,322321866.91,,,,,,256754870.94,233383526.99,,,,,,,,,5368399.51,10648307.54,7061107.76,10793185.92,-10499656.78,81048.68,,678856.87,,,,,1372218.56,,,,2995406.17,-4123381.3,-1318111.99,,-9680.2,65162304.08,5031.14,,212688.92,,64954646.3,9384009.82,,55570636.48,55570636.48,,54975667.13,,594969.35,,,,,,,,,,,,,,,,,,,,55570636.48,54975667.13,594969.35,0.6,0.6,定期报告,未审计,20251028,CNY,合并期末,2025-10-28T19:54:05
20250630,201290080.54,201290080.54,,,,,,162790047.74,150590321.12,,,,,,,,,3790840.81,7004115.08,4476664.09,7437075.03,-10508968.39,55748.68,,472910.06,,,,,854944.63,,,,1807553.26,-3060023.22,814735.74,,-9680.2,39380473.07,,,210569.48,,39169903.59,6097311.47,,33072592.12,33072592.12,,32696291.42,,376300.7,,,,,,,,,,,,,,,,,,,,33072592.12,32696291.42,376300.7,0.36,0.36,定期报告,未审计,20250820,CNY,合并期末,2025-08-20T18:02:03
20250331,90972487.72,90972487.72,,,,,,78085165.26,69259596.51,,,,,,,,,1931251.5,3612698.36,1896428.53,3743465.25,-2358274.89,27765.35,,357432.04,,,,,196200.28,,,,1197148.61,-642527.77,939386.2,,-9680.2,14925281.62,,,206113.66,,14719167.96,2423571.53,,12295596.43,12295596.43,,12089344.6,,206251.83,,,,,,,,,,,,,,,,,,,,12295596.43,12089344.6,206251.83,0.13,0.13,定期报告,未审计,20250422,CNY,合并期末,2025-04-22T21:40:03
20241231,474104649.2,474104649.2,,,,,,400154634.77,349062318.54,,,,,,,,,7139755.21,16144913.69,12885550.57,16364889.12,-1442792.36,136355.55,,1818341.76,,,,,163705.15,,,,4377145.79,-3569194.25,-1612995.8,,149727.56,75276744.64,3000.0,,321924.04,,74957820.6,9979055.0,,64978765.6,64978765.6,,64474634.66,,504130.94,,,,,,,,,,,,,,,,,,,,64978765.6,64474634.66,504130.94,0.7,0.7,定期报告,是,20250331,CNY,合并期末,2025-03-31T19:52:04
20240930,352937982.8,352937982.8,,,,,,291993940.69,258259821.8,,,,,,,,,4797790.75,11551007.15,8567093.51,11144482.68,-2326255.2,102483.33,,1107569.55,,,,,335057.74,,,,3178382.9,-3098645.04,-1053526.3,,149727.56,61562608.52,3000.0,,118711.72,,61446896.8,8337743.98,,53109152.82,53109152.82,,52585766.31,,523386.51,,,,,,,,,,,,,,,,,,,,53109152.82,52585766.31,523386.51,0.57,0.57,定期报告,未审计,20251028,CNY,合并期末,2024-10-28T18:37:03
20240630,217419410.91,217419410.91,,,,,,184643643.34,161634751.75,,,,,,,,,3388349.37,7743006.57,5327563.87,7467079.69,-917107.91,68238.89,,798944.17,,,,,159331.25,,,,2013091.8,-1419619.51,-788172.52,,137115.98,33676458.74,,,1405.02,,33675053.72,4484139.88,,29190913.84,29190913.84,,28902995.93,,287917.91,,,,,,,,,,,,,,,,,,,,29190913.84,28902995.93,287917.91,0.32,0.32,定期报告,未审计,20250820,CNY,合并期末,2024-08-26T18:37:06
20240331,96399161.33,96399161.33,,,,,,83538177.86,72633228.77,,,,,,,,,1667143.97,3261420.96,2286561.99,3495377.89,194444.28,33994.45,,358473.67,,,,,-192302.78,,,,804071.42,-795356.26,458932.02,,39847.6,13534649.14,,,984.88,,13533664.26,1850527.42,,11683136.84,11683136.84,,11595185.93,,87950.91,,,,,,,,,,,,,,,,,,,,11683136.84,11595185.93,87950.91,0.13,0.13,定期报告,未审计,20250422,CNY,合并期末,2024-04-26T19:42:04
20231231,403749232.84,403749232.84,,,,,,352213047.12,309707064.69,,,,,,,,,7088131.93,14795561.55,8478353.86,16200454.26,-4056519.17,51750.0,,192932.28,,,,,314829.73,,,,2791979.07,-543356.76,-1511196.56,,39656.4,52821029.88,6222568.97,,301729.46,,58741869.39,7535748.65,,51206120.74,51206120.74,,50669488.94,,536631.8,,,,,,,,,,,,,,,,,,,,51206120.74,50669488.94,536631.8,0.54,0.54,定期报告,是,20250331,CNY,合并期末,2024-04-26T19:42:04
20230930,297176556.02,297176556.02,,,,,,255691944.21,226298198.07,,,,,,,,,5056685.93,10007703.36,5881228.04,11537146.69,-3089017.88,16866.67,,-227295.17,,,,,35476.6,,,,2000100.26,-264447.89,-1028966.56,,12990.25,42012469.3,3708794.45,,154865.45,,45566398.3,4805036.66,,40761361.64,40761361.64,,40308978.62,,452383.02,,,,,,,,,,,,,,,,,,,,40761361.64,40308978.62,452383.02,0.43,0.43,定期报告,未审计,20241028,CNY,合并期末,2023-10-30T19:42:04
20230630,189894243.99,189894243.99,,,,,,163819615.69,146148403.51,,,,,,,,,3573932.93,6749060.84,3766892.39,7359739.52,-3778413.5,,,-144650.27,,,,,-332691.36,,,,1111418.65,-217684.03,-271608.99,,12990.25,26232402.55,3708794.45,,154865.45,,29786331.55,3270493.46,,26515838.09,26515838.09,,26263577.84,,252260.25,,,,,,,,,,,,,,,,,,,,26515838.09,26263577.84,252260.25,0.28,0.28,定期报告,未审计,20240826,CNY,合并期末,2023-08-24T16:12:05
