报告日,营业总收入,营业收入,利息收入,已赚保费,手续费及佣金收入,房地产销售收入,其他业务收入,营业总成本,营业成本,手续费及佣金支出,房地产销售成本,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,其他业务成本,营业税金及附加,研发费用,销售费用,管理费用,财务费用,利息费用,利息支出,投资收益,对联营企业和合营企业的投资收益,以摊余成本计量的金融资产终止确认产生的收益,汇兑收益,净敞口套期收益,公允价值变动收益,期货损益,托管收益,补贴收入,其他收益,资产减值损失,信用减值损失,其他业务利润,资产处置收益,营业利润,营业外收入,非流动资产处置利得,营业外支出,非流动资产处置损失,利润总额,所得税费用,未确认投资损失,净利润,持续经营净利润,终止经营净利润,归属于母公司所有者的净利润,被合并方在合并前实现净利润,少数股东损益,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划变动额,权益法下不能转损益的其他综合收益,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下可转损益的其他综合收益,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,其他,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20250930,157432174.77,157432174.77,,,,,,142087026.62,118140342.81,,,,,,,,,788503.26,14317349.79,1215943.38,7830197.44,-205310.06,1707856.51,,-1262087.44,-2559391.77,,,,300945.54,,,,1365417.82,-7066448.15,124675.09,,0.0,8807651.01,2000.0,,251558.9,,8558092.11,-620919.29,,9179011.4,9179011.4,,9179011.4,,,2592900.0,2592900.0,,,,,,2592900.0,,,,,,,2592900.0,,,,,11771911.4,11771911.4,,0.06,0.06,定期报告,未审计,20251029,CNY,合并期末,2025-10-29T21:12:03
20250630,101375668.88,101375668.88,,,,,,87090469.32,72234986.89,,,,,,,,,505019.31,9331784.76,715971.89,4534349.95,-231643.48,1151133.51,,-500800.44,-1365920.82,,0.0,,136024.44,,,,888828.87,-4426885.8,-81948.66,,0.0,10300417.97,2000.0,,178304.28,,10124113.69,646936.63,,9477177.06,9477177.06,,9477177.06,,,2592900.0,2592900.0,,,,,,2592900.0,,,,,,,2592900.0,,,,,12070077.06,12070077.06,,0.06,0.06,定期报告,未审计,20250828,CNY,合并期末,2025-08-28T20:56:06
20250331,43767361.11,43767361.11,,,,,,36146946.55,28861220.99,,,,,,,,,232804.14,4403601.36,319326.0,2120677.97,209316.09,631722.81,,305019.61,-526566.18,,,,147861.64,,,,692736.53,-2204353.27,613519.46,,,7175198.53,1500.0,,1032.45,,7175666.08,1076349.92,,6099316.16,6099316.16,,6099316.16,,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,6099316.16,6099316.16,,0.04,0.04,定期报告,未审计,20250425,CNY,合并期末,2025-04-25T20:40:11
20241231,217795993.08,217795993.08,,,,,,182769087.88,155752128.47,,,,,,,,,1204343.19,15343675.49,2313651.64,10669447.12,-2514158.03,2223870.63,,760365.1,-1795592.17,,0.0,,152959.12,,,,3836036.61,-6112232.68,5781244.81,,0.0,39445278.16,3552.0,,1676956.8,,37771873.36,4821491.32,,32950382.04,32950382.04,,32950382.04,,,-2468306.53,-2468306.53,,,,,,-2468306.53,,,,,,,-2592900.0,,,124593.47,,30482075.51,30482075.51,,0.21,0.21,定期报告,是,20250328,CNY,合并期末,2025-03-28T23:42:20
20240930,168258718.31,168258718.31,,,,,,138232856.17,117611325.37,,,,,,,,,942523.08,11012932.78,1615261.16,8962865.2,-1912051.42,1607712.85,,-334186.27,-1198325.95,,,,223401.11,,,,1565467.48,-4919758.24,1950098.99,,869.08,28511754.29,3012.0,,1612299.47,,26902466.82,3022634.81,,23879832.01,23879832.01,,23879832.01,,,-77576.09,-77576.09,,,,,,-77576.09,,,,,,,,,,-77576.09,,23802255.92,23802255.92,,0.16,0.16,定期报告,未审计,20251029,CNY,合并期末,2024-10-30T19:27:03
20240630,109299928.8,109299928.8,,,,,,88391262.39,77354022.71,,,,,,,,,625091.89,7092299.37,1196858.76,5571751.9,-3448762.24,51055.11,,-170608.38,-747930.37,,0.0,,114962.19,,,,1329650.21,-4300114.74,1432128.49,,-856.05,19313828.13,3012.0,,1614901.29,,17701938.84,1965027.51,,15736911.33,15736911.33,,15736911.33,15736911.33,,-14597.58,-14597.58,,,,,,-14597.58,,,,,,,,,,-14597.58,,15722313.75,15722313.75,,0.1,0.1,定期报告,未审计,20250828,CNY,合并期末,2024-08-16T21:22:04
20240331,49328125.49,49328125.49,,,,,,39221524.83,35303208.9,,,,,,,,,253094.4,3406948.36,483612.07,1849382.71,-2074721.61,41809.78,,-93424.18,-314353.82,,,,539178.08,,,,789941.19,-3071908.65,436600.98,,,8706988.08,0.0,,5831.18,,8701156.9,1396833.18,,7304323.72,7304323.72,,7304323.72,7304323.72,,-170091.64,-170091.64,,,,,,-170091.64,,,,,,,,,,-170091.64,,7134232.08,7134232.08,,0.05,0.05,定期报告,未审计,20250425,CNY,合并期末,2024-04-26T22:42:08
20231231,202572099.73,202572099.73,,,,,,160206979.78,141055809.57,,,,,,,,,1110627.55,15945278.7,1869485.64,8191470.75,-7965692.43,109632.5,,3659730.91,-86743.63,,0.0,,250031.38,,,,490563.44,-6766105.73,-5270911.61,,0.0,34728428.34,1000.84,,74043.89,,34655385.29,2998931.93,,31656453.36,31656453.36,,31656453.36,,,169.3,169.3,,,,,,169.3,,,,,,,,,,169.3,,31656622.66,31656622.66,,0.21,0.21,定期报告,是,20250328,CNY,合并期末,2024-03-23T00:57:02
20230930,153162994.27,153162994.27,,,,,,116254034.75,102891887.22,,,,,,,,,832952.94,12100334.03,1295836.51,7353482.49,-8220458.44,79941.46,,1250234.0,,,,,602284.92,,,,240198.04,-4841851.54,663261.8,,-53913.91,34769172.83,35984.34,,5535.49,,34799621.68,3730445.26,,31069176.42,31069176.42,,31069176.42,,,-59344.19,-59344.19,,,,,,-59344.19,,,,,,,,,,-59344.19,,31009832.23,31009832.23,,0.2,0.2,定期报告,未审计,20241030,CNY,合并期末,2023-10-27T18:32:03
20230630,103540528.27,103540528.27,,,,,,77052041.79,69156223.09,,,,,,,,,514569.69,7431982.01,843393.15,4675642.8,-5569768.95,51392.29,,1037152.6,,,,,276070.14,,,,115198.04,-3967632.77,276586.45,,-53913.91,24171947.03,0.7,,4033.04,,24167914.69,2837606.63,,21330308.06,21330308.06,,21330308.06,21330308.06,,-30881.85,-30881.85,,,,,,-30881.85,,,,,,,,,,-30881.85,,21299426.21,21299426.21,,0.14,0.14,定期报告,未审计,20240816,CNY,合并期末,2023-08-18T20:12:04
20230331,46294863.28,46294863.28,,,,,,33673410.82,29747050.63,,,,,,,,,165374.45,3629109.12,353135.76,1851421.52,-2072680.66,35622.47,,348377.28,,,,,,,,,139198.04,-3583665.65,768713.67,,,10294075.8,,,25592.12,,10268483.68,1540272.56,,8728211.12,8728211.12,,8728211.12,8728211.12,,-176532.09,-176532.09,,,,,,-176532.09,,,,,,,,,,-176532.09,,8551679.03,8551679.03,,0.06,0.06,定期报告,未审计,20240426,CNY,合并期末,2023-04-28T16:02:10
20221231,266402594.8,266402594.8,,,,,,189928942.46,164559834.14,,,,,,,,,1663324.38,14696807.76,2020107.75,8748482.63,-1759614.2,170797.48,,2187330.58,,,,,0.0,,,,788021.76,-6237157.07,-64256.57,,-17664.18,73129926.86,16893.86,,12845.8,,73133974.92,9060614.58,,64073360.34,64073360.34,,64073360.34,,,52449.34,52449.34,,,,,,52449.34,,,,,,,,,,52449.34,,64125809.68,64125809.68,,0.56,0.56,定期报告,是,20240322,CNY,合并期末,2024-03-23T00:57:02
20220930,199658600.24,199658600.24,,,,,,137466754.74,120865493.37,,,,,,,,,1150261.58,9759474.07,1358042.3,6852165.73,-2518682.31,121763.5,,1732391.99,,,,,,,,,537451.76,-5207160.78,-638423.16,,-17664.18,58598441.13,16518.39,,5345.8,,58609613.72,7967515.38,,50642098.34,50642098.34,,50642098.34,50642098.34,,21695.17,21695.17,,,,,,21695.17,,,,,,,,,,21695.17,,50663793.51,50663793.51,,0.44,0.44,定期报告,未审计,20231027,CNY,合并期末,2022-10-28T18:52:05
20220630,126875762.93,126875762.93,,,,,,85262137.65,74588189.47,,,,,,,,,861309.08,6285047.06,796840.98,4278565.65,-1547814.59,67578.19,,1409884.74,,,,,0.0,,,,308611.19,-4696557.34,-180508.97,,-13051.96,38442002.94,4212.39,,5345.8,,38440869.53,5359317.98,,33081551.55,33081551.55,,33081551.55,,,-2419.94,-2419.94,,,,,,-2419.94,,,,,,,,,,-2419.94,,33079131.61,33079131.61,,0.29,0.29,定期报告,未审计,20230818,CNY,合并期末,2022-08-26T17:52:06
20220331,63027375.66,63027375.66,,,,,,41752361.44,35751135.77,,,,,,,,,464996.8,2846247.19,595898.84,2390542.32,-296459.48,47368.04,,768381.86,,,,,85315.08,,,,134678.44,-4237028.3,-81318.3,,,17945043.0,2000.0,,5000.0,,17942043.0,2344147.89,,15597895.11,15597895.11,,15597895.11,15597895.11,,-44265.02,-44265.02,,,,,,-44265.02,,,,,,,,,,-44265.02,,15553630.09,15553630.09,,0.14,0.14,定期报告,是,20230428,CNY,合并期末,2022-08-04T16:37:02
20211231,267303415.39,267303415.39,,,,,,184294158.64,154206589.24,,,,,,,,,1911864.11,17101385.89,1798888.63,9763834.48,-488403.71,167918.77,,2808886.26,,,,,158226.88,,,,1429382.0,-6876195.11,-825850.45,,10209.72,79713916.05,16406.78,,984188.68,,78746134.15,9615314.87,,69130819.28,69130819.28,,69130819.28,,,5017.02,5017.02,,,,,,5017.02,,,,,,,,,,5017.02,,69135836.3,69135836.3,,0.6,0.6,定期报告,是,20230324,CNY,合并期末,2022-08-04T16:37:02
20210630,128756815.26,128756815.26,,,,,,88405402.4,76368453.1,,,,,,,,,938495.87,7272263.0,778217.4,3438288.76,-390315.73,69199.07,,949322.56,,,,,317002.34,,,,1131329.33,-4712579.1,-790916.95,,10209.72,37255780.76,,,51233.08,,37204547.68,4721906.46,,32482641.22,32482641.22,,32482641.22,,,-44798.72,-44798.72,,,,,,-44798.72,,,,,,,,,,-44798.72,,32437842.5,32437842.5,,0.28,0.28,定期报告,未审计,20220826,CNY,合并期末,2021-08-20T18:22:04
20201231,194569425.13,194569425.13,,,,,,140312970.15,116647156.35,,,,,,,,,1602775.58,14873213.84,1278094.08,4916024.44,995705.86,153251.1,,1587265.71,,,,,121657.54,,,,3286489.81,-5714854.63,509876.24,,,54046889.65,450000.0,,8801.72,,54488087.93,6407281.95,,48080805.98,48080805.98,,48080805.98,,,-28291.77,-28291.77,,,,,,-28291.77,,,,,,,,,,-28291.77,,48052514.21,,,0.43,0.43,招股说明书/意向书,是,20221212,CNY,合并期末,2021-03-25T18:17:03
20200630,88436277.51,88436277.51,,,,,,64435471.81,53605616.53,,,,,,,,,589814.77,6479888.5,1381986.31,2187299.32,190866.38,230742.25,,655071.58,,,,,,,,,1809990.65,-1745174.98,-170672.69,,,24550020.26,,,1278.0,,24548742.26,3467529.68,,21081212.58,21081212.58,,21081212.58,,,-14436.22,-14436.22,,,,,,-14436.22,,,,,,,,,,-14436.22,,21066776.36,21066776.36,,0.19,0.19,定期报告,未审计,20200825,CNY,合并期末,2020-08-25T21:47:03
