报告日,营业总收入,营业收入,利息收入,已赚保费,手续费及佣金收入,房地产销售收入,其他业务收入,营业总成本,营业成本,手续费及佣金支出,房地产销售成本,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,其他业务成本,营业税金及附加,研发费用,销售费用,管理费用,财务费用,利息费用,利息支出,投资收益,对联营企业和合营企业的投资收益,以摊余成本计量的金融资产终止确认产生的收益,汇兑收益,净敞口套期收益,公允价值变动收益,期货损益,托管收益,补贴收入,其他收益,资产减值损失,信用减值损失,其他业务利润,资产处置收益,营业利润,营业外收入,非流动资产处置利得,营业外支出,非流动资产处置损失,利润总额,所得税费用,未确认投资损失,净利润,持续经营净利润,终止经营净利润,归属于母公司所有者的净利润,被合并方在合并前实现净利润,少数股东损益,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划变动额,权益法下不能转损益的其他综合收益,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下可转损益的其他综合收益,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,其他,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20250930,267920115.29,267920115.29,,,,,,221195702.59,181224367.26,,,,,,,,,2782134.2,7449423.32,6380680.97,23598872.63,-239775.79,4700.92,,2137747.82,,,,,1290018.26,,,,6001967.55,-733486.22,-346061.36,,,55074598.75,101832.03,,104008.17,,55072422.61,7369986.05,,47702436.56,47702436.56,,47702436.56,,,,,,,,,,,,,,,,,,,,,,47702436.56,47702436.56,,1.05,1.05,定期报告,未审计,20251028,CNY,合并期末,2025-10-28T18:10:09
20250630,179405889.84,179405889.84,,,,,,146428996.51,121303335.67,,,,,,,,,2004810.26,4207320.59,4073895.8,15064308.6,-224674.41,3174.82,,1450885.41,,,,,871398.99,,,,5353527.84,-694556.2,-282806.11,,,39675343.26,4100.39,,104008.17,,39575435.48,5651943.42,,33923492.06,33923492.06,,33923492.06,,,,,,,,,,,,,,,,,,,,,,33923492.06,33923492.06,,0.75,0.75,定期报告,未审计,20250825,CNY,合并期末,2025-08-25T20:00:18
20250331,88372985.62,88372985.62,,,,,,71842521.16,60432348.34,,,,,,,,,1093926.98,1662624.55,1865979.2,6910763.23,-123121.14,1414.59,,571362.0,,,,,531994.86,,,,4790290.84,-693494.48,-325552.58,,,21405065.1,3600.06,,7920.0,,21400745.16,2869881.12,,18530864.04,18530864.04,,18530864.04,,,,,,,,,,,,,,,,,,,,,,18530864.04,18530864.04,,0.57,0.57,定期报告,未审计,20250424,CNY,合并期末,2025-04-24T19:38:28
20241231,345703896.54,345703896.54,,,,,,284851002.82,233168558.33,,,,,,,,,3549630.08,10356913.13,8771728.42,30266311.91,-1262139.05,6946.1,,1927869.81,,,,,1327539.0,,,,3495883.76,-302057.05,-437171.49,,-49250.34,66815707.41,22798.55,,69393.11,,66769112.85,9196860.13,,57572252.72,57572252.72,,57572252.72,,,,,,,,,,,,,,,,,,,,,,57572252.72,57572252.72,,1.92,1.92,定期报告,是,20250424,CNY,合并期末,2025-04-24T19:26:09
20240930,262329577.36,262329577.36,,,,,,213989211.91,177230022.34,,,,,,,,,2505762.35,7806642.44,5963800.27,21431933.11,-948948.6,5039.01,,1269366.61,,,,,714068.51,,,,2624806.05,-276832.24,-319357.93,,-49250.34,52303166.11,10060.54,,69393.11,,52243833.54,7207269.08,,45036564.46,45036564.46,,45036564.46,,,,,,,,,,,,,,,,,,,,,,45036564.46,45036564.46,,1.1,1.1,定期报告,未审计,20251028,CNY,合并期末,2024-10-28T18:32:03
20240630,177299386.94,177299386.94,,,,,,144570071.74,119670961.91,,,,,,,,,1757872.51,4820815.31,3979674.48,15075794.7,-735047.17,3180.89,,725648.41,,,,,263817.79,,,,2140191.73,-479819.09,-565013.93,,-49250.34,34764889.77,9560.09,,288.49,,34774161.37,4874692.93,,29899468.44,29899468.44,,29899468.44,,,,,,,,,,,,,,,,,,,,,,29899468.44,29899468.44,,1.08,1.08,定期报告,未审计,20250825,CNY,合并期末,2024-08-20T19:08:09
20240331,85539514.88,85539514.88,,,,,,70161505.7,58038525.25,,,,,,,,,990950.34,2504473.13,1989287.65,7017337.08,-379067.75,1581.02,,412612.14,,,,,99473.73,,,,1781117.78,-365817.47,-573571.68,,,16731823.68,4000.08,,288.49,,16735535.27,2475687.39,,14259847.88,14259847.88,,14259847.88,,,,,,,,,,,,,,,,,,,,,,14259847.88,14259847.88,,0.53,0.53,定期报告,未审计,20250424,CNY,合并期末,2024-05-14T19:02:02
20231231,343489029.09,343489029.09,,,,,,287015257.69,234882296.88,,,,,,,,,3827092.94,10802925.68,7604227.64,30702429.33,-803714.78,8148.12,,1318051.36,,,,,517648.99,,,,1166721.18,-868131.05,-590029.56,,6348.06,58024380.38,20567.38,,21007.73,,58023940.03,8519368.15,,49504571.88,49504571.88,,49504571.88,,,,,,,,,,,,,,,,,,,,,,49504571.88,49504571.88,,1.89,1.89,定期报告,是,20250424,CNY,合并期末,2024-03-29T19:02:03
20230930,261774878.8,261774878.8,,,,,,212232013.18,179023075.53,,,,,,,,,2954045.47,6975475.15,5403729.79,18393060.8,-517373.56,6084.08,,942386.2,,,,,487650.74,,,,800047.4,-954958.32,-781920.36,,6348.06,50042419.34,13236.7,,7.73,,50055648.31,7507113.83,,42548534.48,42548534.48,,42548534.48,,,,,,,,,,,,,,,,,,,,,,42548534.48,42548534.48,,1.64,1.64,定期报告,未审计,20241028,CNY,合并期末,2023-10-30T16:12:04
20230630,170304973.36,170304973.36,,,,,,140568290.86,117581351.94,,,,,,,,,1947459.33,4469891.61,3440077.01,13558687.79,-429176.82,4194.25,,595994.55,,,,,392367.91,,,,800047.4,-784633.02,-725134.59,,6348.06,30021672.81,12355.7,,7.73,,30034020.78,4568132.32,,25465888.46,25465888.46,,25465888.46,,,,,,,,,,,,,,,,,,,,,,25465888.46,25465888.46,,0.99,0.99,定期报告,是,20240820,CNY,合并期末,2023-08-28T20:22:03
