报告日,营业总收入,营业收入,利息收入,已赚保费,手续费及佣金收入,房地产销售收入,其他业务收入,营业总成本,营业成本,手续费及佣金支出,房地产销售成本,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,其他业务成本,营业税金及附加,研发费用,销售费用,管理费用,财务费用,利息费用,利息支出,投资收益,对联营企业和合营企业的投资收益,以摊余成本计量的金融资产终止确认产生的收益,汇兑收益,净敞口套期收益,公允价值变动收益,期货损益,托管收益,补贴收入,其他收益,资产减值损失,信用减值损失,其他业务利润,资产处置收益,营业利润,营业外收入,非流动资产处置利得,营业外支出,非流动资产处置损失,利润总额,所得税费用,未确认投资损失,净利润,持续经营净利润,终止经营净利润,归属于母公司所有者的净利润,被合并方在合并前实现净利润,少数股东损益,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划变动额,权益法下不能转损益的其他综合收益,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下可转损益的其他综合收益,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,其他,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20250630,191128341.44,191128341.44,,,,,,129427447.24,101495347.84,,,,,,,,,1333146.95,8481890.44,2732764.51,15031428.38,352869.12,342196.27,,1089595.78,-486985.01,,,,2056946.2,,,,1719677.75,,-5625887.94,,7207.94,60948433.93,169729.96,,4000.0,,61114163.89,7827551.14,,53286612.75,53286612.75,,53286612.75,,,,,,,,,,,,,,,,,,,,,,53286612.75,53286612.75,,1.05,1.05,招股说明书/意向书,是,20251024,CNY,合并期末,2025-08-11T16:42:02
20250331,116583020.93,116583020.93,,,,,,74228031.62,61048457.21,,,,,,,,,735491.91,4088072.95,1335555.9,6834414.74,186038.91,175144.64,,599311.83,-646126.52,,,,509179.39,,,,180296.85,,-2601847.61,,1910.37,41043840.14,12517.54,,4000.0,,41052357.68,5425653.45,,35626704.23,35626704.23,,35626704.23,,,,,,,,,,,,,,,,,,,,,,35626704.23,,,0.7,0.7,其他,未审计,20250529,CNY,合并期末,2025-05-29T21:22:02
20241231,395627731.72,395627731.72,,,,,,271819963.63,212093490.67,,,,,,,,,2551952.32,18773203.33,6690789.91,30925930.32,784597.08,832573.1,,2330862.4,368742.65,,,,3279390.47,,,,6206249.57,,-15496355.57,,-15704.19,120112210.77,45609.92,,13000.0,,120144820.69,14756332.57,,105388488.12,105388488.12,,105388488.12,,,,,,,,,,,,,,,,,,,,,,105388488.12,105388488.12,,2.08,2.08,招股说明书/意向书,是,20251024,CNY,合并期末,2025-04-28T15:50:04
20240930,277089608.85,277089608.85,,,,,,193444468.21,151742123.49,,,,,,,,,1503687.2,13353407.42,5021106.99,21208209.48,615933.63,640145.45,,-1233724.35,-2042613.3,,,,2270548.16,,,,3718232.19,,-4788725.4,,-11214.72,83600256.52,40243.01,,10000.0,,83630499.53,10796773.96,,72833725.57,72833725.57,,72833725.57,,,,,,,,,,,,,,,,,,,,,,72833725.57,,,1.44,1.44,其他,未审计,20241114,CNY,合并期末,2024-11-14T16:42:02
20240630,199253396.31,199253396.31,,,,,,137399677.85,108229352.71,,,,,,,,,1128197.22,8820437.81,3791946.98,15003064.85,426678.28,438697.57,,-1088771.81,-1870533.28,,,,1136131.38,,,,3473759.82,,-2165964.15,,-13815.41,63195058.29,36054.05,,0.0,,63231112.34,8486018.08,,54745094.26,54745094.26,,54745094.26,,,,,,,,,,,,,,,,,,,,,,54745094.26,54745094.26,,1.08,1.08,定期报告,是,20250811,CNY,合并期末,2024-08-28T16:22:06
20240331,129557809.43,129557809.43,,,,,,85416744.76,71457344.43,,,,,,,,,810121.23,3895997.5,1641675.48,7428439.36,183166.76,223448.9,,-1455169.12,-1618820.91,,,,674832.95,,,,1152490.09,,241305.85,,-20672.78,44733851.66,5.64,,36.42,,44733820.88,6563443.08,,38170377.8,38170377.8,,38170377.8,,,,,,,,,,,,,,,,,,,,,,38170377.8,,,0.78,0.78,其他,未审计,20250529,CNY,合并期末,2025-05-29T21:22:02
20231231,368392167.28,368392167.28,,,,,,265751385.51,204399992.54,,,,,,,,,2119699.49,20709272.04,6306498.69,31266371.66,949551.09,1007185.31,,1464713.51,728762.66,,,,1504176.25,,,,2190736.91,,-12886850.55,,,94913557.89,370296.82,,1158783.3,,94125071.41,13066573.34,,81058498.07,81058498.07,,81058498.07,,,,,,,,,,,,,,,,,,,,,,81058498.07,81058498.07,,1.6,1.6,定期报告,是,20250428,CNY,合并期末,2024-03-28T17:22:06
20230930,255139438.3,255139438.3,,,,,,186582091.8,141333659.31,,,,,,,,,1364230.34,14800901.14,5278856.27,23118577.59,685867.15,713327.36,,-56805.31,-792756.16,,,,906459.64,,,,1960397.43,,-7131012.99,,,64236385.27,366296.05,,1155783.3,,63446898.02,12829974.61,,50616923.41,50616923.41,,50616923.41,,,,,,,,,,,,,,,,,,,,,,50616923.41,,,1.0,1.0,其他,未审计,20241114,CNY,合并期末,2023-11-27T16:17:04
20230630,181107815.31,181107815.31,,,,,,130920344.51,101562894.43,,,,,,,,,982357.71,7459783.62,3838938.78,16599237.17,477132.8,485762.86,,-141165.69,-628884.8,,,,824897.88,,,,432999.09,,-4393280.94,,,46910921.14,366295.7,,891729.8,,46385487.04,10212536.75,,36172950.29,36172950.29,,36172950.29,,,,,,,,,,,,,,,,,,,,,,36172950.29,36172950.29,,0.72,0.72,定期报告,是,20240828,CNY,合并期末,2023-08-30T22:02:03
20221231,303427325.41,303427325.41,,,,,,218303563.43,162773711.11,,,,,,,,,2017086.39,14133988.92,6761384.95,31698605.79,918786.27,1055676.08,,2443961.5,529822.08,,,,1065515.13,,,,988050.25,,-5789763.65,,,83831525.21,220118.74,,237677.76,,83813966.19,19455890.35,,64358075.84,64358075.84,,64358075.84,,,,,,,,,,,,,,,,,,,,,,64358075.84,64358075.84,,1.29,1.29,招股说明书/意向书,是,20251024,CNY,合并期末,2023-04-27T21:37:12
20220930,224407207.93,224407207.93,,,,,,167280141.51,136089448.73,,,,,,,,,1286758.56,7249802.94,3705861.91,18236256.31,712013.06,828658.86,,1420965.49,,,,,,,,,109600.38,,-2035105.17,,-28025.38,56594501.74,542289.73,,59085.59,,57077705.88,16250104.76,,40827601.12,40827601.12,,42492822.75,,-1665221.63,,,,,,,,,,,,,,,,,,,,40827601.12,,,0.85,0.85,其他,未审计,20221208,CNY,合并期末,2022-12-08T16:47:03
20220630,143915391.72,143915391.72,,,,,,105909852.61,80251913.86,,,,,,,,,1021322.36,5953880.89,2807193.37,15367402.67,508139.46,619226.24,,-734355.66,,,,,882844.9,,,,324306.79,,-3034702.87,,,35443632.27,15.23,,61282.1,,35382365.4,10628962.76,,24753402.64,24753402.64,,24753402.64,,,,,,,,,,,,,,,,,,,,,,24753402.64,,,0.5,0.5,定期报告,未审计,20230830,CNY,合并期末,2022-08-30T15:42:05
20211231,271930754.35,271930754.35,,,,,,211947857.85,161551635.58,,,,,,,,,1599548.8,10461041.6,7324622.47,29625455.91,1385553.49,1179774.32,,1756311.99,804429.67,,,,2481442.97,,,,661238.28,,-3280151.86,,-70864.41,61530873.47,267766.37,,129142.86,,61669496.98,14896939.62,,46772557.36,46772557.36,,46772557.36,,,,,,,,,,,,,,,,,,,,,,46772557.36,46772557.36,,0.94,0.94,招股说明书(申报稿),是,20231228,CNY,合并期末,2022-04-29T16:07:05
20210630,155577826.2,155577826.2,,,,,,121345095.05,91926058.5,,,,,,,,,972450.82,5471352.85,2635225.49,20357892.47,-17885.08,11175.69,,959018.5,,,,,,,,,329090.92,,-1360747.94,,-17737.15,34142355.48,,,50117.6,,34092237.88,9263878.18,,24828359.7,24828359.7,,24828359.7,,,,,,,,,,,,,,,,,,,,,,24828359.7,24828359.7,,0.5,0.5,定期报告,未审计,20210820,CNY,合并期末,2021-08-20T15:52:03
20201231,249482875.09,249482875.09,,,,,,192783883.3,151038298.19,,,,,,,,,1098756.77,8937693.06,5241707.16,26148403.18,319024.94,436812.52,,1377510.31,707540.84,,,,428284.9,,,,2484556.47,,-4236065.62,,,56753277.85,32438.04,,218167.27,,56567548.62,13937889.41,,42629659.21,42629659.21,,42629659.21,,,,,,,,,,,,,,,,,,,,,,42629659.21,42629659.21,,0.85,0.85,招股说明书(申报稿),是,20231228,CNY,合并期末,2021-04-21T15:47:03
20200630,103983033.13,103983033.13,,,,,,88398207.18,63006779.54,,,,,,,,,491271.75,5643512.53,1892237.63,17092309.32,272096.41,324437.51,,-32772.72,,,,,,,,,748731.33,-58999.83,,,-619950.26,15621834.47,485.44,,117195.11,,15505124.8,4602725.17,,10902399.63,10902399.63,,10902399.63,,,,,,,,,,,,,,,,,,,,,,10902399.63,10902399.63,,0.55,0.55,定期报告,未审计,20200827,CNY,合并期末,2020-08-27T16:22:03
20191231,238925514.49,238925514.49,,,,,,197497483.14,144461986.96,,,,,,,,,1422119.88,9033233.18,6819426.9,35945023.49,-184307.27,,,1178224.23,50984.07,,,,,,,,2194988.09,,-2362783.53,,-46611.35,42391848.79,7544.75,,71331.5,,42328062.04,9311127.18,,33016934.86,33016934.86,,33016934.86,,,,,,,,,,,,,,,,,,,,,,33016934.86,,,3.3,3.3,定期报告,是,20200424,CNY,合并期末,2020-04-24T18:12:03
20190630,121437209.53,121437209.53,,,,,,101610533.28,75431181.56,,,,,,,,,670676.04,6105540.13,1495592.2,17771516.02,-113542.44,,,247722.54,,,,,,,,,698355.96,,,,,20772754.75,50066.06,,41033.79,,20781787.02,5121771.19,,15660015.83,15660015.83,,15660015.83,,,,,,,,,,,,,,,,,,,,,,15660015.83,15660015.83,,1.57,1.57,定期报告,未审计,20190823,CNY,合并期末,2020-03-13T16:00:40
20181231,176880973.37,176880973.37,,,,,,153410242.14,107512230.61,,,,,,,,,1128887.56,8859309.37,3772038.56,31395524.69,-228253.31,1042.19,,-537245.6,,,,,,,,,1362968.07,,,,,24296453.7,13197.58,,105603.77,,24204047.51,5186300.36,,19017747.15,19017747.15,,19017747.15,,,-108970.88,-108970.88,,,,,,-108970.88,,-108970.88,,,,,,,,,,18908776.27,18908776.27,,1.9,1.9,定期报告,是,20190426,CNY,合并期末,2020-03-13T16:00:40
20180630,102538703.38,102538703.38,,,,,,88174552.4,60376703.86,,,,,,,,,666216.18,6044439.17,1780775.89,18364496.07,-97596.28,,,228989.43,,,,,,,,,423800.0,,,,,15016940.41,33814.3,,20812.55,,15029942.16,4094740.77,,10935201.39,10935201.39,,10935201.39,,,-703557.0,-703557.0,,,,,,-703557.0,,-703557.0,,,,,,,,,,10231644.39,10231644.39,,1.09,1.09,定期报告,未审计,20180823,CNY,合并期末,2020-03-13T16:00:40
20171231,145163251.61,145163251.61,,,,,,124325933.26,84204999.52,,,,,,,,,918828.96,,2098870.47,35696451.09,295279.53,,,287278.23,197524.81,,,,,,,,4111671.15,,,,-9803.88,25226463.85,27000.0,,54786.9,,25198676.95,4666535.07,,20532141.88,20532141.88,,20532141.88,,,86299.09,86299.09,,,,,,86299.09,,86299.09,,,,,,,,,,20618440.97,20618440.97,,2.05,2.05,定期报告,是,20180423,CNY,合并期末,2020-03-13T16:00:40
20170630,63730542.91,63730542.91,,,,,,56956904.84,38025375.01,,,,,,,,,394520.41,,856767.88,17582757.13,231628.84,,,-189647.2,,,,,,,,,,,,,,6583990.87,3171098.06,98.06,24486.9,,9730602.03,1474826.8,,8255775.23,,,8255775.23,,,-245733.01,-245733.01,,,,,,-245733.01,,-245733.01,,,,,,,,,,8010042.22,,,0.83,0.83,定期报告,未审计,20170824,CNY,合并期末,2020-03-13T16:00:40
20161231,113484727.01,113484727.01,,,,,,98301101.52,59550528.25,,,,,,,,,971737.53,,1746273.96,34551685.39,131162.88,,,1409027.6,-95999.81,,,,,,,,,,,,,16592653.09,1522876.72,,97654.37,,18017875.44,4638135.11,,13379740.33,,,13379740.33,,,-1762549.25,-1762549.25,,,,,,-1762549.25,,-1762549.25,,,,,,,,,,11617191.08,,,1.34,1.34,定期报告,是,20170411,CNY,合并期末,2020-03-13T16:00:40
20151231,104890838.82,104890838.82,,,,,,88414299.78,51894891.16,,,,,,,,,1157837.51,,2140334.95,32541444.21,-185711.79,,,576829.25,214157.0,,,,,,,,,,,,,17053368.29,860997.97,112.43,195077.01,172976.15,17719289.25,4418173.16,,13301116.09,,,13301116.09,,,,581726.86,,,,,,581726.86,,,,,,,,,,,,13882842.95,13882842.95,,1.33,,招股说明书/意向书,是,20161118,CNY,合并期末,2020-03-13T16:00:40
20141231,82892671.9,82892671.9,,,,,,74081124.58,46321485.68,,,,,,,,,888790.57,,2129594.15,25032389.64,-319353.47,,,154574.59,-15640.21,,,,,,,,,,,,,8966121.91,911400.0,,15204.82,,9862317.09,2473508.62,,7388808.47,,,7388808.47,,,,,,,,,,,,,,,,,,,,,,7388808.47,7388808.47,,0.74,,招股说明书/意向书,是,20161118,CNY,合并期末,2020-03-13T16:00:40
