报告日,营业总收入,营业收入,利息收入,已赚保费,手续费及佣金收入,房地产销售收入,其他业务收入,营业总成本,营业成本,手续费及佣金支出,房地产销售成本,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,其他业务成本,营业税金及附加,研发费用,销售费用,管理费用,财务费用,利息费用,利息支出,投资收益,对联营企业和合营企业的投资收益,以摊余成本计量的金融资产终止确认产生的收益,汇兑收益,净敞口套期收益,公允价值变动收益,期货损益,托管收益,补贴收入,其他收益,资产减值损失,信用减值损失,其他业务利润,资产处置收益,营业利润,营业外收入,非流动资产处置利得,营业外支出,非流动资产处置损失,利润总额,所得税费用,未确认投资损失,净利润,持续经营净利润,终止经营净利润,归属于母公司所有者的净利润,被合并方在合并前实现净利润,少数股东损益,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划变动额,权益法下不能转损益的其他综合收益,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下可转损益的其他综合收益,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,其他,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20250930,333629709.58,333629709.58,,,,,,274158369.29,229477769.83,,,,,,,,,1981066.96,16772380.65,11842461.9,17616943.51,-3532253.56,,,171690.42,,,,,,,,,690394.15,2568590.83,-1486286.75,,-1141.0,61414587.94,28799.64,,229826.67,,61213560.91,6797399.77,,54416161.14,54416161.14,,54310289.17,,105871.97,-105250.07,-105250.07,,,,,,-105250.07,,,,,,,,,-105250.07,,,54310911.07,54205039.1,105871.97,0.83,,定期报告,未审计,20251028,CNY,合并期末,2025-10-28T19:46:12
20250630,215397033.09,215397033.09,,,,,,175593323.22,150384399.77,,,,,,,,,1183130.19,10258787.05,7021036.59,10050642.19,-3304672.57,,,171690.42,,,,,,,,,501348.96,2475949.43,60390.03,,,43013088.71,28632.83,,175678.01,,42866043.53,4751069.6,,38114973.93,38114973.93,,38053719.71,,61254.22,-44050.38,-44050.38,,,,,,-44050.38,,,,,,,,,-44050.38,,,38070923.55,38009669.33,61254.22,0.63,,定期报告,未审计,20250815,CNY,合并期末,2025-08-15T18:16:13
20250331,100121832.23,100121832.23,,,,,,78032884.25,67197044.31,,,,,,,,,686832.07,4770609.33,2960814.5,4272446.06,-1854862.02,,,57803.43,,,,,,,,,410302.97,402089.37,426698.35,,,23385842.1,23700.0,,22000.0,,23387542.1,3068143.47,,20319398.63,20319398.63,,20296691.27,,22707.36,-12929.76,-12929.76,,,,,,-12929.76,,,,,,,,,-12929.76,,,20306468.87,20283761.51,22707.36,0.34,,其他,未审计,20250530,CNY,合并期末,2025-05-30T20:36:02
20241231,407606791.47,407606791.47,,,,,,340885812.78,283777591.26,,,,,,,,,3112100.41,22792612.86,13668687.52,25285086.82,-7750266.09,,,1954395.92,,,,,,,,,2148702.42,-2375473.21,-958982.38,,-373.25,67489248.19,556047.77,,94510.44,,67950785.52,8318584.07,,59632201.45,59632201.45,,59551444.06,,80757.39,-346377.19,-346377.19,,,,,,-346377.19,,,,,,,,,-346377.19,,,59285824.26,59205066.87,80757.39,0.99,0.99,招股说明书/意向书,是,20250718,CNY,合并期末,2025-02-28T20:07:06
20240930,297200834.99,297200834.99,,,,,,248255256.99,204278035.26,,,,,,,,,2360537.09,16105423.53,10049640.13,17794938.55,-2333317.57,,,305988.44,,,,,-867588.77,,,,1840491.81,-2443280.28,-520364.07,,8628.79,47269453.92,556047.77,,82040.67,,47743461.02,6085994.6,,41657466.42,41657466.42,,41606262.94,,51203.48,-255099.97,-255099.97,,,,,,-255099.97,,,,,,,,,-255099.97,,,41402366.45,41351162.97,51203.48,0.69,,定期报告,未审计,20251028,CNY,合并期末,2024-12-24T21:22:04
20240630,181274220.53,181274220.53,,,,,,148209872.87,122735786.15,,,,,,,,,1644223.76,10031221.29,6296888.06,11630962.39,-4129208.78,,,301975.34,,,,,164383.56,,,,1232691.81,-3507257.2,444184.17,,,31700325.34,556047.77,,11686.55,,32244686.56,4132203.79,,28112482.77,28112482.77,,28087654.65,,24828.12,-324622.49,-324622.49,,,,,,-324622.49,,,,,,,,,-324622.49,,,27787860.28,27763032.16,24828.12,0.47,,定期报告,是,20250815,CNY,合并期末,2024-08-28T16:12:06
20240331,83185968.53,83185968.53,,,,,,68610192.42,54830658.89,,,,,,,,,611869.61,4717162.14,3095996.03,5574513.76,-220008.01,,,13808.22,,,,,,,,,524999.48,-1971347.42,1194919.72,,,14338156.11,0.49,,315.26,,14337841.34,1884027.01,,12453814.33,12453814.33,,12431659.95,,22154.38,-210592.95,-210592.95,,,,,,-210592.95,,,,,,,,,-210592.95,,,12243221.38,12221067.0,22154.38,0.2,,其他,未审计,20250530,CNY,合并期末,2024-06-14T19:02:03
20231231,366629276.03,366629276.03,,,,,,301638861.49,245303982.34,,,,,,,,,2414274.12,20003074.92,11438435.43,23634227.77,-1155133.09,,,2173952.05,,,,,,,,,1651720.2,-5065159.82,-3068844.34,,2807.1,60684889.73,525530.73,,1540789.39,,59669631.07,7682405.37,,51987225.7,51987225.7,,51948826.49,,38399.21,-50565.42,-50565.42,,,,,,-50565.42,,,,,,,,,-50565.42,,,51936660.28,51898261.07,38399.21,0.87,0.87,定期报告,是,20250326,CNY,合并期末,2024-04-29T21:02:03
20230930,274997325.43,274997325.43,,,,,,220353279.39,181744581.36,,,,,,,,,1717197.66,14700039.9,8292242.88,16350817.67,-2451600.08,,,1554213.66,,,,,120821.92,,,,1094268.43,-6444177.86,-3193650.82,,2807.1,47778328.47,23700.0,,1444980.52,,46357047.95,7020164.31,,39336883.64,39336883.64,,39297351.96,,39531.68,11886.97,11886.97,,,,,,11886.97,,,,,,,,,11886.97,,,39348770.61,39309238.93,39531.68,0.64,,其他,未审计,20241224,CNY,合并期末,2024-12-24T21:32:03
20230630,169241499.73,169241499.73,,,,,,135191003.5,110754290.95,,,,,,,,,763333.74,9353599.25,5368432.95,11342729.58,-2391382.97,,,1460807.89,,,,,,,,,409543.43,-3986109.34,-1786291.71,,2807.1,30151253.6,,,1406938.16,,28744315.44,4190753.3,,24553562.14,24553562.14,,24539474.72,,14087.42,14726.46,14726.46,,,,,,14726.46,,,,,,,,,14726.46,,,24568288.6,24554201.18,14087.42,0.41,0.41,定期报告,是,20241224,CNY,合并期末,2024-08-28T16:12:06
