date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,报告日,净利润,营业利润,利润总额,应收账款,存货,资产总计,负债合计,经营活动产生的现金流量净额,投资活动产生的现金流量净额,筹资活动产生的现金流量净额,现金及现金等价物净增加额,实际披露日
2010-01-04,sh.600000,21.83,21.87,21.16,21.19,21.69,66191338,1419984112.0,3,0.835129,1,-2.3052,14.435065,2.877081,5.316299,7.09124,0,2009-09-30,10290733118.98,13585412480.36,13591562852.07,1575265796.58,,1587382922414.0002,1522261210505.24,40793086276.34,-29838291377.61,7129777059.47,18084571958.2,2009-12-30
2010-01-05,sh.600000,21.41,21.58,20.79,21.35,21.19,115147943,2436890938.0,3,1.452808,1,0.7551,14.287342,2.898805,5.178308,7.144784,0,2009-09-30,10290733118.98,13585412480.36,13591562852.07,1575265796.58,,1587382922414.0002,1522261210505.24,40793086276.34,-29838291377.61,7129777059.47,18084571958.2,2009-12-30
2010-01-06,sh.600000,21.29,21.3,20.88,20.93,21.35,96782575,2034174032.0,3,1.221095,1,-1.9672,14.006279,2.841779,5.076439,7.004231,0,2009-09-30,10290733118.98,13585412480.36,13591562852.07,1575265796.58,,1587382922414.0002,1522261210505.24,40793086276.34,-29838291377.61,7129777059.47,18084571958.2,2009-12-30
2010-01-07,sh.600000,20.88,21.04,20.3,20.46,20.93,85236072,1761800969.0,3,1.075414,1,-2.2456,13.691757,2.777965,4.962444,6.846945,0,2009-09-30,10290733118.98,13585412480.36,13591562852.07,1575265796.58,,1587382922414.0002,1522261210505.24,40793086276.34,-29838291377.61,7129777059.47,18084571958.2,2009-12-30
2010-01-08,sh.600000,20.34,20.8,20.3,20.69,20.46,65707646,1349532409.0,3,0.829026,1,1.1241,13.845672,2.809193,5.018229,6.923915,0,2009-09-30,10290733118.98,13585412480.36,13591562852.07,1575265796.58,,1587382922414.0002,1522261210505.24,40793086276.34,-29838291377.61,7129777059.47,18084571958.2,2009-12-30
2010-01-11,sh.600000,21.6,21.8,20.57,20.69,20.69,116304812,2456819007.0,3,1.467404,1,0.0,13.845672,2.809193,5.018229,6.923915,0,2009-09-30,10290733118.98,13585412480.36,13591562852.07,1575265796.58,,1587382922414.0002,1522261210505.24,40793086276.34,-29838291377.61,7129777059.47,18084571958.2,2009-12-30
2010-01-12,sh.600000,20.63,20.97,20.26,20.8,20.69,82351139,1691919888.0,3,1.039015,1,0.5317,13.919284,2.824128,5.044909,6.960726,0,2009-09-30,10290733118.98,13585412480.36,13591562852.07,1575265796.58,,1587382922414.0002,1522261210505.24,40793086276.34,-29838291377.61,7129777059.47,18084571958.2,2009-12-30
2010-01-13,sh.600000,20.25,20.35,19.8,19.83,20.8,146399684,2930936726.0,3,1.847108,1,-4.6635,13.270163,2.692426,4.809641,6.636116,0,2009-09-30,10290733118.98,13585412480.36,13591562852.07,1575265796.58,,1587382922414.0002,1522261210505.24,40793086276.34,-29838291377.61,7129777059.47,18084571958.2,2009-12-30
2010-01-14,sh.600000,19.87,20.02,19.64,19.97,19.83,77340771,1535655470.0,3,0.9758,1,0.706,13.363851,2.711435,4.843598,6.682967,0,2009-09-30,10290733118.98,13585412480.36,13591562852.07,1575265796.58,,1587382922414.0002,1522261210505.24,40793086276.34,-29838291377.61,7129777059.47,18084571958.2,2009-12-30
2010-01-15,sh.600000,20.02,20.25,19.72,20.04,19.97,69183668,1384564649.0,3,0.872882,1,0.3505,13.410695,2.720939,4.860576,6.706392,0,2009-09-30,10290733118.98,13585412480.36,13591562852.07,1575265796.58,,1587382922414.0002,1522261210505.24,40793086276.34,-29838291377.61,7129777059.47,18084571958.2,2009-12-30
2010-01-18,sh.600000,19.91,20.29,19.87,20.24,20.04,69940218,1408342623.0,3,0.882428,1,0.998,13.544534,2.748094,4.909084,6.773322,0,2009-09-30,10290733118.98,13585412480.36,13591562852.07,1575265796.58,,1587382922414.0002,1522261210505.24,40793086276.34,-29838291377.61,7129777059.47,18084571958.2,2009-12-30
2010-01-19,sh.600000,20.25,20.59,20.21,20.35,20.24,69966139,1428370744.0,3,0.882755,1,0.5435,13.618145,2.763029,4.935764,6.810134,0,2009-09-30,10290733118.98,13585412480.36,13591562852.07,1575265796.58,,1587382922414.0002,1522261210505.24,40793086276.34,-29838291377.61,7129777059.47,18084571958.2,2009-12-30
2010-01-20,sh.600000,20.42,20.53,19.6,19.79,20.35,80776510,1612704739.0,3,1.019148,1,-2.7518,13.243395,2.686995,4.79994,6.62273,0,2009-09-30,10290733118.98,13585412480.36,13591562852.07,1575265796.58,,1587382922414.0002,1522261210505.24,40793086276.34,-29838291377.61,7129777059.47,18084571958.2,2009-12-30
2010-01-21,sh.600000,19.88,20.57,19.76,20.47,19.79,93418186,1888959519.0,3,1.178647,1,3.4361,13.698449,2.779323,4.964869,6.850292,0,2009-09-30,10290733118.98,13585412480.36,13591562852.07,1575265796.58,,1587382922414.0002,1522261210505.24,40793086276.34,-29838291377.61,7129777059.47,18084571958.2,2009-12-30
2010-01-22,sh.600000,20.2,21.1,20.01,20.9,20.47,154445976,3188523865.0,3,1.948627,1,2.1006,13.986203,2.837706,5.069163,6.994191,0,2009-09-30,10290733118.98,13585412480.36,13591562852.07,1575265796.58,,1587382922414.0002,1522261210505.24,40793086276.34,-29838291377.61,7129777059.47,18084571958.2,2009-12-30
2010-01-25,sh.600000,20.56,20.98,20.42,20.46,20.9,80232725,1658596995.0,3,1.012287,1,-2.1053,13.691757,2.777965,4.962444,6.846945,0,2009-09-30,10290733118.98,13585412480.36,13591562852.07,1575265796.58,,1587382922414.0002,1522261210505.24,40793086276.34,-29838291377.61,7129777059.47,18084571958.2,2009-12-30
2010-01-26,sh.600000,20.49,20.9,20.17,20.69,20.46,91936559,1885519209.0,3,1.159953,1,1.1241,13.845672,2.809193,5.018229,6.923915,0,2009-09-30,10290733118.98,13585412480.36,13591562852.07,1575265796.58,,1587382922414.0002,1522261210505.24,40793086276.34,-29838291377.61,7129777059.47,18084571958.2,2009-12-30
2010-01-27,sh.600000,20.67,20.8,19.78,19.86,20.69,94264363,1898605119.0,3,1.189323,1,-4.0116,13.290239,2.6965,4.816918,6.646155,0,2009-09-30,10290733118.98,13585412480.36,13591562852.07,1575265796.58,,1587382922414.0002,1522261210505.24,40793086276.34,-29838291377.61,7129777059.47,18084571958.2,2009-12-30
2010-01-28,sh.600000,19.78,19.85,19.38,19.7,19.86,58691704,1152620124.0,3,0.740506,1,-0.8056,13.183168,2.674775,4.778111,6.592611,0,2009-09-30,10290733118.98,13585412480.36,13591562852.07,1575265796.58,,1587382922414.0002,1522261210505.24,40793086276.34,-29838291377.61,7129777059.47,18084571958.2,2009-12-30
2010-01-29,sh.600000,19.6,20.04,19.48,19.62,19.7,53690104,1062334288.0,3,0.677402,1,-0.4061,13.129632,2.663913,4.758707,6.565839,0,2009-09-30,10290733118.98,13585412480.36,13591562852.07,1575265796.58,,1587382922414.0002,1522261210505.24,40793086276.34,-29838291377.61,7129777059.47,18084571958.2,2009-12-30
