date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,报告日,净利润,营业总收入,营业总成本,营业成本,营业利润,利润总额,所得税费用,归属于母公司所有者的净利润,货币资金,应收账款,存货,流动资产合计,非流动资产合计,资产总计,流动负债合计,非流动负债合计,负债合计,所有者权益(或股东权益)合计,经营活动产生的现金流量净额,投资活动产生的现金流量净额,筹资活动产生的现金流量净额,现金及现金等价物净增加额,实际披露日
2010-01-04,sh.600003,3.87,3.87,3.87,3.87,3.87,0.0,0.0,3,,0,0.0,14.616711,1.251395,6.373314,88.204958,1,2009-09-30,210125893.08,558588898.36,301026613.38,217678307.0,280383563.49,283723602.31,73597709.23,201234607.87,795688029.01,25494787.24,7265359.73,1013100142.87,4276178670.32,5289278813.19,765786688.74,387000000.0,1152786688.74,4136492124.45,295097518.0,-106148066.49,-1592096.98,187357354.53,2009-12-30
2010-01-05,sh.600003,3.87,3.87,3.87,3.87,3.87,0.0,0.0,3,,0,0.0,14.616711,1.251395,6.373314,88.204958,1,2009-09-30,210125893.08,558588898.36,301026613.38,217678307.0,280383563.49,283723602.31,73597709.23,201234607.87,795688029.01,25494787.24,7265359.73,1013100142.87,4276178670.32,5289278813.19,765786688.74,387000000.0,1152786688.74,4136492124.45,295097518.0,-106148066.49,-1592096.98,187357354.53,2009-12-30
2010-01-06,sh.600003,3.87,3.87,3.87,3.87,3.87,0.0,0.0,3,,0,0.0,14.616711,1.251395,6.373314,88.204958,1,2009-09-30,210125893.08,558588898.36,301026613.38,217678307.0,280383563.49,283723602.31,73597709.23,201234607.87,795688029.01,25494787.24,7265359.73,1013100142.87,4276178670.32,5289278813.19,765786688.74,387000000.0,1152786688.74,4136492124.45,295097518.0,-106148066.49,-1592096.98,187357354.53,2009-12-30
2010-01-07,sh.600003,3.87,3.87,3.87,3.87,3.87,0.0,0.0,3,,0,0.0,14.616711,1.251395,6.373314,88.204958,1,2009-09-30,210125893.08,558588898.36,301026613.38,217678307.0,280383563.49,283723602.31,73597709.23,201234607.87,795688029.01,25494787.24,7265359.73,1013100142.87,4276178670.32,5289278813.19,765786688.74,387000000.0,1152786688.74,4136492124.45,295097518.0,-106148066.49,-1592096.98,187357354.53,2009-12-30
2010-01-08,sh.600003,3.87,3.87,3.87,3.87,3.87,0.0,0.0,3,,0,0.0,14.616711,1.251395,6.373314,88.204958,1,2009-09-30,210125893.08,558588898.36,301026613.38,217678307.0,280383563.49,283723602.31,73597709.23,201234607.87,795688029.01,25494787.24,7265359.73,1013100142.87,4276178670.32,5289278813.19,765786688.74,387000000.0,1152786688.74,4136492124.45,295097518.0,-106148066.49,-1592096.98,187357354.53,2009-12-30
2010-01-11,sh.600003,3.87,3.87,3.87,3.87,3.87,0.0,0.0,3,,0,0.0,14.616711,1.251395,6.373314,88.204958,1,2009-09-30,210125893.08,558588898.36,301026613.38,217678307.0,280383563.49,283723602.31,73597709.23,201234607.87,795688029.01,25494787.24,7265359.73,1013100142.87,4276178670.32,5289278813.19,765786688.74,387000000.0,1152786688.74,4136492124.45,295097518.0,-106148066.49,-1592096.98,187357354.53,2009-12-30
2010-01-12,sh.600003,3.87,3.87,3.87,3.87,3.87,0.0,0.0,3,,0,0.0,14.616711,1.251395,6.373314,88.204958,1,2009-09-30,210125893.08,558588898.36,301026613.38,217678307.0,280383563.49,283723602.31,73597709.23,201234607.87,795688029.01,25494787.24,7265359.73,1013100142.87,4276178670.32,5289278813.19,765786688.74,387000000.0,1152786688.74,4136492124.45,295097518.0,-106148066.49,-1592096.98,187357354.53,2009-12-30
2010-01-13,sh.600003,3.87,3.87,3.87,3.87,3.87,0.0,0.0,3,,0,0.0,14.616711,1.251395,6.373314,88.204958,1,2009-09-30,210125893.08,558588898.36,301026613.38,217678307.0,280383563.49,283723602.31,73597709.23,201234607.87,795688029.01,25494787.24,7265359.73,1013100142.87,4276178670.32,5289278813.19,765786688.74,387000000.0,1152786688.74,4136492124.45,295097518.0,-106148066.49,-1592096.98,187357354.53,2009-12-30
2010-01-14,sh.600003,3.87,3.87,3.87,3.87,3.87,0.0,0.0,3,,0,0.0,14.616711,1.251395,6.373314,88.204958,1,2009-09-30,210125893.08,558588898.36,301026613.38,217678307.0,280383563.49,283723602.31,73597709.23,201234607.87,795688029.01,25494787.24,7265359.73,1013100142.87,4276178670.32,5289278813.19,765786688.74,387000000.0,1152786688.74,4136492124.45,295097518.0,-106148066.49,-1592096.98,187357354.53,2009-12-30
2010-01-15,sh.600003,3.87,3.87,3.87,3.87,3.87,0.0,0.0,3,,0,0.0,14.616711,1.251395,6.373314,88.204958,1,2009-09-30,210125893.08,558588898.36,301026613.38,217678307.0,280383563.49,283723602.31,73597709.23,201234607.87,795688029.01,25494787.24,7265359.73,1013100142.87,4276178670.32,5289278813.19,765786688.74,387000000.0,1152786688.74,4136492124.45,295097518.0,-106148066.49,-1592096.98,187357354.53,2009-12-30
2010-01-18,sh.600003,3.87,3.87,3.87,3.87,3.87,0.0,0.0,3,,0,0.0,14.616711,1.251395,6.373314,88.204958,1,2009-09-30,210125893.08,558588898.36,301026613.38,217678307.0,280383563.49,283723602.31,73597709.23,201234607.87,795688029.01,25494787.24,7265359.73,1013100142.87,4276178670.32,5289278813.19,765786688.74,387000000.0,1152786688.74,4136492124.45,295097518.0,-106148066.49,-1592096.98,187357354.53,2009-12-30
2010-01-19,sh.600003,3.87,3.87,3.87,3.87,3.87,0.0,0.0,3,,0,0.0,14.616711,1.251395,6.373314,88.204958,1,2009-09-30,210125893.08,558588898.36,301026613.38,217678307.0,280383563.49,283723602.31,73597709.23,201234607.87,795688029.01,25494787.24,7265359.73,1013100142.87,4276178670.32,5289278813.19,765786688.74,387000000.0,1152786688.74,4136492124.45,295097518.0,-106148066.49,-1592096.98,187357354.53,2009-12-30
2010-01-20,sh.600003,3.87,3.87,3.87,3.87,3.87,0.0,0.0,3,,0,0.0,14.616711,1.251395,6.373314,88.204958,1,2009-09-30,210125893.08,558588898.36,301026613.38,217678307.0,280383563.49,283723602.31,73597709.23,201234607.87,795688029.01,25494787.24,7265359.73,1013100142.87,4276178670.32,5289278813.19,765786688.74,387000000.0,1152786688.74,4136492124.45,295097518.0,-106148066.49,-1592096.98,187357354.53,2009-12-30
2010-01-21,sh.600003,3.87,3.87,3.87,3.87,3.87,0.0,0.0,3,,0,0.0,14.616711,1.251395,6.373314,88.204958,1,2009-09-30,210125893.08,558588898.36,301026613.38,217678307.0,280383563.49,283723602.31,73597709.23,201234607.87,795688029.01,25494787.24,7265359.73,1013100142.87,4276178670.32,5289278813.19,765786688.74,387000000.0,1152786688.74,4136492124.45,295097518.0,-106148066.49,-1592096.98,187357354.53,2009-12-30
2010-01-22,sh.600003,3.87,3.87,3.87,3.87,3.87,0.0,0.0,3,,0,0.0,14.616711,1.251395,6.373314,88.204958,1,2009-09-30,210125893.08,558588898.36,301026613.38,217678307.0,280383563.49,283723602.31,73597709.23,201234607.87,795688029.01,25494787.24,7265359.73,1013100142.87,4276178670.32,5289278813.19,765786688.74,387000000.0,1152786688.74,4136492124.45,295097518.0,-106148066.49,-1592096.98,187357354.53,2009-12-30
