date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,报告日,净利润,营业总收入,营业总成本,营业成本,营业利润,利润总额,所得税费用,归属于母公司所有者的净利润,货币资金,应收账款,存货,流动资产合计,非流动资产合计,资产总计,流动负债合计,非流动负债合计,负债合计,所有者权益(或股东权益)合计,经营活动产生的现金流量净额,投资活动产生的现金流量净额,筹资活动产生的现金流量净额,现金及现金等价物净增加额,实际披露日
2010-01-04,sh.600004,10.15,10.28,10.14,10.15,10.15,15478854,157747809.0,3,1.52501,1,0.0,23.850926,1.936616,3.724792,72.550299,0,2009-09-30,400267874.44,2349252600.06,1806742862.18,1352172928.68,545880963.13,549179352.96,148911478.52,378685744.03,795704976.14,1077178655.57,27653653.69,2012961792.16,7186613843.16,9199575635.32,2726751052.16,250000000.0,2976751052.16,6222824583.16,630370222.09,-264224011.35,-131186173.99,234960036.75,2009-12-30
2010-01-05,sh.600004,10.15,10.24,10.14,10.19,10.15,11070922,112683563.0,3,1.090731,1,0.3941,23.944919,1.944248,3.739471,72.836212,0,2009-09-30,400267874.44,2349252600.06,1806742862.18,1352172928.68,545880963.13,549179352.96,148911478.52,378685744.03,795704976.14,1077178655.57,27653653.69,2012961792.16,7186613843.16,9199575635.32,2726751052.16,250000000.0,2976751052.16,6222824583.16,630370222.09,-264224011.35,-131186173.99,234960036.75,2009-12-30
2010-01-06,sh.600004,10.17,10.19,10.02,10.04,10.19,9410665,95205863.0,3,0.927159,1,-1.472,23.592443,1.915628,3.684425,71.76404,0,2009-09-30,400267874.44,2349252600.06,1806742862.18,1352172928.68,545880963.13,549179352.96,148911478.52,378685744.03,795704976.14,1077178655.57,27653653.69,2012961792.16,7186613843.16,9199575635.32,2726751052.16,250000000.0,2976751052.16,6222824583.16,630370222.09,-264224011.35,-131186173.99,234960036.75,2009-12-30
2010-01-07,sh.600004,10.0,10.05,9.71,9.78,10.04,8961813,88611912.0,3,0.882937,1,-2.5896,22.981483,1.86602,3.589011,69.905608,0,2009-09-30,400267874.44,2349252600.06,1806742862.18,1352172928.68,545880963.13,549179352.96,148911478.52,378685744.03,795704976.14,1077178655.57,27653653.69,2012961792.16,7186613843.16,9199575635.32,2726751052.16,250000000.0,2976751052.16,6222824583.16,630370222.09,-264224011.35,-131186173.99,234960036.75,2009-12-30
2010-01-08,sh.600004,9.73,10.25,9.73,10.18,9.78,14923812,149969456.0,3,1.470326,1,4.09,23.921421,1.94234,3.735801,72.764734,0,2009-09-30,400267874.44,2349252600.06,1806742862.18,1352172928.68,545880963.13,549179352.96,148911478.52,378685744.03,795704976.14,1077178655.57,27653653.69,2012961792.16,7186613843.16,9199575635.32,2726751052.16,250000000.0,2976751052.16,6222824583.16,630370222.09,-264224011.35,-131186173.99,234960036.75,2009-12-30
2010-01-11,sh.600004,10.26,10.46,10.18,10.39,10.18,21382207,221095349.0,3,2.106621,1,2.0629,24.414888,1.982407,3.812866,74.265774,0,2009-09-30,400267874.44,2349252600.06,1806742862.18,1352172928.68,545880963.13,549179352.96,148911478.52,378685744.03,795704976.14,1077178655.57,27653653.69,2012961792.16,7186613843.16,9199575635.32,2726751052.16,250000000.0,2976751052.16,6222824583.16,630370222.09,-264224011.35,-131186173.99,234960036.75,2009-12-30
2010-01-12,sh.600004,10.33,10.47,10.25,10.46,10.39,12894345,133964253.0,3,1.270379,1,0.6737,24.579377,1.995763,3.838554,74.766121,0,2009-09-30,400267874.44,2349252600.06,1806742862.18,1352172928.68,545880963.13,549179352.96,148911478.52,378685744.03,795704976.14,1077178655.57,27653653.69,2012961792.16,7186613843.16,9199575635.32,2726751052.16,250000000.0,2976751052.16,6222824583.16,630370222.09,-264224011.35,-131186173.99,234960036.75,2009-12-30
2010-01-13,sh.600004,10.26,10.5,10.21,10.31,10.46,14403037,149155601.0,3,1.419018,1,-1.434,24.226901,1.967143,3.783508,73.693949,0,2009-09-30,400267874.44,2349252600.06,1806742862.18,1352172928.68,545880963.13,549179352.96,148911478.52,378685744.03,795704976.14,1077178655.57,27653653.69,2012961792.16,7186613843.16,9199575635.32,2726751052.16,250000000.0,2976751052.16,6222824583.16,630370222.09,-264224011.35,-131186173.99,234960036.75,2009-12-30
2010-01-14,sh.600004,10.3,10.73,10.28,10.68,10.31,18526370,196244561.0,3,1.825258,1,3.5887,25.096343,2.037739,3.919288,76.33864,0,2009-09-30,400267874.44,2349252600.06,1806742862.18,1352172928.68,545880963.13,549179352.96,148911478.52,378685744.03,795704976.14,1077178655.57,27653653.69,2012961792.16,7186613843.16,9199575635.32,2726751052.16,250000000.0,2976751052.16,6222824583.16,630370222.09,-264224011.35,-131186173.99,234960036.75,2009-12-30
2010-01-15,sh.600004,10.67,10.73,10.53,10.6,10.68,10071593,106958605.0,3,0.992275,1,-0.7491,24.908356,2.022475,3.88993,75.766815,0,2009-09-30,400267874.44,2349252600.06,1806742862.18,1352172928.68,545880963.13,549179352.96,148911478.52,378685744.03,795704976.14,1077178655.57,27653653.69,2012961792.16,7186613843.16,9199575635.32,2726751052.16,250000000.0,2976751052.16,6222824583.16,630370222.09,-264224011.35,-131186173.99,234960036.75,2009-12-30
