date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,报告日,净利润,营业总收入,营业总成本,营业成本,营业利润,利润总额,所得税费用,归属于母公司所有者的净利润,货币资金,应收账款,存货,流动资产合计,非流动资产合计,资产总计,流动负债合计,非流动负债合计,负债合计,所有者权益(或股东权益)合计,经营活动产生的现金流量净额,投资活动产生的现金流量净额,筹资活动产生的现金流量净额,现金及现金等价物净增加额,实际披露日
2010-01-04,sh.600005,8.35,8.38,8.17,8.18,8.28,56517668.0,466915654.0,3,1.802594,1,-1.2077,-69.227791,2.38092,1.218806,760.47878,0,2009-09-30,1053036855.59,37396004895.0,36547850468.94,34170345818.91,1389548144.66,1396552198.84,343515343.25,1052538797.01,1882501882.2,545388135.01,8963764636.97,13926558770.68,60201048924.04,74127607694.72,34982813101.52,12137460021.71,47120273123.23,27007334571.49,6298001534.2,-3101062617.17,-3544603388.45,-347836614.88,2009-12-30
2010-01-05,sh.600005,8.2,8.24,7.92,8.12,8.18,82401018.0,665247995.0,3,2.628126,1,-0.7335,-68.720007,2.363456,1.209866,754.900696,0,2009-09-30,1053036855.59,37396004895.0,36547850468.94,34170345818.91,1389548144.66,1396552198.84,343515343.25,1052538797.01,1882501882.2,545388135.01,8963764636.97,13926558770.68,60201048924.04,74127607694.72,34982813101.52,12137460021.71,47120273123.23,27007334571.49,6298001534.2,-3101062617.17,-3544603388.45,-347836614.88,2009-12-30
2010-01-06,sh.600005,8.09,8.3,8.03,8.13,8.12,84201057.0,690712710.0,3,2.685537,1,0.1232,-68.804638,2.366366,1.211356,755.830377,0,2009-09-30,1053036855.59,37396004895.0,36547850468.94,34170345818.91,1389548144.66,1396552198.84,343515343.25,1052538797.01,1882501882.2,545388135.01,8963764636.97,13926558770.68,60201048924.04,74127607694.72,34982813101.52,12137460021.71,47120273123.23,27007334571.49,6298001534.2,-3101062617.17,-3544603388.45,-347836614.88,2009-12-30
2010-01-07,sh.600005,8.1,8.18,7.8,7.88,8.13,78876542.0,632825591.0,3,2.515715,1,-3.075,-66.688874,2.2936,1.174106,732.58836,0,2009-09-30,1053036855.59,37396004895.0,36547850468.94,34170345818.91,1389548144.66,1396552198.84,343515343.25,1052538797.01,1882501882.2,545388135.01,8963764636.97,13926558770.68,60201048924.04,74127607694.72,34982813101.52,12137460021.71,47120273123.23,27007334571.49,6298001534.2,-3101062617.17,-3544603388.45,-347836614.88,2009-12-30
2010-01-08,sh.600005,7.83,7.91,7.75,7.9,7.88,52754941.0,413049203.0,3,1.682584,1,0.2538,-66.858135,2.299421,1.177086,734.447722,0,2009-09-30,1053036855.59,37396004895.0,36547850468.94,34170345818.91,1389548144.66,1396552198.84,343515343.25,1052538797.01,1882501882.2,545388135.01,8963764636.97,13926558770.68,60201048924.04,74127607694.72,34982813101.52,12137460021.71,47120273123.23,27007334571.49,6298001534.2,-3101062617.17,-3544603388.45,-347836614.88,2009-12-30
2010-01-11,sh.600005,8.06,8.16,7.82,7.85,7.9,56644454.0,449871990.0,3,1.806638,1,-0.6329,-66.434983,2.284868,1.169636,729.799318,0,2009-09-30,1053036855.59,37396004895.0,36547850468.94,34170345818.91,1389548144.66,1396552198.84,343515343.25,1052538797.01,1882501882.2,545388135.01,8963764636.97,13926558770.68,60201048924.04,74127607694.72,34982813101.52,12137460021.71,47120273123.23,27007334571.49,6298001534.2,-3101062617.17,-3544603388.45,-347836614.88,2009-12-30
2010-01-12,sh.600005,7.82,8.0,7.7,7.99,7.85,78085042.0,613469888.0,3,2.490471,1,1.7834,-67.61981,2.325617,1.190496,742.814847,0,2009-09-30,1053036855.59,37396004895.0,36547850468.94,34170345818.91,1389548144.66,1396552198.84,343515343.25,1052538797.01,1882501882.2,545388135.01,8963764636.97,13926558770.68,60201048924.04,74127607694.72,34982813101.52,12137460021.71,47120273123.23,27007334571.49,6298001534.2,-3101062617.17,-3544603388.45,-347836614.88,2009-12-30
2010-01-13,sh.600005,7.84,7.84,7.6,7.66,7.99,132599910.0,1023799061.0,3,4.229187,1,-4.1302,-64.827002,2.229565,1.141327,712.135386,0,2009-09-30,1053036855.59,37396004895.0,36547850468.94,34170345818.91,1389548144.66,1396552198.84,343515343.25,1052538797.01,1882501882.2,545388135.01,8963764636.97,13926558770.68,60201048924.04,74127607694.72,34982813101.52,12137460021.71,47120273123.23,27007334571.49,6298001534.2,-3101062617.17,-3544603388.45,-347836614.88,2009-12-30
2010-01-14,sh.600005,7.69,7.77,7.61,7.76,7.66,69861871.0,537782832.0,3,2.228198,1,1.3055,-65.673308,2.258672,1.156226,721.432192,0,2009-09-30,1053036855.59,37396004895.0,36547850468.94,34170345818.91,1389548144.66,1396552198.84,343515343.25,1052538797.01,1882501882.2,545388135.01,8963764636.97,13926558770.68,60201048924.04,74127607694.72,34982813101.52,12137460021.71,47120273123.23,27007334571.49,6298001534.2,-3101062617.17,-3544603388.45,-347836614.88,2009-12-30
2010-01-15,sh.600005,7.74,7.76,7.6,7.71,7.76,99074401.0,759490541.0,3,3.159913,1,-0.6443,-65.250155,2.244119,1.148776,716.783789,0,2009-09-30,1053036855.59,37396004895.0,36547850468.94,34170345818.91,1389548144.66,1396552198.84,343515343.25,1052538797.01,1882501882.2,545388135.01,8963764636.97,13926558770.68,60201048924.04,74127607694.72,34982813101.52,12137460021.71,47120273123.23,27007334571.49,6298001534.2,-3101062617.17,-3544603388.45,-347836614.88,2009-12-30
