date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,报告日,净利润,营业总收入,营业总成本,营业成本,营业利润,利润总额,所得税费用,归属于母公司所有者的净利润,货币资金,应收账款,存货,流动资产合计,非流动资产合计,资产总计,流动负债合计,非流动负债合计,负债合计,所有者权益(或股东权益)合计,经营活动产生的现金流量净额,投资活动产生的现金流量净额,筹资活动产生的现金流量净额,现金及现金等价物净增加额,实际披露日
2010-01-04,sh.600006,6.93,7.07,6.9,6.91,6.86,23281430.0,162801866.0,3,1.164071,1,0.7289,70.432299,2.583973,1.062389,8.611565,0,2009-09-30,298823501.86,10356005144.43,10225661222.9,9027248913.17,301008717.05,355740779.05,56917277.19,256093522.33,5070132383.57,858309358.06,2436618925.53,10450498242.18,4371682274.64,14822180516.82,8036256757.12,93580899.89,8129837657.01,6692342859.81,2490061755.72,11971515.29,-1180938124.57,1326386996.48,2009-12-30
2010-01-05,sh.600006,6.91,6.94,6.75,6.87,6.91,16569457.0,113402241.0,3,0.828473,1,-0.5789,70.024586,2.569015,1.056239,8.561715,0,2009-09-30,298823501.86,10356005144.43,10225661222.9,9027248913.17,301008717.05,355740779.05,56917277.19,256093522.33,5070132383.57,858309358.06,2436618925.53,10450498242.18,4371682274.64,14822180516.82,8036256757.12,93580899.89,8129837657.01,6692342859.81,2490061755.72,11971515.29,-1180938124.57,1326386996.48,2009-12-30
2010-01-06,sh.600006,6.87,7.03,6.81,6.89,6.87,21867767.0,151895041.0,3,1.093388,1,0.2911,70.228443,2.576494,1.059314,8.58664,0,2009-09-30,298823501.86,10356005144.43,10225661222.9,9027248913.17,301008717.05,355740779.05,56917277.19,256093522.33,5070132383.57,858309358.06,2436618925.53,10450498242.18,4371682274.64,14822180516.82,8036256757.12,93580899.89,8129837657.01,6692342859.81,2490061755.72,11971515.29,-1180938124.57,1326386996.48,2009-12-30
2010-01-07,sh.600006,6.85,6.88,6.54,6.56,6.89,27696059.0,184601794.0,3,1.384803,1,-4.7896,66.864816,2.453091,1.008578,8.175378,0,2009-09-30,298823501.86,10356005144.43,10225661222.9,9027248913.17,301008717.05,355740779.05,56917277.19,256093522.33,5070132383.57,858309358.06,2436618925.53,10450498242.18,4371682274.64,14822180516.82,8036256757.12,93580899.89,8129837657.01,6692342859.81,2490061755.72,11971515.29,-1180938124.57,1326386996.48,2009-12-30
2010-01-08,sh.600006,6.56,6.63,6.48,6.62,6.56,12747269.0,83488412.0,3,0.637363,1,0.9146,67.476385,2.475528,1.017803,8.250153,0,2009-09-30,298823501.86,10356005144.43,10225661222.9,9027248913.17,301008717.05,355740779.05,56917277.19,256093522.33,5070132383.57,858309358.06,2436618925.53,10450498242.18,4371682274.64,14822180516.82,8036256757.12,93580899.89,8129837657.01,6692342859.81,2490061755.72,11971515.29,-1180938124.57,1326386996.48,2009-12-30
2010-01-11,sh.600006,6.66,6.74,6.5,6.52,6.62,13057756.0,85592312.0,3,0.652888,1,-1.5106,66.457104,2.438133,1.002428,8.125528,0,2009-09-30,298823501.86,10356005144.43,10225661222.9,9027248913.17,301008717.05,355740779.05,56917277.19,256093522.33,5070132383.57,858309358.06,2436618925.53,10450498242.18,4371682274.64,14822180516.82,8036256757.12,93580899.89,8129837657.01,6692342859.81,2490061755.72,11971515.29,-1180938124.57,1326386996.48,2009-12-30
2010-01-12,sh.600006,6.57,6.68,6.5,6.68,6.52,15268352.0,101049635.0,3,0.763418,1,2.454,68.087953,2.497965,1.027027,8.324928,0,2009-09-30,298823501.86,10356005144.43,10225661222.9,9027248913.17,301008717.05,355740779.05,56917277.19,256093522.33,5070132383.57,858309358.06,2436618925.53,10450498242.18,4371682274.64,14822180516.82,8036256757.12,93580899.89,8129837657.01,6692342859.81,2490061755.72,11971515.29,-1180938124.57,1326386996.48,2009-12-30
2010-01-13,sh.600006,6.59,6.61,6.49,6.52,6.68,14191042.0,92769266.0,3,0.709552,1,-2.3952,66.457104,2.438133,1.002428,8.125528,0,2009-09-30,298823501.86,10356005144.43,10225661222.9,9027248913.17,301008717.05,355740779.05,56917277.19,256093522.33,5070132383.57,858309358.06,2436618925.53,10450498242.18,4371682274.64,14822180516.82,8036256757.12,93580899.89,8129837657.01,6692342859.81,2490061755.72,11971515.29,-1180938124.57,1326386996.48,2009-12-30
2010-01-14,sh.600006,6.52,6.64,6.52,6.62,6.52,13557759.0,89401642.0,3,0.677888,1,1.5337,67.476385,2.475528,1.017803,8.250153,0,2009-09-30,298823501.86,10356005144.43,10225661222.9,9027248913.17,301008717.05,355740779.05,56917277.19,256093522.33,5070132383.57,858309358.06,2436618925.53,10450498242.18,4371682274.64,14822180516.82,8036256757.12,93580899.89,8129837657.01,6692342859.81,2490061755.72,11971515.29,-1180938124.57,1326386996.48,2009-12-30
2010-01-15,sh.600006,6.62,6.79,6.6,6.74,6.62,18139223.0,121972561.0,3,0.906961,1,1.8127,68.699522,2.520402,1.036252,8.399703,0,2009-09-30,298823501.86,10356005144.43,10225661222.9,9027248913.17,301008717.05,355740779.05,56917277.19,256093522.33,5070132383.57,858309358.06,2436618925.53,10450498242.18,4371682274.64,14822180516.82,8036256757.12,93580899.89,8129837657.01,6692342859.81,2490061755.72,11971515.29,-1180938124.57,1326386996.48,2009-12-30
2010-01-18,sh.600006,6.79,6.82,6.66,6.76,6.74,14608947.0,98170216.0,3,0.730447,1,0.2967,68.903378,2.527881,1.039327,8.424628,0,2009-09-30,298823501.86,10356005144.43,10225661222.9,9027248913.17,301008717.05,355740779.05,56917277.19,256093522.33,5070132383.57,858309358.06,2436618925.53,10450498242.18,4371682274.64,14822180516.82,8036256757.12,93580899.89,8129837657.01,6692342859.81,2490061755.72,11971515.29,-1180938124.57,1326386996.48,2009-12-30
2010-01-19,sh.600006,6.82,6.82,6.64,6.68,6.76,17516772.0,117235690.0,3,0.875839,1,-1.1834,68.087953,2.497965,1.027027,8.324928,0,2009-09-30,298823501.86,10356005144.43,10225661222.9,9027248913.17,301008717.05,355740779.05,56917277.19,256093522.33,5070132383.57,858309358.06,2436618925.53,10450498242.18,4371682274.64,14822180516.82,8036256757.12,93580899.89,8129837657.01,6692342859.81,2490061755.72,11971515.29,-1180938124.57,1326386996.48,2009-12-30
2010-01-20,sh.600006,6.68,6.8,6.55,6.58,6.68,25474831.0,170393892.0,3,1.273742,1,-1.497,67.068672,2.46057,1.011653,8.200303,0,2009-09-30,298823501.86,10356005144.43,10225661222.9,9027248913.17,301008717.05,355740779.05,56917277.19,256093522.33,5070132383.57,858309358.06,2436618925.53,10450498242.18,4371682274.64,14822180516.82,8036256757.12,93580899.89,8129837657.01,6692342859.81,2490061755.72,11971515.29,-1180938124.57,1326386996.48,2009-12-30
2010-01-21,sh.600006,6.76,6.9,6.69,6.76,6.58,36100876.0,244864510.0,3,1.805044,1,2.7356,68.903378,2.527881,1.039327,8.424628,0,2009-09-30,298823501.86,10356005144.43,10225661222.9,9027248913.17,301008717.05,355740779.05,56917277.19,256093522.33,5070132383.57,858309358.06,2436618925.53,10450498242.18,4371682274.64,14822180516.82,8036256757.12,93580899.89,8129837657.01,6692342859.81,2490061755.72,11971515.29,-1180938124.57,1326386996.48,2009-12-30
2010-01-22,sh.600006,6.65,6.65,6.32,6.4,6.76,28445190.0,183216320.0,3,1.42226,1,-5.3254,65.233967,2.39326,0.983978,7.975979,0,2009-09-30,298823501.86,10356005144.43,10225661222.9,9027248913.17,301008717.05,355740779.05,56917277.19,256093522.33,5070132383.57,858309358.06,2436618925.53,10450498242.18,4371682274.64,14822180516.82,8036256757.12,93580899.89,8129837657.01,6692342859.81,2490061755.72,11971515.29,-1180938124.57,1326386996.48,2009-12-30
2010-01-25,sh.600006,6.34,6.39,6.19,6.2,6.4,12549070.0,78574015.0,3,0.627453,1,-3.125,63.195406,2.31847,0.953229,7.726729,0,2009-09-30,298823501.86,10356005144.43,10225661222.9,9027248913.17,301008717.05,355740779.05,56917277.19,256093522.33,5070132383.57,858309358.06,2436618925.53,10450498242.18,4371682274.64,14822180516.82,8036256757.12,93580899.89,8129837657.01,6692342859.81,2490061755.72,11971515.29,-1180938124.57,1326386996.48,2009-12-30
2010-01-26,sh.600006,6.21,6.28,5.88,5.9,6.2,12855146.0,77363038.0,3,0.642757,1,-4.8387,60.137563,2.206286,0.907105,7.352855,0,2009-09-30,298823501.86,10356005144.43,10225661222.9,9027248913.17,301008717.05,355740779.05,56917277.19,256093522.33,5070132383.57,858309358.06,2436618925.53,10450498242.18,4371682274.64,14822180516.82,8036256757.12,93580899.89,8129837657.01,6692342859.81,2490061755.72,11971515.29,-1180938124.57,1326386996.48,2009-12-30
2010-01-27,sh.600006,5.9,5.98,5.7,5.71,5.9,17086828.0,98889900.0,3,0.854341,1,-3.2203,58.20093,2.135236,0.877893,7.116069,0,2009-09-30,298823501.86,10356005144.43,10225661222.9,9027248913.17,301008717.05,355740779.05,56917277.19,256093522.33,5070132383.57,858309358.06,2436618925.53,10450498242.18,4371682274.64,14822180516.82,8036256757.12,93580899.89,8129837657.01,6692342859.81,2490061755.72,11971515.29,-1180938124.57,1326386996.48,2009-12-30
2010-01-28,sh.600006,5.69,5.8,5.62,5.77,5.71,9583801.0,54949376.0,3,0.47919,1,1.0508,58.812498,2.157673,0.887118,7.190843,0,2009-09-30,298823501.86,10356005144.43,10225661222.9,9027248913.17,301008717.05,355740779.05,56917277.19,256093522.33,5070132383.57,858309358.06,2436618925.53,10450498242.18,4371682274.64,14822180516.82,8036256757.12,93580899.89,8129837657.01,6692342859.81,2490061755.72,11971515.29,-1180938124.57,1326386996.48,2009-12-30
2010-01-29,sh.600006,5.78,5.93,5.76,5.82,5.77,11386328.0,66646635.0,3,0.569316,1,0.8666,59.322139,2.176371,0.894805,7.253156,0,2009-09-30,298823501.86,10356005144.43,10225661222.9,9027248913.17,301008717.05,355740779.05,56917277.19,256093522.33,5070132383.57,858309358.06,2436618925.53,10450498242.18,4371682274.64,14822180516.82,8036256757.12,93580899.89,8129837657.01,6692342859.81,2490061755.72,11971515.29,-1180938124.57,1326386996.48,2009-12-30
2010-02-01,sh.600006,5.83,5.83,5.6,5.67,5.82,8762833.0,49641231.0,3,0.438142,1,-2.5773,57.793218,2.120279,0.871743,7.066219,0,2009-09-30,298823501.86,10356005144.43,10225661222.9,9027248913.17,301008717.05,355740779.05,56917277.19,256093522.33,5070132383.57,858309358.06,2436618925.53,10450498242.18,4371682274.64,14822180516.82,8036256757.12,93580899.89,8129837657.01,6692342859.81,2490061755.72,11971515.29,-1180938124.57,1326386996.48,2009-12-30
2010-02-02,sh.600006,5.7,5.75,5.62,5.64,5.67,7700050.0,43956915.0,3,0.385003,1,-0.5291,57.487433,2.10906,0.867131,7.028831,0,2009-09-30,298823501.86,10356005144.43,10225661222.9,9027248913.17,301008717.05,355740779.05,56917277.19,256093522.33,5070132383.57,858309358.06,2436618925.53,10450498242.18,4371682274.64,14822180516.82,8036256757.12,93580899.89,8129837657.01,6692342859.81,2490061755.72,11971515.29,-1180938124.57,1326386996.48,2009-12-30
2010-02-03,sh.600006,5.66,5.78,5.47,5.77,5.64,11434625.0,64572565.0,3,0.571731,1,2.305,58.812498,2.157673,0.887118,7.190843,0,2009-09-30,298823501.86,10356005144.43,10225661222.9,9027248913.17,301008717.05,355740779.05,56917277.19,256093522.33,5070132383.57,858309358.06,2436618925.53,10450498242.18,4371682274.64,14822180516.82,8036256757.12,93580899.89,8129837657.01,6692342859.81,2490061755.72,11971515.29,-1180938124.57,1326386996.48,2009-12-30
2010-02-04,sh.600006,5.77,5.89,5.68,5.8,5.77,11647740.0,67276076.0,3,0.582387,1,0.5199,59.118283,2.168892,0.89173,7.228231,0,2009-09-30,298823501.86,10356005144.43,10225661222.9,9027248913.17,301008717.05,355740779.05,56917277.19,256093522.33,5070132383.57,858309358.06,2436618925.53,10450498242.18,4371682274.64,14822180516.82,8036256757.12,93580899.89,8129837657.01,6692342859.81,2490061755.72,11971515.29,-1180938124.57,1326386996.48,2009-12-30
2010-02-05,sh.600006,5.7,5.73,5.62,5.66,5.8,7235914.0,41033541.0,3,0.361796,1,-2.4138,57.69129,2.116539,0.870206,7.053756,0,2009-09-30,298823501.86,10356005144.43,10225661222.9,9027248913.17,301008717.05,355740779.05,56917277.19,256093522.33,5070132383.57,858309358.06,2436618925.53,10450498242.18,4371682274.64,14822180516.82,8036256757.12,93580899.89,8129837657.01,6692342859.81,2490061755.72,11971515.29,-1180938124.57,1326386996.48,2009-12-30
2010-02-08,sh.600006,5.66,5.73,5.61,5.67,5.66,3838910.0,21801789.0,3,0.191945,1,0.1767,57.793218,2.120279,0.871743,7.066219,0,2009-09-30,298823501.86,10356005144.43,10225661222.9,9027248913.17,301008717.05,355740779.05,56917277.19,256093522.33,5070132383.57,858309358.06,2436618925.53,10450498242.18,4371682274.64,14822180516.82,8036256757.12,93580899.89,8129837657.01,6692342859.81,2490061755.72,11971515.29,-1180938124.57,1326386996.48,2009-12-30
2010-02-09,sh.600006,5.62,5.74,5.62,5.71,5.67,4592384.0,26171586.0,3,0.229619,1,0.7055,58.20093,2.135236,0.877893,7.116069,0,2009-09-30,298823501.86,10356005144.43,10225661222.9,9027248913.17,301008717.05,355740779.05,56917277.19,256093522.33,5070132383.57,858309358.06,2436618925.53,10450498242.18,4371682274.64,14822180516.82,8036256757.12,93580899.89,8129837657.01,6692342859.81,2490061755.72,11971515.29,-1180938124.57,1326386996.48,2009-12-30
2010-02-10,sh.600006,5.77,5.79,5.71,5.78,5.71,5680165.0,32634829.0,3,0.284008,1,1.2259,58.914426,2.161413,0.888655,7.203306,0,2009-09-30,298823501.86,10356005144.43,10225661222.9,9027248913.17,301008717.05,355740779.05,56917277.19,256093522.33,5070132383.57,858309358.06,2436618925.53,10450498242.18,4371682274.64,14822180516.82,8036256757.12,93580899.89,8129837657.01,6692342859.81,2490061755.72,11971515.29,-1180938124.57,1326386996.48,2009-12-30
