date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2010-01-04,sh.600004,10.1500,10.2800,10.1400,10.1500,10.1500,15478854,157747809.0000,3,1.525010,1,0.000000,23.850926,1.936616,3.724792,72.550299,0
2010-01-05,sh.600004,10.1500,10.2400,10.1400,10.1900,10.1500,11070922,112683563.0000,3,1.090731,1,0.394100,23.944919,1.944248,3.739471,72.836212,0
2010-01-06,sh.600004,10.1700,10.1900,10.0200,10.0400,10.1900,9410665,95205863.0000,3,0.927159,1,-1.472000,23.592443,1.915628,3.684425,71.764040,0
2010-01-07,sh.600004,10.0000,10.0500,9.7100,9.7800,10.0400,8961813,88611912.0000,3,0.882937,1,-2.589600,22.981483,1.866020,3.589011,69.905608,0
2010-01-08,sh.600004,9.7300,10.2500,9.7300,10.1800,9.7800,14923812,149969456.0000,3,1.470326,1,4.090000,23.921421,1.942340,3.735801,72.764734,0
2010-01-11,sh.600004,10.2600,10.4600,10.1800,10.3900,10.1800,21382207,221095349.0000,3,2.106621,1,2.062900,24.414888,1.982407,3.812866,74.265774,0
2010-01-12,sh.600004,10.3300,10.4700,10.2500,10.4600,10.3900,12894345,133964253.0000,3,1.270379,1,0.673700,24.579377,1.995763,3.838554,74.766121,0
2010-01-13,sh.600004,10.2600,10.5000,10.2100,10.3100,10.4600,14403037,149155601.0000,3,1.419018,1,-1.434000,24.226901,1.967143,3.783508,73.693949,0
2010-01-14,sh.600004,10.3000,10.7300,10.2800,10.6800,10.3100,18526370,196244561.0000,3,1.825258,1,3.588700,25.096343,2.037739,3.919288,76.338640,0
2010-01-15,sh.600004,10.6700,10.7300,10.5300,10.6000,10.6800,10071593,106958605.0000,3,0.992275,1,-0.749100,24.908356,2.022475,3.889930,75.766815,0
2010-01-18,sh.600004,10.6000,11.0800,10.5000,10.9600,10.6000,19183575,208241848.0000,3,1.890007,1,3.396200,25.754300,2.091163,4.022041,78.340028,0
2010-01-19,sh.600004,10.9000,11.2000,10.8500,11.1000,10.9600,20218407,224091042.0000,3,1.991961,1,1.277400,26.083278,2.117875,4.073418,79.340721,0
2010-01-20,sh.600004,11.1200,11.1600,10.8900,10.9900,11.1000,19838415,218072462.0000,3,1.954524,1,-0.991000,25.824795,2.096887,4.033050,78.554462,0
2010-01-21,sh.600004,11.2500,11.3500,10.8000,10.8400,10.9900,19446033,215431588.0000,3,1.915865,1,-1.364900,25.472319,2.068267,3.978004,77.482290,0
2010-01-22,sh.600004,10.9000,11.5800,10.8100,11.0800,10.8400,40618213,454945617.0000,3,4.001794,1,2.214000,26.036281,2.114059,4.066078,79.197765,0
2010-01-25,sh.600004,11.1100,11.2800,10.5900,10.6100,11.0800,20104855,219784238.0000,3,1.980774,1,-4.241900,24.931854,2.024383,3.893600,75.838293,0
2010-01-26,sh.600004,10.6100,10.7300,10.2000,10.3900,10.6100,14489380,151123512.0000,3,1.427525,1,-2.073500,24.414888,1.982407,3.812866,74.265774,0
2010-01-27,sh.600004,10.4000,10.4900,10.2100,10.2800,10.3900,7765864,80360216.0000,3,0.765110,1,-1.058700,24.156405,1.961419,3.772498,73.479515,0
2010-01-28,sh.600004,10.2800,10.7300,10.2000,10.7100,10.2800,15788529,165734777.0000,3,1.555520,1,4.182900,25.166839,2.043463,3.930297,76.553074,0
2010-01-29,sh.600004,10.6000,10.8900,10.5500,10.7100,10.7100,11813610,126922329.0000,3,1.163902,1,0.000000,25.166839,2.043463,3.930297,76.553074,0
