date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2010-01-04,sh.600008,7.2700,7.3000,7.1300,7.1500,7.2400,14070632,101152799.0000,3,0.639574,1,-1.243100,47.366442,3.378579,8.130128,33.099305,0
2010-01-05,sh.600008,7.1600,7.1800,7.0300,7.1300,7.1500,18980666,134540177.0000,3,0.862758,1,-0.279700,47.233948,3.369129,8.107386,33.006719,0
2010-01-06,sh.600008,7.1900,7.3300,7.1900,7.2000,7.1300,24171641,175434399.0000,3,1.098711,1,0.981800,47.697676,3.402206,8.186982,33.330768,0
2010-01-07,sh.600008,7.2200,7.2200,7.0300,7.0500,7.2000,15201998,107980873.0000,3,0.691000,1,-2.083300,46.703974,3.331326,8.016419,32.636377,0
2010-01-08,sh.600008,7.0000,7.1100,6.9900,7.1000,7.0500,12479783,87763142.0000,3,0.567263,1,0.709200,47.035208,3.354953,8.073273,32.867841,0
2010-01-11,sh.600008,7.1400,7.2000,6.9400,7.0500,7.1000,19369951,136443522.0000,3,0.880452,1,-0.704200,46.703974,3.331326,8.016419,32.636377,0
2010-01-12,sh.600008,7.0700,7.2000,6.9900,7.2000,7.0500,20722339,147944371.0000,3,0.941924,1,2.127700,47.697676,3.402206,8.186982,33.330768,0
2010-01-13,sh.600008,7.0600,7.2400,7.0500,7.0600,7.2000,17234857,122765593.0000,3,0.783403,1,-1.944400,46.770221,3.336052,8.027790,32.682670,0
2010-01-14,sh.600008,7.0900,7.2400,7.0600,7.2200,7.0600,20187868,144722849.0000,3,0.917630,1,2.266300,47.830169,3.411656,8.209723,33.423354,0
2010-01-15,sh.600008,7.2700,7.3400,7.1900,7.3000,7.2200,30929206,225341858.0000,3,1.405873,1,1.108000,48.360144,3.449459,8.300690,33.793696,0
2010-01-18,sh.600008,7.3300,7.4800,7.2400,7.4600,7.3000,29829426,219249828.0000,3,1.355883,1,2.191800,49.420092,3.525063,8.482623,34.534379,0
2010-01-19,sh.600008,7.5000,7.5300,7.3500,7.3900,7.4600,21905704,162268211.0000,3,0.995714,1,-0.938300,48.956364,3.491986,8.403027,34.210330,0
2010-01-20,sh.600008,7.4100,7.5200,7.2600,7.3200,7.3900,31919934,235673002.0000,3,1.450906,1,-0.947200,48.492637,3.458909,8.323431,33.886281,0
2010-01-21,sh.600008,7.3300,7.4600,7.2300,7.3900,7.3200,23726497,174431875.0000,3,1.078477,1,0.956300,48.956364,3.491986,8.403027,34.210330,0
2010-01-22,sh.600008,7.2500,7.3900,7.0200,7.1000,7.3900,23763945,170851592.0000,3,1.080179,1,-3.924200,47.035208,3.354953,8.073273,32.867841,0
2010-01-25,sh.600008,7.0100,7.1500,7.0000,7.0100,7.1000,10905499,77058387.0000,3,0.495704,1,-1.267600,46.438987,3.312425,7.970936,32.451206,0
2010-01-26,sh.600008,7.0600,7.0600,6.6000,6.6700,7.0100,19617366,132781472.0000,3,0.891698,1,-4.850200,44.186597,3.151766,7.584329,30.877253,0
2010-01-27,sh.600008,6.6800,6.7300,6.5000,6.5400,6.6700,14395180,95375264.0000,3,0.654326,1,-1.949000,43.325389,3.090337,7.436508,30.275448,0
2010-01-28,sh.600008,6.5600,6.6600,6.5600,6.6400,6.5400,8788121,58178312.0000,3,0.399460,1,1.529100,43.987857,3.137590,7.550216,30.738375,0
2010-01-29,sh.600008,6.6000,6.7000,6.5800,6.6200,6.6400,9188149,61080458.0000,3,0.417643,1,-0.301200,43.855363,3.128139,7.527475,30.645790,0
2010-02-01,sh.600008,6.6300,7.0700,6.4800,7.0200,6.6200,28640651,194623877.0000,3,1.301848,1,6.042300,46.505234,3.317151,7.982307,32.497499,0
2010-02-02,sh.600008,6.9400,7.0400,6.7300,6.7900,7.0200,18545500,127693533.0000,3,0.842977,1,-3.276400,44.981558,3.208469,7.720778,31.432766,0
2010-02-03,sh.600008,7.0000,7.4700,7.0000,7.4700,6.7900,85215398,630702454.0000,3,3.873427,1,10.014700,49.486339,3.529788,8.493993,34.580672,0
2010-02-04,sh.600008,7.8000,8.2200,7.6100,8.2200,7.4700,170640785,1364938681.0000,3,7.756399,1,10.040200,54.454847,3.884185,9.346804,38.052627,0
