报告日,经营活动产生的现金流量,销售商品、提供劳务收到的现金,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收到原保险合同保费取得的现金,收到再保险业务现金净额,保户储金及投资款净增加额,处置交易性金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,回购业务资金净增加额,收到的税费返还,收到的其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,支付原保险合同赔付款项的现金,支付利息、手续费及佣金的现金,支付保单红利的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付的其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动产生的现金流量,收回投资所收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产所收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到的其他与投资活动有关的现金,减少质押和定期存款所收到的现金,处置可供出售金融资产净增加额,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产所支付的现金,投资所支付的现金,质押贷款净增加额,取得子公司及其他营业单位支付的现金净额,增加质押和定期存款所支付的现金,支付的其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,筹资活动产生的现金流量,吸收投资收到的现金,子公司吸收少数股东投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息所支付的现金,子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金及现金等价物的影响,现金及现金等价物净增加额,期初现金及现金等价物余额,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,期末现金及现金等价物余额,数据源,是否审计,公告日期,币种,类型,更新日期
20250930,,330108930.89,,,,,,,,,,,6236505.67,4642211.7,340987648.26,182431907.07,,,,,,52950061.89,16568977.28,17547710.27,269498656.51,71488991.75,,125000365.84,1300650.28,20473.0,,,,,126321489.12,7654873.38,188000000.0,,,,,195654873.38,-69333384.26,,,,,,,0.0,350000.0,14071713.89,,,14421713.89,-14421713.89,6481167.24,-5784939.16,117023593.05,,,,,111238653.89,定期报告,未审计,20251028,CNY,合并期末,2025-10-28T19:54:18
20250630,,206182565.99,,,,,,,,,,,3556460.53,2381108.22,212120134.74,125709722.56,,,,,,37173750.21,12134046.37,9859600.91,184877120.05,27243014.69,,80000365.84,529879.95,5200.0,,,,,80535445.79,4102311.9,138000000.0,,,,,142102311.9,-61566866.11,,,,,,,0.0,350000.0,7654113.89,,,8004113.89,-8004113.89,6990711.74,-35337253.57,117023593.05,81686339.48,117023593.05,,,81686339.48,定期报告,未审计,20250820,CNY,合并期末,2025-08-20T18:02:06
20250331,,103074126.67,,,,,,,,,,,1944712.34,3998353.82,109017192.83,61559910.78,,,,,,20860404.37,5402230.29,3677674.18,91500219.62,17516973.21,,45000365.84,368221.35,5200.0,,,,,45373787.19,1910579.4,35000000.0,,,,,36910579.4,8463207.79,,,,,,,0.0,,27765.35,,,27765.35,-27765.35,2572827.33,28525242.98,117023593.05,,,,,145548836.03,定期报告,未审计,20250422,CNY,合并期末,2025-04-22T21:40:05
20241231,,434707980.45,,,,,,,,,,,9542955.07,5802486.03,450053421.55,267039848.92,,,,,,68189907.65,22622257.53,18144864.55,375996878.65,74056542.9,,129999634.16,2442877.75,643928.33,,,,,133086440.24,14892400.68,166000000.0,,,,,180892400.68,-47805960.44,,,,,,,0.0,350000.0,16096955.55,,,16446955.55,-16446955.55,56994.14,9860621.05,107162972.0,117023593.05,107162972.0,,,117023593.05,定期报告,是,20250331,CNY,合并期末,2025-03-31T19:50:08
20240930,,323008703.53,,,,,,,,,,,8646584.66,3656632.86,335311921.05,203120264.1,,,,,,52267758.04,16242391.41,18730654.47,290361068.02,44950853.03,,39524030.11,1209176.63,607827.04,,,,,41341033.78,11410136.27,75000000.0,,,,,86410136.27,-45069102.49,,,,,,,0.0,,15919594.45,,,15919594.45,-15919594.45,951272.92,-15086570.99,107162972.0,,,,,92076401.01,定期报告,未审计,20251028,CNY,合并期末,2024-10-28T18:35:12
20240630,,192362593.72,,,,,,,,,,,5300790.53,2237556.13,199900940.38,137478769.67,,,,,,35236661.37,12222540.11,10566543.48,195504514.63,4396425.75,,15722054.75,815180.63,243711.2,,,,,16780946.58,5243746.35,31000000.0,,,,,36243746.35,-19462799.77,,,,,,,0.0,,10418794.45,,,10418794.45,-10418794.45,158088.65,-25327079.82,107162972.0,81835892.18,107162972.0,,,81835892.18,定期报告,未审计,20250820,CNY,合并期末,2024-08-26T18:40:05
20240331,,94493909.04,,,,,,,,,,,2986829.35,2943029.11,100423767.5,68638448.03,,,,,,18257906.57,5453827.88,4012978.29,96363160.77,4060606.73,,722054.75,446180.63,118711.2,,,,,1286946.58,2093876.9,,,,,,2093876.9,-806930.32,,,,,,,0.0,,33994.45,,,33994.45,-33994.45,-243787.91,2975894.05,107162972.0,,,,,110138866.05,定期报告,未审计,20250422,CNY,合并期末,2024-04-26T19:40:12
20231231,,374675010.38,,,,,,,,,,,7786164.33,14587878.52,397049053.23,208511694.61,,,,,,63461023.74,17414516.15,30637801.53,320025036.03,77024017.2,,98000000.0,882863.37,138894.8,,,,,99021758.17,17746450.22,88000000.0,,,,,105746450.22,-6724692.05,,,,8000000.0,,,8000000.0,4000000.0,6286613.42,,13498744.09,23785357.51,-15785357.51,1916083.46,56430051.1,50732920.9,107162972.0,50732920.9,,,107162972.0,定期报告,是,20250331,CNY,合并期末,2024-04-26T19:40:12
20230930,,269323543.02,,,,,,,,,,,6114734.7,9880763.43,285319041.15,160509851.46,,,,,,47591193.29,12818250.43,18943336.62,239862631.8,45456409.35,,68467450.18,288079.25,50894.8,,,,,68806424.23,14707559.22,63000000.0,,,,,77707559.22,-8901134.99,,,,8000000.0,,,8000000.0,4000000.0,6234863.42,,13515610.76,23750474.18,-15750474.18,945894.61,21750694.79,50732920.9,,,,,72483615.69,定期报告,未审计,20241028,CNY,合并期末,2023-10-30T19:40:05
20230630,,175852968.98,,,,,,,,,,,3553733.85,8903095.22,188309798.05,110902193.53,,,,,,32104208.46,9215186.25,10386103.27,162607691.51,25702106.54,,29467450.18,131928.77,50894.8,,,,,29650273.75,9747153.3,19000000.0,,,,,28747153.3,903120.45,,,,,,,0.0,,,,13498744.09,13498744.09,-13498744.09,1646353.96,14752836.86,50732920.9,65485757.76,50732920.9,,,65485757.76,定期报告,未审计,20240826,CNY,合并期末,2024-08-26T18:40:05
