报告日,经营活动产生的现金流量,销售商品、提供劳务收到的现金,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收到原保险合同保费取得的现金,收到再保险业务现金净额,保户储金及投资款净增加额,处置交易性金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,回购业务资金净增加额,收到的税费返还,收到的其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,支付原保险合同赔付款项的现金,支付利息、手续费及佣金的现金,支付保单红利的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付的其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动产生的现金流量,收回投资所收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产所收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到的其他与投资活动有关的现金,减少质押和定期存款所收到的现金,处置可供出售金融资产净增加额,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产所支付的现金,投资所支付的现金,质押贷款净增加额,取得子公司及其他营业单位支付的现金净额,增加质押和定期存款所支付的现金,支付的其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,筹资活动产生的现金流量,吸收投资收到的现金,子公司吸收少数股东投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息所支付的现金,子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金及现金等价物的影响,现金及现金等价物净增加额,期初现金及现金等价物余额,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,期末现金及现金等价物余额,数据源,是否审计,公告日期,币种,类型,更新日期
20250930,,121416360.26,,,,,,,,,,,,2802805.11,124219165.37,78679173.27,,,,,,27300784.99,3782690.26,5540554.19,115303202.71,8915962.66,,,1404487.89,,,392970401.75,,,394374889.64,94254673.49,,,,,384150000.0,478404673.49,-84029783.85,,,,0.0,,,0.0,4642573.52,15280496.83,,,19923070.35,-19923070.35,-68115.57,-95105007.11,231328123.15,,,,,136223116.04,定期报告,未审计,20251029,CNY,合并期末,2025-10-29T21:12:19
20250630,,86077096.98,,,,,,,,,,,1126925.17,1837959.92,89041982.07,43639567.71,,,,,,17690948.46,3379597.43,2608854.11,67318967.71,21723014.36,,,865120.38,,,226820401.75,,,227685522.13,70810889.57,,,,,251150000.0,321960889.57,-94275367.44,,,,,,5788971.15,5788971.15,4642573.52,15422012.03,,2386222.02,22450807.57,-16661836.42,-300651.69,-89514841.19,219474570.27,129959729.08,219474570.27,,,129959729.08,定期报告,未审计,20250828,CNY,合并期末,2025-08-28T20:56:06
20250331,,46846801.98,,,,,,,,,,,,918660.32,47765462.3,33059177.14,,,,,,9791051.66,2215420.44,2545297.43,47610946.67,154515.63,,,540344.91,,,107000000.0,,,107540344.91,10469115.15,,,,,74000000.0,84469115.15,23071229.76,,,,0.0,,,0.0,3851279.78,60964.78,,,3912244.56,-3912244.56,-68115.57,19245385.26,231328123.15,,,,,250573508.41,定期报告,未审计,20250425,CNY,合并期末,2025-04-25T20:40:08
20241231,,177215843.85,,,,,,,,,,,0.0,8600561.4,185816405.25,146907844.74,,,,,,33009502.08,9161721.34,6188017.72,195267085.88,-9450680.63,,,2606320.53,7100.0,0.0,592000000.0,,,594613420.53,57897986.55,0.0,,,,698797916.67,756695903.22,-162082482.69,,0.0,,13299880.71,,9256064.29,22555945.0,13174485.83,15779882.03,,19371593.17,48325961.03,-25770016.03,-428796.75,-197731976.1,417206546.37,219474570.27,417206546.37,,,219474570.27,定期报告,是,20250328,CNY,合并期末,2025-03-28T20:15:12
20240930,,116617570.14,,,,,,,,,,,,5992337.39,122609907.53,90944461.12,,,,,,23264603.06,952247.44,4645226.98,119806538.6,2803368.93,,,2067245.23,,,449000000.0,,,451067245.23,56897977.32,,,,,459730750.0,516628727.32,-65561482.09,,,,9323933.09,,,9323933.09,10496380.24,15270235.01,,,25766615.25,-16442682.16,-81909.54,-79282704.86,422412448.29,,,,,343129743.43,定期报告,未审计,20251029,CNY,合并期末,2024-10-30T19:25:03
20240630,,77575149.67,,,,,,,,,,,,3858815.31,81433964.98,46620577.84,,,,,,15918004.49,3233025.56,2477790.61,68249398.5,13184566.48,,,1376880.51,,,287000000.0,,,288376880.51,34980666.82,,,,,339000000.0,373980666.82,-85603786.31,,,,6299535.46,,3405113.4,9704648.86,8121672.22,15397903.52,,500000.0,24019575.74,-14314926.88,15910.29,-86718236.42,417206546.37,330488309.95,417206549.37,,,330488309.95,定期报告,未审计,20250828,CNY,合并期末,2024-08-16T21:25:03
20240331,,45125283.8,,,,,,,,,,,,1942470.33,47067754.13,33196648.62,,,,,,9318945.54,1761845.97,2025848.69,46303288.82,764465.31,,,470961.02,,,119000000.0,,,119470961.02,15038587.12,,,,,168000000.0,183038587.12,-63567626.1,,,,3685556.21,,,3685556.21,3944999.26,33293.12,,,3978292.38,-292736.17,-17236.3,-63113133.26,422412546.37,,,,,359299413.11,定期报告,未审计,20250425,CNY,合并期末,2024-04-26T22:40:06
20231231,,181537551.99,,,,,,,,,,,0.0,7835415.19,189372967.18,89653845.27,,,,,,28391779.72,16990704.97,6305055.89,141341385.85,48031581.33,,,3944788.69,0.0,0.0,755010000.0,,,758954788.69,60781305.48,15000000.0,,,,838010000.0,913791305.48,-154836516.79,,0.0,,14616467.78,,0.0,14616467.78,15881887.95,30535842.43,,6055211.48,52472941.86,-37856474.08,16261.59,-144645147.95,561851694.32,417206546.37,561851694.32,,,417206546.37,定期报告,是,20250328,CNY,合并期末,2024-03-23T00:55:04
20230930,,138017445.71,,,,,,,,,,,,10955866.37,148973312.08,71483976.64,,,,,,20553458.08,14088392.35,7586507.29,113712334.36,35260977.72,,,1688001.41,,,359000000.0,,,360688001.41,44020735.78,,,,,500000000.0,544020735.78,-183332734.37,,,,10606467.85,,,10606467.85,12217918.36,30824215.08,,161697.27,43203830.71,-32597362.86,899991.27,-179769128.24,561851694.32,,,,,382082566.08,定期报告,未审计,20241030,CNY,合并期末,2023-10-27T18:35:09
20230630,,90673076.57,,,,,,,,,,,,6018673.5,96691750.07,46125207.43,,,,,,14663232.3,11241232.59,3673492.5,75703164.82,20988585.25,,,1144466.54,,,258000000.0,,,259144466.54,35590541.49,,,,,342000000.0,377590541.49,-118446074.95,,,,6405303.18,,,6405303.18,9788684.68,21395989.09,,,31184673.77,-24779370.59,704206.71,-121532653.58,561851694.32,422412546.37,561851694.32,,,440319040.74,定期报告,未审计,20240816,CNY,合并期末,2023-08-18T20:10:02
