报告日,经营活动产生的现金流量,销售商品、提供劳务收到的现金,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收到原保险合同保费取得的现金,收到再保险业务现金净额,保户储金及投资款净增加额,处置交易性金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,回购业务资金净增加额,收到的税费返还,收到的其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,支付原保险合同赔付款项的现金,支付利息、手续费及佣金的现金,支付保单红利的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付的其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动产生的现金流量,收回投资所收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产所收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到的其他与投资活动有关的现金,减少质押和定期存款所收到的现金,处置可供出售金融资产净增加额,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产所支付的现金,投资所支付的现金,质押贷款净增加额,取得子公司及其他营业单位支付的现金净额,增加质押和定期存款所支付的现金,支付的其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,筹资活动产生的现金流量,吸收投资收到的现金,子公司吸收少数股东投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息所支付的现金,子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金及现金等价物的影响,现金及现金等价物净增加额,期初现金及现金等价物余额,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,期末现金及现金等价物余额,数据源,是否审计,公告日期,币种,类型,更新日期
20250930,,228616544.84,,,,,,,,,,,394448.43,4758493.32,233769486.59,103281760.56,,,,,,53742376.09,20833629.55,4701651.71,182559417.91,51210068.68,,,,,,1606052088.73,,,1606052088.73,20152059.15,,,,,1454400000.0,1474552059.15,131500029.58,,,,50000.0,,,50000.0,,12999933.55,,19920.0,13019853.55,-12969853.55,141800.0,169882044.71,97676561.18,,,,,267558605.89,定期报告,未审计,20251028,CNY,合并期末,2025-10-28T18:10:21
20250630,,147552334.06,,,,,,,,,,,,4676809.17,152229143.23,69872802.72,,,,,,37872890.91,15939514.94,3638959.76,127324168.33,24904974.9,,,,,,1100944519.32,,,1100944519.32,16131554.19,,,,,987400000.0,1003531554.19,97412965.13,,,,50000.0,,,50000.0,,13000390.8,,19920.0,13020310.8,-12970310.8,129404.34,109477033.57,97676561.18,207153594.75,97676561.18,,,207153594.75,定期报告,未审计,20250825,CNY,合并期末,2025-08-25T20:00:18
20250331,,81539489.18,,,,,,,,,,,,4421340.7,85960829.88,28015645.68,,,,,,22675178.86,8328731.55,1470876.26,60490432.35,25470397.53,,,,,,508018968.59,,,508018968.59,9030294.19,,,,,523500000.0,532530294.19,-24511325.6,,,,50000.0,,,50000.0,,6500424.0,,,6500424.0,-6450424.0,81165.68,-5410186.39,97676561.18,,,,,92266374.79,定期报告,未审计,20250424,CNY,合并期末,2025-04-24T19:38:29
20241231,,313444684.69,,,,,,,,,,,1306996.37,1535045.17,316286726.23,154053280.61,,,,,,70081562.05,25451125.13,10494757.84,260080725.63,56206000.6,,,,32000.0,,1243977524.08,,,1244009524.08,12591181.48,,,,,1435550000.0,1448141181.48,-204131657.4,,108568010.0,,50000.0,,,108618010.0,50000.0,985.84,,4393307.22,4444293.06,104173716.94,271416.88,-43480522.98,141157084.16,97676561.18,141157084.16,,,97676561.18,定期报告,是,20250424,CNY,合并期末,2025-04-24T19:26:09
20240930,,233705350.55,,,,,,,,,,,553813.86,1140376.64,235399541.05,132231693.51,,,,,,54676834.78,19010397.54,8868874.63,214787800.46,20611740.59,,,,32000.0,,841991395.23,,,842023395.23,5366179.72,,,,,980550000.0,985916179.72,-143892784.49,,117727031.62,,50000.0,,,117777031.62,,476.67,,11812321.2,11812797.87,105964233.75,217895.3,-17098914.85,141157084.16,,,,,124058169.31,定期报告,未审计,20251028,CNY,合并期末,2024-10-28T18:30:06
20240630,,153893747.81,,,,,,,,,,,553813.86,840893.92,155288455.59,77409238.02,,,,,,40090526.52,12718887.69,6439480.31,136658132.54,18630323.05,,,,32000.0,,560784234.47,,,560816234.47,2049764.72,,,,,606000000.0,608049764.72,-47233530.25,,103700000.0,,50000.0,,,103750000.0,,,,10112356.0,10112356.0,93637644.0,211019.74,65245456.54,141157084.16,206402540.7,141157084.16,,,206402540.7,定期报告,未审计,20250825,CNY,合并期末,2024-08-20T19:05:09
20240331,,69486619.71,,,,,,,,,,,,652689.3,70139309.01,43522050.92,,,,,,19833972.83,5609150.04,2550502.73,71515676.52,-1376367.51,,,,,,310471198.2,,,310471198.2,1468841.41,,,,,310000000.0,311468841.41,-997643.21,,,,,,,0.0,,,,,0.0,0.0,71131.77,-2302878.95,141157084.16,138854205.21,141157084.16,,,138854205.21,定期报告,未审计,20250424,CNY,合并期末,2024-05-14T19:05:07
20231231,,290432805.45,,,,,,,,,,,326940.28,8445806.76,299205552.49,157701200.45,,,,,,63383847.18,46480131.42,9821584.26,277386763.31,21818789.18,,,,169888.93,,887522821.31,,,887692710.24,7198776.51,,,,,765770000.0,772968776.51,114723933.73,,34000060.0,,100000.0,,17295.85,34117355.85,150000.0,62161452.37,,19920.0,62331372.37,-28214016.52,284762.36,108613468.75,32543615.41,141157084.16,32543615.41,,,141157084.16,定期报告,是,20250424,CNY,合并期末,2024-05-21T15:35:13
20230930,,207943961.66,,,,,,,,,,,326940.28,1973188.77,210244090.71,123897757.09,,,,,,50769681.32,36890392.59,6885263.11,218443094.11,-8199003.4,,,,123000.0,,626858218.97,,,626981218.97,6743701.19,,,,,505270000.0,512013701.19,114967517.78,,34000060.0,,100000.0,,,34100060.0,100000.0,62161039.87,,19920.0,62280959.87,-28180899.87,191473.74,78779088.25,32543615.41,111322703.66,32543615.41,,,111322703.66,定期报告,未审计,20241028,CNY,合并期末,2023-10-30T16:10:03
20230630,,127225642.94,,,,,,,,,,,326940.28,1866033.93,129418617.15,83550579.64,,,,,,37641281.05,29834570.28,5217975.8,156244406.77,-26825789.62,,,,123000.0,,456330581.68,,,456453581.68,2071512.96,,,,,365270000.0,367341512.96,89112068.72,,34000060.0,,100000.0,,,34100060.0,100000.0,62160694.03,,19920.0,62280614.03,-28180554.03,124139.15,34229864.22,32543615.41,66773479.63,32543615.41,,,66773479.63,定期报告,是,20240820,CNY,合并期末,2023-08-28T20:20:02
