报告日,经营活动产生的现金流量,销售商品、提供劳务收到的现金,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收到原保险合同保费取得的现金,收到再保险业务现金净额,保户储金及投资款净增加额,处置交易性金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,回购业务资金净增加额,收到的税费返还,收到的其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,支付原保险合同赔付款项的现金,支付利息、手续费及佣金的现金,支付保单红利的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付的其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动产生的现金流量,收回投资所收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产所收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到的其他与投资活动有关的现金,减少质押和定期存款所收到的现金,处置可供出售金融资产净增加额,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产所支付的现金,投资所支付的现金,质押贷款净增加额,取得子公司及其他营业单位支付的现金净额,增加质押和定期存款所支付的现金,支付的其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,筹资活动产生的现金流量,吸收投资收到的现金,子公司吸收少数股东投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息所支付的现金,子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金及现金等价物的影响,现金及现金等价物净增加额,期初现金及现金等价物余额,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,期末现金及现金等价物余额,数据源,是否审计,公告日期,币种,类型,更新日期
20250630,,188862404.76,,,,,,,,,,,,45855389.06,234717793.82,20226513.43,,,,,,129817953.77,25810716.95,25499459.33,201354643.48,33363150.34,,264900000.0,2795174.41,15000.0,,,,,267710174.41,710168.22,375200000.0,,,,,375910168.22,-108199993.81,,,,100000.0,,,100000.0,,652.67,,2431894.56,2432547.23,-2332547.23,-10486.65,-77179877.35,140040710.62,62860833.27,140040710.62,,,62860833.27,招股说明书/意向书,是,20251024,CNY,合并期末,2025-08-11T16:42:03
20250331,,138720877.1,,,,,,,,,,,,48142196.37,186863073.47,11033937.6,,,,,,95415928.25,14518066.72,23655989.16,144623921.73,42239151.74,,212200000.0,1671849.78,15000.0,,,,,213886849.78,1286689.32,226200000.0,,,,,227486689.32,-13599839.54,,,,,,,0.0,,,,2453075.56,2453075.56,-2453075.56,-5435.6,26180801.04,140040710.62,166221511.66,140040710.62,,,166221511.66,其他,未审计,20250529,CNY,合并期末,2025-05-29T19:58:03
20241231,,365238043.57,,,,,,,,,,,,130440255.93,495678299.5,45954567.67,,,,,,166897457.68,31124656.15,108862115.03,352838796.53,142839502.97,,300820000.0,5915712.5,11200.0,,,,,306746912.5,4850348.39,345400000.0,,,,,350250348.39,-43503435.89,,,,,,,0.0,,,,6363722.24,6363722.24,-6363722.24,,92972344.84,47068365.78,140040710.62,47068365.78,,,140040710.62,招股说明书/意向书,是,20251024,CNY,合并期末,2025-04-28T15:50:06
20240930,,261601582.55,,,,,,,,,,,,90107613.02,351709195.57,36819101.29,,,,,,137426917.28,24417563.67,78882175.22,277545757.46,74163438.11,,159890000.0,3579557.91,8700.0,,,,,163478257.91,2252986.78,199800000.0,,,,,202052986.78,-38574728.87,,,,,,,0.0,,,,5935644.37,5935644.37,-5935644.37,,29653064.87,47068365.78,76721430.65,47068365.78,,,76721430.65,其他,未审计,20241114,CNY,合并期末,2024-11-14T16:20:03
20240630,,197507897.28,,,,,,,,,,,,33395782.91,230903680.19,21827420.35,,,,,,110768189.96,20639535.8,29523283.09,182758429.2,48145250.99,,130690000.0,3312804.15,6200.0,,,,,134009004.15,1222184.95,164800000.0,,,,,166022184.95,-32013180.8,,,,,,,0.0,,,,3413027.47,3413027.47,-3413027.47,,12719042.72,47068365.78,59787408.5,47068365.78,,,59787408.5,定期报告,是,20250811,CNY,合并期末,2024-08-28T16:20:11
20240331,,153436453.35,,,,,,,,,,,,5704275.0,159140728.35,17655497.14,,,,,,78396247.24,13981546.52,9718665.87,119751956.77,39388771.58,,52590000.0,1322694.47,3000.0,,,,,53915694.47,747466.59,80100000.0,,,,,80847466.59,-26931772.12,,,,,,,0.0,,,,2562023.64,2562023.64,-2562023.64,,9894975.82,47068365.78,56963341.6,47068365.78,,,56963341.6,其他,未审计,20250529,CNY,合并期末,2025-05-29T19:58:03
20231231,,338684852.67,,,,,,,,,,,,3728188.99,342413041.66,45404937.26,,,,,,151078782.88,49968750.65,30255596.36,276708067.15,65704974.51,,182620000.0,3712561.09,,,,,,186332561.09,6227042.0,225890000.0,,,,,232117042.0,-45784480.91,,9752200.76,,1296827.07,,,11049027.83,227618.0,30428571.6,,10257055.32,40913244.92,-29864217.09,,-9943723.49,57012089.27,47068365.78,57012089.27,,,47068365.78,定期报告,是,20250428,CNY,合并期末,2024-03-28T17:25:04
20230930,,246207606.85,,,,,,,,,,,,3225980.92,249433587.77,34804433.13,,,,,,125213801.03,44258937.67,27294145.6,231571317.43,17862270.34,,166820000.0,3712561.09,,,,,,170532561.09,4436934.19,125400000.0,,,,,129836934.19,40695626.9,,9752200.76,,338548.74,,,10090749.5,227618.0,30428571.6,,3951831.49,34608021.09,-24517271.59,,34040625.65,57012089.27,91052714.92,57012089.27,,,91052714.92,其他,未审计,20241114,CNY,合并期末,2023-11-27T16:20:17
20230630,,177638923.75,,,,,,,,,,,,1589790.79,179228714.54,20359741.58,,,,,,95657338.83,34869320.56,22939014.53,173825415.5,5403299.04,,89520000.0,2681958.43,,,,,,92201958.43,3533628.74,76700000.0,,,,,80233628.74,11968329.69,,9752200.76,,338548.74,,,10090749.5,227618.0,30428571.6,,2294950.74,32951140.34,-22860390.84,,-5488762.11,57012089.27,51523327.16,57012089.27,,,51523327.16,定期报告,是,20240828,CNY,合并期末,2023-08-30T22:05:03
20221231,,296830198.27,,,,,,,,,,,,4266502.83,301096701.1,38152788.11,,,,,,142954768.29,36782360.77,25510350.35,243400267.52,57696433.58,,217570000.0,3695074.41,3000.0,,,,,221268074.41,6890097.86,222860000.0,,3430000.0,,,233180097.86,-11912023.45,,1550000.0,,19227618.0,,,20777618.0,28500000.0,25195768.7,,3460763.45,57156532.15,-36378914.15,,9405495.98,47606593.29,57012089.27,47606593.29,,,57012089.27,招股说明书/意向书,是,20251024,CNY,合并期末,2023-04-27T21:35:20
