报告日,经营活动产生的现金流量,销售商品、提供劳务收到的现金,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收到原保险合同保费取得的现金,收到再保险业务现金净额,保户储金及投资款净增加额,处置交易性金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,回购业务资金净增加额,收到的税费返还,收到的其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,支付原保险合同赔付款项的现金,支付利息、手续费及佣金的现金,支付保单红利的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付的其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动产生的现金流量,收回投资所收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产所收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到的其他与投资活动有关的现金,减少质押和定期存款所收到的现金,处置可供出售金融资产净增加额,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产所支付的现金,投资所支付的现金,质押贷款净增加额,取得子公司及其他营业单位支付的现金净额,增加质押和定期存款所支付的现金,支付的其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,筹资活动产生的现金流量,吸收投资收到的现金,子公司吸收少数股东投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息所支付的现金,子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金及现金等价物的影响,现金及现金等价物净增加额,期初现金及现金等价物余额,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,期末现金及现金等价物余额,数据源,是否审计,公告日期,币种,类型,更新日期
20250930,,327080872.07,,,,,,,,,,,5262481.34,7360994.15,339704347.56,225458789.47,,,,,,43659796.5,15077475.89,11056862.12,295252923.98,44451423.58,,139410998.0,171690.42,,,,,,139582688.42,3338587.09,139410998.0,,,,,142749585.09,-3166896.67,,234886415.09,,,,,234886415.09,,,,1120759.73,1120759.73,233765655.36,-1407405.9,273642776.37,256869359.25,,,,,530512135.62,定期报告,未审计,20251028,CNY,合并期末,2025-10-28T19:47:49
20250630,,221958914.75,,,,,,,,,,,3917645.59,4638942.9,230515503.24,141017642.62,,,,,,30172733.91,11262248.44,7611984.25,190064609.22,40450894.02,,139410998.0,171690.42,,,,,,139582688.42,1693300.29,139410998.0,,,,,141104298.29,-1521609.87,,,,,,,0.0,,,,1120759.73,1120759.73,-1120759.73,-1789658.93,36018865.49,256869359.25,292888224.74,256869359.25,,,292888224.74,定期报告,未审计,20250815,CNY,合并期末,2025-08-15T18:16:13
20250331,,115384874.16,,,,,,,,,,,1968674.57,1737743.71,119091292.44,72022693.99,,,,,,16400300.75,4538922.01,2437033.07,95398949.82,23692342.62,,88000000.0,57803.43,,,,,,88057803.43,1093985.92,108794000.0,,,,,109887985.92,-21830182.49,,,,,,,0.0,,,,1120759.73,1120759.73,-1120759.73,449312.52,1190712.92,256420703.8,257611416.72,256420703.8,,,257611416.72,其他,未审计,20250530,CNY,合并期末,2025-05-30T20:36:03
20241231,,482988695.32,,,,,,,,,,,4703252.45,8347935.59,496039883.36,338492927.37,,,,,,63060317.51,12377955.0,12019314.22,425950514.1,70089369.26,,494590000.0,1954395.92,18159.29,,,,,496562555.21,6816430.62,494590000.0,,,,0.28,501406430.9,-4843875.69,,,,,,200000.0,200000.0,,15000000.0,,5193129.32,20193129.32,-19993129.32,2833432.61,48085796.86,208783562.39,256869359.25,208783562.39,,,256869359.25,招股说明书/意向书,是,20250718,CNY,合并期末,2025-02-28T20:20:16
20240930,,316901014.37,,,,,,,,,,,3246576.31,6220290.38,326367881.06,206708084.22,,,,,,44897467.54,10043743.43,11623492.09,273272787.28,53095093.78,,186840272.38,305988.44,,,,,,187146260.82,6982765.44,266750000.0,,,,0.28,273732765.72,-86586504.9,,,,,,200000.0,200000.0,,15000000.0,,3448135.67,18448135.67,-18248135.67,14868.98,-51724677.81,208783562.39,157058884.58,208783562.39,,,157058884.58,定期报告,未审计,20251028,CNY,合并期末,2024-12-24T21:20:12
20240630,,211037652.04,,,,,,,,,,,2491932.61,3919840.43,217449425.08,137648255.28,,,,,,28979503.27,4726622.33,8057523.04,179411903.92,38037521.16,,104000000.0,301975.34,,,,,,104301975.34,2948927.27,134000000.0,,,,0.28,136948927.55,-32646952.21,,,,,,200000.0,200000.0,,15000000.0,,2454198.4,17454198.4,-17254198.4,620168.9,-11243460.55,208783562.39,197540101.84,208783562.39,,,197540101.84,定期报告,是,20250815,CNY,合并期末,2024-08-28T16:10:16
20240331,,123961666.37,,,,,,,,,,,1392962.02,778428.08,126133056.47,75441092.87,,,,,,14453414.14,3170475.83,2755548.41,95820531.25,30312525.22,,14000000.0,13808.22,,,,,,14013808.22,1520009.16,14000000.0,,,,0.14,15520009.3,-1506201.08,,,,,,,0.0,,,,963508.06,963508.06,-963508.06,-2497048.86,25345767.22,208801086.78,234146854.0,208801086.78,,,234146854.0,其他,未审计,20250530,CNY,合并期末,2024-06-14T19:00:05
20231231,,353579400.12,,,,,,,,,,,2593911.95,3418968.39,359592280.46,240172782.47,,,,,,52283863.35,20629198.9,14090496.71,327176341.43,32415939.03,,945500000.0,2191344.12,31000.0,,,,,947722344.12,7322405.79,855500000.0,,,,0.62,862822406.41,84899937.71,,,,,,213000.1,213000.1,,3853091.88,,1644898.55,5497990.43,-5284990.33,-3514896.92,108515989.49,100267572.9,208783562.39,100267572.9,,,208783562.39,定期报告,是,20250326,CNY,合并期末,2024-04-29T21:00:05
20230930,,257612362.02,,,,,,,,,,,1136042.42,1861787.76,260610192.2,189337987.63,,,,,,37692064.31,16252571.04,10713591.88,253996214.86,6613977.34,,757000000.0,1571605.73,,,,,,758571605.73,1027896.73,730000000.0,,,,0.34,731027897.07,27543708.66,,,,,,213000.1,213000.1,,3853091.88,,672811.71,4525903.59,-4312903.49,-922461.43,28922321.08,100267572.9,129189893.98,100267572.9,,,129189893.98,其他,未审计,20241224,CNY,合并期末,2024-12-24T20:40:03
20230630,,158282113.95,,,,,,,,,,,381299.8,578619.7,159242033.45,120854128.48,,,,,,26456048.13,13455344.48,6071955.12,166837476.21,-7595442.76,,571000000.0,1478199.96,,,,,,572478199.96,965465.23,481000000.0,,,,0.34,481965465.57,90512734.39,,,,,,213000.1,213000.1,,3853091.88,,562841.55,4415933.43,-4202933.33,-310943.21,78403415.09,100267572.9,178670987.99,100267572.9,,,178670987.99,定期报告,是,20241224,CNY,合并期末,2023-12-29T14:45:03
