报告日,流动资产,货币资金,结算备付金,拆出资金,交易性金融资产,买入返售金融资产,衍生金融资产,应收票据及应收账款,应收票据,应收账款,应收款项融资,预付款项,应收股利,应收利息,应收保费,应收分保账款,应收分保合同准备金,应收出口退税,应收补贴款,应收保证金,内部应收款,其他应收款,其他应收款(合计),存货,划分为持有待售的资产,待摊费用,待处理流动资产损益,一年内到期的非流动资产,其他流动资产,流动资产合计,非流动资产,发放贷款及垫款,债权投资,其他债权投资,以公允价值计量且其变动计入其他综合收益的金融资产,以摊余成本计量的金融资产,可供出售金融资产,长期股权投资,投资性房地产,长期应收款,其他权益工具投资,其他非流动金融资产,其他长期投资,固定资产原值,累计折旧,固定资产净值,固定资产减值准备,在建工程合计,在建工程,工程物资,固定资产净额,固定资产清理,固定资产及清理合计,生产性生物资产,公益性生物资产,油气资产,合同资产,使用权资产,无形资产,开发支出,商誉,长期待摊费用,股权分置流通权,递延所得税资产,其他非流动资产,非流动资产合计,资产总计,流动负债,短期借款,向中央银行借款,吸收存款及同业存放,拆入资金,交易性金融负债,衍生金融负债,应付票据及应付账款,应付票据,应付账款,预收款项,合同负债,卖出回购金融资产款,应付手续费及佣金,应付职工薪酬,应交税费,应付利息,应付股利,应付保证金,内部应付款,其他应付款,其他应付款合计,其他应交款,担保责任赔偿准备金,应付分保账款,保险合同准备金,代理买卖证券款,代理承销证券款,国际票证结算,国内票证结算,预提费用,预计流动负债,应付短期债券,划分为持有待售的负债,一年内的递延收益,一年内到期的非流动负债,其他流动负债,流动负债合计,非流动负债,长期借款,应付债券,应付债券：优先股,应付债券：永续债,租赁负债,长期应付职工薪酬,长期应付款,长期应付款合计,专项应付款,预计非流动负债,长期递延收益,递延所得税负债,其他非流动负债,非流动负债合计,负债合计,所有者权益,实收资本(或股本),其他权益工具,优先股,永续债,资本公积,减:库存股,其他综合收益,专项储备,盈余公积,一般风险准备,未确定的投资损失,未分配利润,拟分配现金股利,外币报表折算差额,归属于母公司股东权益合计,少数股东权益,所有者权益(或股东权益)合计,负债和所有者权益(或股东权益)总计,数据源,是否审计,公告日期,币种,类型,更新日期
20250930,,127592043.04,,,148858822.06,,,107564970.26,26403654.58,81161315.68,792201.91,1171207.25,,,,,,,,,,,1474017.72,99957285.65,,,,,1760215.85,489170763.74,,,,,,,,,,,,,,,,,,3451059.52,,,,,262776229.75,,,,,,38309118.86,,,1638753.0,,4593928.57,525978.21,311295067.91,800465831.65,,,,,,,,78680586.1,31933963.31,46746622.79,,8033975.97,,,3889111.39,6107078.73,,,,,,262490.0,,,,,,,,,,,,,,1600000.0,3545559.15,102118801.34,,1700000.0,,,,,,,,,,45308875.19,,,47008875.19,149127676.53,,91680000.0,,,,141937296.36,,,5984665.8,41938096.19,,,367974685.69,,,649514744.04,1823411.08,651338155.12,800465831.65,定期报告,未审计,20251028,CNY,合并期末,2025-10-28T19:54:08
20250630,,94690527.29,,,143934798.24,,,109611251.9,30170157.48,79441094.42,179318.7,655905.27,,,,,,,,,,2085643.92,2085643.92,109302936.71,,,,,2927239.1,463387621.13,,,,,,,,,,,,,,430366693.38,163273937.55,267092755.83,,2822858.43,2822858.43,,267092755.83,,267092755.83,,,,,,38172183.59,,,1833473.67,,3921809.61,359591.38,314202672.51,777590293.64,,,,,,59226.09,,76109212.82,25725012.32,50384200.5,,3954679.58,,,4025632.81,4296662.55,,,,,275086.0,275086.0,,,,,,,,,,,,,,1600000.0,5092116.65,95412616.5,,1700000.0,,,,,,,,,,45808687.61,,,47508687.61,142921304.11,,91680000.0,,,,141937296.36,,,5414050.84,41938096.19,,,352112909.98,,,633082353.37,1586636.16,634668989.53,777590293.64,定期报告,未审计,20250820,CNY,合并期末,2025-08-20T18:02:05
20250331,,153310367.57,,,75272634.47,,,104554853.27,40430072.9,64124780.37,1031636.73,1274681.23,,,,,,,,,,,1902450.31,111772967.62,,,,,2219844.15,451339435.35,,,,,,,,,,,,,,,,,,4178000.86,,,,,267334088.96,,,,,,38345941.98,,,2028194.34,,3612841.68,2664239.41,318163307.23,769502742.58,,,,,,110626.09,,73999960.69,23502364.22,50497596.47,,4637445.56,,,4247172.32,4811412.1,,,,,,841882.38,,,,,,,,,,,,,,1150000.0,10220055.96,100018555.1,,2500000.0,,,,,,,,,,46308500.03,,,48808500.03,148827055.13,,91680000.0,,,,141937296.36,,,4882067.74,41938096.19,,,338840363.16,,,619277823.45,1397864.0,620675687.45,769502742.58,定期报告,未审计,20250422,CNY,合并期末,2025-04-22T21:40:05
20241231,,127408505.67,,,85150148.25,,,123305841.58,27429151.92,95876689.66,461533.13,696921.73,,,,,,,,,,1953963.91,1953963.91,103321186.78,,,,,2141491.38,444439592.43,,,,,,,,,,,,,,421218843.0,152352338.95,268866504.05,,6160453.26,6160453.26,,268866504.05,,268866504.05,,,,,,38740322.58,,,2226415.01,,3492070.39,2545939.76,322031705.05,766471297.48,,,,,,321135.0,,78906454.49,27713061.27,51193393.22,,7118076.06,,,8886657.11,5532754.48,,,,,289514.08,289514.08,,,,,,,,,,,,,,1150000.0,6798386.38,109002977.6,,2500000.0,,,,,,,,,,46808312.45,,,49308312.45,158311290.05,,91680000.0,,,,141937296.36,,,4280861.42,41938096.19,,,326751018.56,,,606587272.53,1572734.9,608160007.43,766471297.48,定期报告,是,20251028,CNY,合并期末,2025-03-31T19:50:09
20240930,,110448901.22,,,29085198.8,,,123259240.65,13526991.8,109732248.85,1178954.57,2155147.88,,,,,,,,,,,1901331.55,113740597.22,,,,,57817150.81,439586522.7,,,,,,,,,,,,,,,,,,,,,,,272494609.16,,,,,,39134703.2,,,1790425.27,,8681994.11,6668790.14,328770521.88,768357044.58,,,,,,,,82880798.55,31557375.69,51323422.86,,2100876.38,,,4098028.38,6395030.04,,,,,,7760003.65,,,,,,,,,,,,,,,13357229.47,116591966.47,,4000000.0,,,,,,,,,,46110124.87,5843312.7,,55953437.57,172545404.04,,91680000.0,,,,141937296.36,,,3817298.23,35065881.79,,,321734364.61,,,594234840.99,1576799.55,595811640.54,768357044.58,定期报告,未审计,20241028,CNY,合并期末,2024-10-28T18:35:13
20240630,,96510988.74,,,33796818.29,,,108987095.52,3523991.25,105463104.27,24078.28,2225698.01,,,,,,,,,,1906805.6,1906805.6,121982598.71,,,,,34157197.11,399591280.26,,,,,,,,,,,,,,421790824.23,146163938.51,275626885.72,,,,,275626885.72,,275626885.72,,,,,,39473036.64,,,1963585.42,,8629703.36,4315636.12,330008847.26,729600127.52,,,,,,,,82456062.36,23906282.89,58549779.47,,1117263.97,,,4041419.19,4374735.23,,,,,567359.7,567359.7,,,,,,,,,,,,,,700000.0,3551358.16,96808198.61,,3300000.0,,,,,,,,,,46560141.05,6111365.64,,55971506.69,152779705.3,,91680000.0,,,,141937296.36,,,3258824.03,35065881.79,,,303552394.23,,,575494396.41,1326025.81,576820422.22,729600127.52,定期报告,未审计,20240826,CNY,合并期末,2024-08-26T18:40:05
20240331,,121526938.86,,,33445184.26,,,85437997.07,4229756.53,81208240.54,282020.68,2653249.88,,,,,,,,,,,2106673.9,115797856.46,,,,,16491886.69,377741807.8,,,,,,,,,,,,,,,,,,4455.45,,,,,272819425.29,,,,,,39841435.02,,,2136745.57,,8369587.07,9797885.6,332969534.0,710711341.8,,,,,,129220.5,,69114595.34,22776019.25,46338576.09,,1117997.0,,,4020700.46,5255894.32,,,,,,743610.57,,,,,,,,,,,,,,,3687429.14,84069447.33,,4000000.0,,,,,,,,,,47010157.22,6393426.1,,57403583.32,141473030.65,,91680000.0,,,,141937296.36,,,2755201.75,35065881.79,,,296329384.23,,,567767764.13,1470547.02,569238311.15,710711341.8,定期报告,未审计,20240426,CNY,合并期末,2024-04-26T19:40:15
20231231,,120624688.07,,,34289478.25,,,96370461.32,3531773.61,92838687.71,1656069.32,1821490.19,,,,,,,,,,1921949.27,1921949.27,106666108.3,,,,,16562787.72,379913032.44,,,,,,,,,,,,,,414155892.11,136703007.73,277452884.38,,,,,277452884.38,,277452884.38,,,,,,40229594.47,,,2309905.72,,8335556.12,9519877.3,337847817.99,717760850.43,,,,,,,,78489147.09,28578370.69,49910776.4,,4810494.58,,,6695060.03,6286661.71,,,,,727303.01,727303.01,,,,,,,,,,,,,,,5655943.43,102664609.85,,4000000.0,,,,,,,,,,47460173.39,6650143.65,,58110317.04,160774926.89,,91680000.0,,,,141937296.36,,,2185950.98,35065881.79,,,284734198.3,,,555603327.43,1382596.11,556985923.54,717760850.43,定期报告,是,20250331,CNY,合并期末,2024-04-26T19:40:15
20230930,,78469716.02,,,18915640.45,,,92597113.24,7786669.73,84810443.51,4014021.8,2764594.5,,,,,,,,,,,1497257.8,106502192.08,,,,,36373892.47,341134428.36,,,,,,,,,37914860.03,,,,,,,,,95182.06,,,,,243335475.86,,,,,,40316660.54,,,2040602.3,,8353312.43,8929923.81,340986017.03,682120445.39,,,,,,163848.84,,60346711.91,15975966.72,44370745.19,,2002768.36,,,3831651.63,5105022.8,,,,,,562076.49,,,,,,,,,,,,,,,6454421.83,78466501.86,,4000000.0,,,,,,,,,,47910189.56,7439941.01,,59350130.57,137816632.43,,91680000.0,,,,141937296.36,,,,30041571.27,,,279397998.5,,,543056866.13,1246946.83,544303812.96,682120445.39,定期报告,未审计,20231030,CNY,合并期末,2023-10-30T19:45:04
20230630,,67887004.3,,,19908389.51,,,82294944.08,9982061.58,72312882.5,1150000.0,2193871.42,,,,,,,,,,1509113.53,1509113.52,112901645.3,,,,,30373892.47,318218860.6,,,,,,,,,,,,,,409653578.52,125911803.77,283741774.75,,446887.16,446887.16,,283741774.75,,283741774.75,,,,,,40680407.0,,,1969559.26,,8380094.97,7507711.69,342726434.83,660945295.43,,,,,,630960.48,,52555604.79,4876045.46,47679559.33,,1098282.98,,,3794938.49,3507144.98,,6234240.0,,,291400.0,6525640.0,,,,,,,,,,,,,,,6864937.95,74977509.67,,,,,,,,,,,,48360205.73,7549292.55,,55909498.28,130887007.95,,91680000.0,,,,141937296.36,,,,30041571.27,,,265352595.79,,,529011463.42,1046824.06,530058287.48,660945295.43,定期报告,未审计,20230824,CNY,合并期末,2023-08-24T16:15:03
