报告日,流动资产,货币资金,结算备付金,拆出资金,交易性金融资产,买入返售金融资产,衍生金融资产,应收票据及应收账款,应收票据,应收账款,应收款项融资,预付款项,应收股利,应收利息,应收保费,应收分保账款,应收分保合同准备金,应收出口退税,应收补贴款,应收保证金,内部应收款,其他应收款,其他应收款(合计),存货,划分为持有待售的资产,待摊费用,待处理流动资产损益,一年内到期的非流动资产,其他流动资产,流动资产合计,非流动资产,发放贷款及垫款,债权投资,其他债权投资,以公允价值计量且其变动计入其他综合收益的金融资产,以摊余成本计量的金融资产,可供出售金融资产,长期股权投资,投资性房地产,长期应收款,其他权益工具投资,其他非流动金融资产,其他长期投资,固定资产原值,累计折旧,固定资产净值,固定资产减值准备,在建工程合计,在建工程,工程物资,固定资产净额,固定资产清理,固定资产及清理合计,生产性生物资产,公益性生物资产,油气资产,合同资产,使用权资产,无形资产,开发支出,商誉,长期待摊费用,股权分置流通权,递延所得税资产,其他非流动资产,非流动资产合计,资产总计,流动负债,短期借款,向中央银行借款,吸收存款及同业存放,拆入资金,交易性金融负债,衍生金融负债,应付票据及应付账款,应付票据,应付账款,预收款项,合同负债,卖出回购金融资产款,应付手续费及佣金,应付职工薪酬,应交税费,应付利息,应付股利,应付保证金,内部应付款,其他应付款,其他应付款合计,其他应交款,担保责任赔偿准备金,应付分保账款,保险合同准备金,代理买卖证券款,代理承销证券款,国际票证结算,国内票证结算,预提费用,预计流动负债,应付短期债券,划分为持有待售的负债,一年内的递延收益,一年内到期的非流动负债,其他流动负债,流动负债合计,非流动负债,长期借款,应付债券,应付债券：优先股,应付债券：永续债,租赁负债,长期应付职工薪酬,长期应付款,长期应付款合计,专项应付款,预计非流动负债,长期递延收益,递延所得税负债,其他非流动负债,非流动负债合计,负债合计,所有者权益,实收资本(或股本),其他权益工具,优先股,永续债,资本公积,减:库存股,其他综合收益,专项储备,盈余公积,一般风险准备,未确定的投资损失,未分配利润,拟分配现金股利,外币报表折算差额,归属于母公司股东权益合计,少数股东权益,所有者权益(或股东权益)合计,负债和所有者权益(或股东权益)总计,数据源,是否审计,公告日期,币种,类型,更新日期
20250930,,139464167.9,,,88164921.1,,,60226596.88,,60226596.88,21529096.15,1810019.28,,0.0,,,,,,,,,42125.0,100689339.38,,,,,64221493.15,476147758.84,,,,,,,,10558272.43,,,,,,,,,,125829185.46,,,,,83572961.34,,,,,53215817.89,2261381.27,,,32678886.08,,2292154.51,62208005.74,372616664.72,848764423.56,,0.0,,,,0.0,,24725093.05,,24725093.05,0.0,479985.15,,,3630504.59,358935.99,,,,,,3231689.38,,,,,,,,,,,,,,3834989.85,33185.27,36294383.28,,,,,,53071703.53,,,,,,625000.0,,,53696703.53,89991086.81,,153656204.0,,,,348764823.06,69211.48,0.0,,36260396.42,,,220161124.75,,,758773336.75,,758773336.75,848764423.56,定期报告,未审计,20251029,CNY,合并期末,2025-10-29T21:12:03
20250630,,136024310.81,,,108288983.56,,,63193638.69,,63193638.69,18442161.83,1495749.95,,,,,,,,,,143948.47,143948.47,86961444.77,,,,,52894241.58,467444479.66,,,,,,,,11751743.38,,,,,,236251395.6,151489975.15,84761420.45,,113773598.04,113773598.04,,84761420.45,,84761420.45,,,,,54219889.93,2374313.96,,,34186570.02,,2238780.09,71891302.51,375197618.38,842642098.04,,,,,,,,20303759.97,,20303759.97,,129403.42,,,3542601.07,270723.34,,,,,1005959.59,1005959.59,,,,,,,,,,,,,,3809526.86,16822.45,29078796.7,,,,,,53741798.93,,,,,,750000.0,,,54491798.93,83570595.63,,153656204.0,,,,348764823.06,69211.48,,,36260396.42,,,220459290.41,,,759071502.41,,759071502.41,842642098.04,定期报告,未审计,20250828,CNY,合并期末,2025-08-28T20:56:05
20250331,,260573508.41,,,65147861.64,,,50618712.39,,50618712.39,41688114.12,679574.72,,0.0,,,,,,,,,152721.29,86676819.77,,,,,59140346.86,564677659.2,,,,,,,,12591098.02,,,,,,,,,,28651086.74,,,,,84609099.72,,,,,55223961.97,2302229.69,,,33206394.45,,2150938.07,63652041.32,282386849.98,847064509.18,,839390.4,,,,1404300.0,,10914244.32,,10914244.32,0.0,148128.49,,,4157588.64,145387.81,,,,,,717515.81,,,,,,,,,,,,,,2591198.3,19256.7,20937010.47,,,,,,55598546.8,,,,,,875000.0,,,56473546.8,77410557.27,,153656204.0,,,,348764823.06,69211.48,-1404300.0,,36260396.42,,,232446039.91,,,769653951.91,,769653951.91,847064509.18,定期报告,未审计,20250425,CNY,合并期末,2025-04-25T20:40:07
20241231,,231328123.15,,,98152959.12,,,61758439.39,,61758439.39,28894208.27,3161281.69,,0.0,,,,,,,,119351.77,119351.77,83638960.29,,,,,76790014.16,583843337.84,,,,,,,,13117664.2,,,,,,226361402.17,147783003.26,78578398.91,,30548980.04,30548980.04,,78578398.91,,78578398.91,,,,,56228034.01,2344702.14,,,33281654.81,,2150938.07,54539342.91,270789715.09,854633052.93,,4608131.7,,,,2592900.0,,15568574.62,,15568574.62,0.0,167346.36,,,6569499.84,908324.24,,,,,2008474.2,2008474.2,,,,,,,,,,,,,,3759334.8,21755.03,36204340.79,,,,,,55062676.39,,,,,,1000000.0,,,56062676.39,92267017.18,,153656204.0,,,,348764823.06,69211.48,-2592900.0,,36260396.42,,,226346723.75,,,762366035.75,,762366035.75,854633052.93,定期报告,是,20251029,CNY,合并期末,2025-03-28T20:15:07
20240930,,343129743.43,,,72108438.92,,,66824256.43,,66824256.43,38648783.93,1883469.61,,,,,,,,,,,1064952.15,55614323.88,,,,,32700567.76,611974536.11,,,,,,,,13714930.42,,,,,,,,,,58883347.15,,,,,61700943.11,,,,,57219841.92,2560452.42,,,8428427.69,,2804465.57,23758787.4,229071195.68,841045731.79,,3517487.6,,,,793400.0,,14984124.06,,14984124.06,,156143.54,,,4079027.24,1185544.9,,,,,,1243417.26,,,,,,,,,,,,,,2516994.59,20298.66,28496437.85,,,,,,55738077.78,,,,,,1125000.0,,,56863077.78,85359515.63,,153656204.0,,,,348764823.06,69211.48,-202169.56,,32965358.22,,,220571211.92,,,755686216.16,,755686216.16,841045731.79,定期报告,未审计,20241030,CNY,合并期末,2024-10-30T19:30:03
20240630,,332789196.55,,,135369184.11,,,66877030.25,,66877030.25,30226727.48,2107623.41,,,,,,,,,,2782954.4,2782954.4,48485609.06,,,,,7316054.67,625954379.93,,,,,,,,14165326.0,,,,,,182393394.64,145556857.83,36836536.81,,49437947.6,49437947.6,,36836536.81,,36836536.81,,,,,58223698.8,2444127.24,,,,,2793351.72,44289601.91,208190590.08,834144970.01,,2533887.24,,,,793400.0,,16176510.71,,16176510.71,,230948.55,,,3519275.54,512235.68,,,,,2617205.62,2617205.62,,,,,,,,,,,,,,2516994.59,30023.31,28930481.24,,,,,,56358214.78,,,,,,1250000.0,,,57608214.78,86538696.02,,153656204.0,,,,348764823.06,69211.48,-139191.05,,32965358.22,,,212428291.24,,,747606273.99,,747606273.99,834144970.01,定期报告,未审计,20240816,CNY,合并期末,2024-08-16T21:25:03
20240331,,359299315.03,,,132539178.08,,,57318935.25,,57318935.25,36866966.1,4511739.79,,439833.32,,,,,,,,,2764518.52,40403496.06,,,,,5777186.58,639481335.41,,,,,,,,14598902.55,,,,,,,,,,49441820.55,,,,,37419527.34,,,,,,2498132.25,,,,,2859928.63,29222675.09,136040986.41,775522321.82,,4297653.16,,,,,,10121376.43,,10121376.43,,335226.95,,,2589816.36,1441936.39,,,,,,810336.84,,,,,,,,,,,,,,,43579.5,19639925.63,,,,,,,,,,,,1375000.0,,,1375000.0,21014925.63,,153656204.0,,,,348764823.06,69211.48,-170091.64,,32965358.22,,,219360314.03,,,754507396.19,,754507396.19,775522321.82,定期报告,未审计,20240426,CNY,合并期末,2024-04-26T22:45:04
20231231,,422412546.37,,,83250031.38,,,55594003.27,,55594003.27,28777250.68,1991153.54,,,,,,,,,,1397785.49,1397785.49,47788078.55,,,,,4153600.82,645364450.1,,,,,,,,14913256.37,,,,,,181996616.97,143616816.72,38379800.25,,23827553.16,23827553.16,,38379800.25,,38379800.25,,,,,,2543552.34,,,,,2951588.27,44898247.77,127513998.16,772878448.26,,4842984.48,,,,,,12053361.89,,12053361.89,,188406.77,,,5576382.78,413763.82,,,,,1030484.99,1030484.99,,,,,,,,,,,,,,,24492.89,24129877.62,,,,,,,,,,,,1500000.0,,,1500000.0,25629877.62,,153656204.0,,,,348764823.06,69211.48,-124593.47,,32965358.22,,,212055990.31,,,747248570.64,,747248570.64,772878448.26,定期报告,是,20250328,CNY,合并期末,2024-04-26T22:45:04
20230930,,382082566.08,,,141326214.78,,,64554548.71,,64554548.71,29834125.21,1214193.96,,,,,,,,,,,1459445.82,54986412.91,,,,,,675457507.47,,,,,,,,,,,,,,,,,,52150193.41,,,,,38738998.15,,,,,,846236.58,,,,,2741805.99,,94477234.13,769934741.6,,4331085.46,,,,,,10709894.24,,10709894.24,,133621.29,,,5408815.45,220461.65,,,,,,696775.01,,,,,,,,,,,,,,,17370.77,21518023.87,,,,,,,,,,,,1625000.0,190626.54,,1815626.54,23333650.41,,153656204.0,,,,348764823.06,69211.48,-184106.96,,29799712.88,,,214633669.69,,,746601091.19,,746601091.19,769934741.6,定期报告,未审计,20231027,CNY,合并期末,2023-10-27T18:35:11
20230630,,440319040.74,,,84276070.14,,,70589969.25,,70589969.25,29778463.0,319615.16,,,,,,,,,,674387.88,674387.88,53902684.83,,,,,1341286.55,681201517.55,,,,,,,,,,,,,,181127450.83,141502180.01,39625270.82,,44279596.64,44279596.64,,39625270.82,,39625270.82,,,,,,853024.59,,,,,2769407.21,,87527299.26,768728816.81,,2718101.06,,,,,,11372400.68,,11372400.68,,137057.14,,,4484677.85,784413.02,,9656920.69,,,725757.55,10382678.24,,,,,,,,,,,,,,,17817.43,29897145.42,,,,,,,,,,,,1750000.0,190986.22,,1940986.22,31838131.64,,153656204.0,,,,348764823.06,69211.48,-155644.62,,29799712.88,,,204894801.33,,,736890685.17,,736890685.17,768728816.81,定期报告,未审计,20230818,CNY,合并期末,2023-08-18T20:10:03
20230331,,551255918.03,,,,,,61811169.03,,61811169.03,47002191.59,2039161.9,,,,,,,,,,,408575.83,59289846.53,,,,,1286095.67,723092958.58,,,,,,,,,,,,,,,,,,9784604.39,,,,,40683108.41,,,,,,859812.6,,,,,2866358.81,,54193884.21,777286842.79,,3783824.61,,,,,,8888013.04,,8888013.04,,85496.99,,,4681912.02,1318724.18,,,,,,1533346.83,,,,,,,,,,,,,,,11114.61,20302432.28,,,,,,,,,,,,1875000.0,165338.46,,2040338.46,22342770.74,,153656204.0,,,,348764823.06,,-301294.86,,29799712.88,,,223024626.97,,,754944072.05,,754944072.05,777286842.79,定期报告,未审计,20230428,CNY,合并期末,2023-04-28T16:00:10
20221231,,561851694.32,,,,,,75594196.01,,75594196.01,29309281.25,1300603.58,,,,,,,,,,79000.0,79000.0,56292569.65,,,,,1079003.44,725506348.25,,,,,,,,,,,,,,181306586.63,139789964.3,41516622.33,,9617155.94,9617155.94,,41516622.33,,41516622.33,,,,,,866600.61,,,,,2835206.09,,54835584.97,780341933.22,,6277125.29,,,,,,9322782.69,,9322782.69,,59606.74,,,7596555.68,7144505.85,,,,,1375876.63,1375876.63,,,,,,,,,,,,,,,7748.86,31784201.74,,,,,,,,,,,,2000000.0,165338.46,,2165338.46,33949540.2,,153656204.0,,,,348764823.06,,-124762.77,,29799712.88,,,214296415.85,,,746392393.02,,746392393.02,780341933.22,定期报告,是,20240322,CNY,合并期末,2023-03-24T19:05:08
20220930,,225534241.32,,,,,,83243887.2,,83243887.2,30128531.08,1671208.7,,,,,,,,,,81000.0,81000.0,63743838.66,,,,,1543145.74,405945852.7,,,,,,,,,,,,,,,,,,9962251.39,,,41370969.61,,41370969.61,,,,,,873388.62,,,,,2907290.15,,55113899.77,461059752.47,,6869229.28,,,,,,17510064.49,,17510064.49,,163006.11,,,7708472.46,9123119.23,,,,,461384.68,461384.68,,,,,,,,,,,,,,,21190.81,41856467.06,,,,,,,,,,,,2125000.0,,,2125000.0,43981467.06,,115242153.0,,,,71326782.62,,-155516.94,,23392376.85,,,207272489.88,,,417078285.41,,417078285.41,461059752.47,定期报告,未审计,20221028,CNY,合并期末,2022-10-28T18:50:06
20220630,,216307466.3,,,,,,75335915.58,,75335915.58,30236693.8,907527.27,,,,,,,,,,,83500.0,61106288.39,,,,,815033.71,384792425.05,,,,,,,,,,,,,,,,,,1166869.08,,,,,42174552.47,,,,,,880176.63,,,,,3050876.93,,47272475.11,432064900.16,,3851261.71,,,,,,10753900.59,,10753900.59,,308493.38,,,6316043.86,8776397.61,,,,,,809396.84,,,,,,,,,,,,,,,28051.67,30843545.66,,,,,,,,,,,,2250000.0,,,2250000.0,33093545.66,,115242153.0,,,,70804513.61,,-179632.05,,23392376.85,,,189711943.09,,,398971354.5,,398971354.5,432064900.16,定期报告,未审计,20220826,CNY,合并期末,2022-08-26T17:50:09
20220331,,149317419.03,,,54085315.08,,,73980148.45,,73980148.45,35803551.11,1486667.23,,,,,,,,,,81500.0,81500.0,46690044.86,,,,,80558.36,361525204.12,,,,,,,,,,,,,,180105006.55,135191737.94,44913268.61,,825162.89,825162.89,,44913268.61,,44913268.61,,,,,,886964.64,,,,,3024321.15,,49649717.29,411174921.41,,4721140.79,,,,,,9088659.0,,9088659.0,,366224.41,,,6941705.41,6477026.57,,,,,230875.74,230875.74,,,,,,,,,,,,,,,37908.25,27863540.17,,,,,,,,,,,,2375000.0,12797.26,,2387797.26,30251337.43,,115242153.0,,,,70282244.61,,-221477.13,,23392376.85,,,172228286.65,,,380923583.98,,380923583.98,411174921.41,招股说明书/意向书,是,20221212,CNY,合并期末,2022-04-29T17:00:04
20211231,,153009652.33,,,38158226.88,,,72429220.86,,72429220.86,27823187.66,1042073.56,,,,,,,,,,79500.0,79500.0,54188296.5,,,,,209338.31,346939496.1,,,,,,,,,,,,,,179821004.83,132893673.07,46927331.76,,514538.31,514538.31,,46927331.76,,46927331.76,,,,,,893752.65,,,,,2759286.58,,51094909.3,398034405.4,,7530232.52,,,,,,8989735.43,,8989735.43,,277757.28,,,9490880.8,3884800.01,,,,,464433.02,464433.02,,,,,,,,,,,,,,,25147.43,30662986.49,,,,,,,,,,,,2500000.0,23734.03,,2523734.03,33186720.52,,115242153.0,,,,69759975.6,,-177212.11,,23392376.85,,,156630391.54,,,364847684.88,,364847684.88,398034405.4,定期报告,是,20230324,CNY,合并期末,2022-03-25T18:00:03
20210630,,64304062.21,,,90817002.34,,,74589700.97,,74589700.97,27936667.28,1428164.43,,,,,,,,,,42500.0,42500.0,43023051.12,,,,,1187.26,302142335.61,,,,,,,,,,,,,,,,,,821685.13,821685.13,,52273683.32,,52273683.32,,,,,,907330.67,,,,,2680278.45,,56682977.57,358825313.18,,7792211.89,,,,,,9978729.78,,9978729.78,,197681.18,,,5509035.97,4688330.31,,,,,730922.08,730922.08,,,,,,,,,,,,,,,25698.55,28922609.76,,,,,,,,,,,,2750000.0,47550.35,,2797550.35,31720160.11,,115242153.0,,,,68715437.59,,-227027.85,,16479294.92,,,126895295.41,,,327105153.07,,327105153.07,358825313.18,定期报告,未审计,20220826,CNY,合并期末,2021-08-20T18:20:05
20201231,,109816758.33,,,15121657.54,,,59956226.54,,59956226.54,23924581.03,1718234.21,,,,,,,,,,62307.7,62307.7,35521351.36,,,,,,246121116.71,,,,,,,,,,,,,,184209695.14,127117840.17,57091854.97,,230000.0,230000.0,,57091854.97,,57091854.97,,,,,,920904.69,,,,,2406453.86,,60649213.52,306770330.23,,4908048.15,,,,,,6067567.64,,6067567.64,,180933.39,,,5833752.35,2338087.57,,,,,,379683.13,,,,,,,,,,,,,,,20871.01,19728943.24,,,,,,,,,,,,3000000.0,18248.63,,3018248.63,22747191.87,,113000000.0,,,,60313418.38,,-182229.13,,16479294.92,,,94412654.19,,,284023138.36,,284023138.36,306770330.23,招股说明书/意向书,是,20221212,CNY,合并期末,2021-03-25T18:20:03
20200630,,45553221.64,,,4000000.0,,,55447920.79,,55447920.79,21714700.25,1636106.43,,,,,,,,,,31997.07,31997.07,49983617.84,,,,,41277409.99,219644974.01,,,,,,,,,,,,,,,,,,420000.0,,,62158938.81,,62158938.81,,,,,,934480.71,,,,,2640614.36,,66154033.88,285799007.89,,7067456.95,,,,,,11796006.93,,11796006.93,,317739.67,,,3501412.76,2861704.05,,,,,202649.17,202649.17,,,,,,,,,,,,,,,,25746969.53,,,,,,,,,,,,3450000.0,,,3450000.0,29196969.53,,113000000.0,,,,59363600.5,,-168373.58,,11722659.89,,,72684151.55,,,256602038.36,,256602038.36,285799007.89,定期报告,未审计,20200825,CNY,合并期末,2020-08-25T21:45:03
