报告日,流动资产,货币资金,结算备付金,拆出资金,交易性金融资产,买入返售金融资产,衍生金融资产,应收票据及应收账款,应收票据,应收账款,应收款项融资,预付款项,应收股利,应收利息,应收保费,应收分保账款,应收分保合同准备金,应收出口退税,应收补贴款,应收保证金,内部应收款,其他应收款,其他应收款(合计),存货,划分为持有待售的资产,待摊费用,待处理流动资产损益,一年内到期的非流动资产,其他流动资产,流动资产合计,非流动资产,发放贷款及垫款,债权投资,其他债权投资,以公允价值计量且其变动计入其他综合收益的金融资产,以摊余成本计量的金融资产,可供出售金融资产,长期股权投资,投资性房地产,长期应收款,其他权益工具投资,其他非流动金融资产,其他长期投资,固定资产原值,累计折旧,固定资产净值,固定资产减值准备,在建工程合计,在建工程,工程物资,固定资产净额,固定资产清理,固定资产及清理合计,生产性生物资产,公益性生物资产,油气资产,合同资产,使用权资产,无形资产,开发支出,商誉,长期待摊费用,股权分置流通权,递延所得税资产,其他非流动资产,非流动资产合计,资产总计,流动负债,短期借款,向中央银行借款,吸收存款及同业存放,拆入资金,交易性金融负债,衍生金融负债,应付票据及应付账款,应付票据,应付账款,预收款项,合同负债,卖出回购金融资产款,应付手续费及佣金,应付职工薪酬,应交税费,应付利息,应付股利,应付保证金,内部应付款,其他应付款,其他应付款合计,其他应交款,担保责任赔偿准备金,应付分保账款,保险合同准备金,代理买卖证券款,代理承销证券款,国际票证结算,国内票证结算,预提费用,预计流动负债,应付短期债券,划分为持有待售的负债,一年内的递延收益,一年内到期的非流动负债,其他流动负债,流动负债合计,非流动负债,长期借款,应付债券,应付债券：优先股,应付债券：永续债,租赁负债,长期应付职工薪酬,长期应付款,长期应付款合计,专项应付款,预计非流动负债,长期递延收益,递延所得税负债,其他非流动负债,非流动负债合计,负债合计,所有者权益,实收资本(或股本),其他权益工具,优先股,永续债,资本公积,减:库存股,其他综合收益,专项储备,盈余公积,一般风险准备,未确定的投资损失,未分配利润,拟分配现金股利,外币报表折算差额,归属于母公司股东权益合计,少数股东权益,所有者权益(或股东权益)合计,负债和所有者权益(或股东权益)总计,数据源,是否审计,公告日期,币种,类型,更新日期
20250930,,267558605.89,,,67123786.3,,,128423510.83,45028806.94,83394703.89,21280554.47,745958.2,,,,,,,,,,,813698.58,113040822.27,,,,,3974282.61,602961219.15,,,,,,,,,,,,,,,,,,13895889.31,,,,,148216999.85,,,,,133106.43,17126778.62,,,81742.15,,3966593.07,3955035.0,187376144.43,790337363.58,,50000.0,,,,,,33731553.3,,33731553.3,,553806.67,,,11872808.27,4724400.22,,,,,,128067.03,,,,,,,,,,,,,,15167.25,13456668.93,64532471.67,,,,,,87622.82,,,,,,3958315.93,25222.75,,4071161.5,68603633.17,,45502968.0,,,,402635200.57,,,5997702.61,15367555.83,,,252230303.4,,,721733730.41,,721733730.41,790337363.58,定期报告,未审计,20251028,CNY,合并期末,2025-10-28T18:10:16
20250630,,207153594.75,,,104125874.03,,,125224738.13,40169695.33,85055042.8,27437504.84,13301972.39,,,,,,,,,,977927.45,977927.45,107121897.67,,,,,4134979.88,589478489.14,,,,,,,,,,,,,,234583037.0,84925388.69,149657648.31,,6317657.52,6317657.52,,149657648.31,,149657648.31,,,,,148394.28,17200223.08,,,87723.28,,3974582.65,2239750.0,179625979.12,769104468.26,,50000.0,,,,,,34079636.95,,34079636.95,,815983.18,,,8781213.22,4032936.03,328.77,,,,125470.19,125798.96,,,,,,,,,,,,,,14929.46,9731479.46,57631977.26,,,,,,86649.58,,,,,,4141248.49,123240.69,,4351138.76,61983116.02,,32502120.0,,,,415325037.76,,,5475279.75,15367555.83,,,238451358.9,,,707121352.24,,707121352.24,769104468.26,定期报告,未审计,20250825,CNY,合并期末,2025-08-25T20:00:17
20250331,,92266374.79,,,231932497.22,,,115658968.24,28993861.8,86665106.44,22104961.64,2573791.44,,,,,,,,,,,961172.0,110747408.53,,,,,3973624.6,580218798.46,,,,,,,,,,,,,,,,,,5316073.62,,,,,142068476.69,,,,,163682.13,17222383.04,,,93704.41,,4013028.19,5618600.0,174495948.08,754714746.54,,50000.0,,,,,,29213323.6,,29213323.6,,613687.49,,,6153446.05,4535463.82,,,,,,126374.03,,,,,,,,,,,,,,14753.57,12034877.1,52741925.66,,,,,,105314.01,,,,,,4324181.05,141393.12,,4570888.18,57312813.84,,32502120.0,,,,415014026.95,,,4959532.24,15367555.83,,,229558697.68,,,697401932.7,,697401932.7,754714746.54,定期报告,未审计,20250424,CNY,合并期末,2025-04-24T19:40:09
20241231,,97676561.18,,,215348108.95,,,109086073.36,28132447.67,80953625.69,26995060.97,4307562.89,,,,,,,,,,962426.0,962426.0,118337855.4,,,,,4047192.05,576760840.8,,,,,,,,,,,,,,225041102.74,79868559.5,145172543.24,,212909.14,212909.14,,145172543.24,,145172543.24,,,,,178969.98,17195665.83,,,99685.54,,3926919.56,309100.0,167095793.29,743856634.09,,,,,,,,26257785.97,,26257785.97,,815599.77,,,12299380.4,4589733.9,,6500424.0,,,206229.69,6706653.69,,,,,,,,,,,,,,14637.46,10345072.75,61028863.94,,,,,,104015.53,,,,,,4507113.61,156567.9,,4767697.04,65796560.98,,32502120.0,,,,414703016.14,,,4459547.5,15367555.83,,,211027833.64,,,678060073.11,,678060073.11,743856634.09,定期报告,是,20251028,CNY,合并期末,2025-04-24T19:40:09
20240930,,124058169.31,,,161062264.11,,,111654627.91,33036890.84,78617737.07,29126732.58,1834962.63,,,,,,,,,,,964022.0,127177401.26,,,,,4973878.69,560852058.49,,,,,,,,,,,,,,,,,,71698.11,,,,,147592754.41,,,,,194257.83,9523663.16,,,105666.67,,4673780.06,2110240.0,164272060.24,725124118.73,,50000.0,,,,,,25868434.53,,25868434.53,,1039369.68,,,8860139.23,2727258.17,,,,,,49325.89,,,,,,,,,,,,,,,9615139.47,48209666.97,,,,,,117255.07,,,,,,4690046.17,931606.2,,5738907.44,53948574.41,,32502120.0,,,,414392005.33,,,3921293.78,9936483.61,,,210423641.6,,,671175544.32,,671175544.32,725124118.73,定期报告,未审计,20241028,CNY,合并期末,2024-10-28T18:30:04
20240630,,206402540.7,,,66725455.95,,,115946086.28,33727513.26,82218573.02,26750233.66,930575.72,,,,,,,,,,9576.0,9576.0,116436764.02,,,,,3957282.61,537158514.94,,,,,,,,,,,,,,223176364.66,72965068.65,150211296.01,,,,,150211296.01,,150211296.01,,,,,209545.68,9629362.86,,,111647.8,,4806196.3,268583.19,165236631.84,702395146.78,,50000.0,,,,,,34564823.37,,34564823.37,,740167.57,,,7631472.37,3987012.12,,,,,78808.12,78808.12,,,,,,,,,,,,,,,8219192.44,55271475.99,,,,,,135793.62,,,,,,4872978.73,921200.72,,5929973.07,61201449.06,,31752120.0,,,,400803962.9,,,3414585.63,9936483.61,,,195286545.58,,,641193697.72,,641193697.72,702395146.78,定期报告,未审计,20240820,CNY,合并期末,2024-08-20T19:05:08
20240331,,138854205.21,,,20561111.89,,,110885970.59,28468213.91,82417756.68,30513772.38,17328166.39,,,,,,,,,,9804.0,9804.0,105434044.79,,,,,3957282.61,427544357.86,,,,,,,,,,,,,,222623847.66,69410011.01,153213836.65,,,,,153213836.65,,153213836.65,,,,,224833.53,9736301.52,,,117628.93,,4894999.3,217200.0,168404799.93,595949157.79,,,,,,,,29279552.5,,29279552.5,,1000914.17,,,10788758.74,5175447.25,,,,,80445.88,80445.88,,,,,,,,,,,,,,,7095972.61,53421091.15,,,,,,134193.75,,,,,,5072945.21,933807.89,,6140946.85,59562038.0,,26752120.0,,,,317174335.39,,,2877255.77,9936483.61,,,179646925.02,,,536387119.79,,536387119.79,595949157.79,其他,未审计,20240514,CNY,合并期末,2024-05-14T19:05:05
20231231,,141157084.16,,,20520224.22,,,111786675.91,36314688.62,75471987.29,21391195.66,6067040.77,,,,,,,,,,10032.0,10032.0,105515944.78,,,,,3957282.61,410405480.11,,,,,,,,,,,,,,222309201.64,65692458.56,156616743.08,,,,,156616743.08,,156616743.08,,,,,240121.38,9758011.92,,,,,4909291.27,,171524167.65,581929647.76,,17385.0,,,,,,25227101.92,,25227101.92,,1484645.94,,,15189010.44,4247338.05,,,,,135883.11,135883.11,,,,,,,,,,,,,,,7985519.75,54286884.21,,,,,,132612.73,,,,,,5256433.22,969651.96,,6358697.91,60645582.12,,26752120.0,,,,316863324.58,,,2345060.31,9936483.61,,,165387077.14,,,521284065.64,,521284065.64,581929647.76,定期报告,是,20250424,CNY,合并期末,2024-03-29T19:05:07
20230930,,111322703.66,,,20279163.15,,,121008223.0,42970855.63,78037367.37,19393497.52,7841126.53,,,,,,,,,,,24877.45,106583355.66,,,,,3957282.61,390410229.58,,,,,,,,,,,,,,,,,,,,,160346845.3,,160346845.3,,,,,255409.23,9862837.5,,,,,4387037.72,,174852129.75,565262359.33,,50000.0,,,,,,26685839.12,,26685839.12,,812825.94,,,6504970.23,5429833.3,,,,,,325879.7,,,,,,,,,,,,,,,9387456.88,49196805.17,,,,,,131050.34,,,,,,1455000.0,1009945.19,,2595995.53,51792800.7,,26752120.0,,,,316552313.77,,,1797601.51,7806462.61,,,160561060.74,,,513469558.63,,513469558.63,565262359.33,其他,未审计,20231030,CNY,合并期末,2023-10-30T16:10:04
20230630,,66773479.63,,,50365125.96,,,114425190.16,37119098.21,77306091.95,18434041.11,6727252.26,,,,,,,,,,15667.1,15667.1,112780343.09,,,,,3962644.33,373483743.64,,,,,,,,,,,,,,221685161.47,58313297.16,163371864.31,,219519.69,219519.69,,163371864.31,,163371864.31,,,,,270697.08,9967663.08,,,,,4409111.83,219225.68,178458081.67,551941825.31,,50000.0,,,,,,36484927.71,,36484927.71,,1003209.19,,,6188362.31,4570495.44,,,,,210324.35,210324.35,,,,,,,,,,,,,,,5253207.71,53760526.71,,,,,,129506.35,,,,,,1455000.0,1064825.13,,2649331.48,56409858.19,,26752120.0,,,,316241302.96,,,1253666.83,7806462.61,,,143478414.72,,,495531967.12,,495531967.12,551941825.31,招股说明书/意向书,是,20240517,CNY,合并期末,2023-08-28T20:20:03
