报告日,流动资产,货币资金,结算备付金,拆出资金,交易性金融资产,买入返售金融资产,衍生金融资产,应收票据及应收账款,应收票据,应收账款,应收款项融资,预付款项,应收股利,应收利息,应收保费,应收分保账款,应收分保合同准备金,应收出口退税,应收补贴款,应收保证金,内部应收款,其他应收款,其他应收款(合计),存货,划分为持有待售的资产,待摊费用,待处理流动资产损益,一年内到期的非流动资产,其他流动资产,流动资产合计,非流动资产,发放贷款及垫款,债权投资,其他债权投资,以公允价值计量且其变动计入其他综合收益的金融资产,以摊余成本计量的金融资产,可供出售金融资产,长期股权投资,投资性房地产,长期应收款,其他权益工具投资,其他非流动金融资产,其他长期投资,固定资产原值,累计折旧,固定资产净值,固定资产减值准备,在建工程合计,在建工程,工程物资,固定资产净额,固定资产清理,固定资产及清理合计,生产性生物资产,公益性生物资产,油气资产,合同资产,使用权资产,无形资产,开发支出,商誉,长期待摊费用,股权分置流通权,递延所得税资产,其他非流动资产,非流动资产合计,资产总计,流动负债,短期借款,向中央银行借款,吸收存款及同业存放,拆入资金,交易性金融负债,衍生金融负债,应付票据及应付账款,应付票据,应付账款,预收款项,合同负债,卖出回购金融资产款,应付手续费及佣金,应付职工薪酬,应交税费,应付利息,应付股利,应付保证金,内部应付款,其他应付款,其他应付款合计,其他应交款,担保责任赔偿准备金,应付分保账款,保险合同准备金,代理买卖证券款,代理承销证券款,国际票证结算,国内票证结算,预提费用,预计流动负债,应付短期债券,划分为持有待售的负债,一年内的递延收益,一年内到期的非流动负债,其他流动负债,流动负债合计,非流动负债,长期借款,应付债券,应付债券：优先股,应付债券：永续债,租赁负债,长期应付职工薪酬,长期应付款,长期应付款合计,专项应付款,预计非流动负债,长期递延收益,递延所得税负债,其他非流动负债,非流动负债合计,负债合计,所有者权益,实收资本(或股本),其他权益工具,优先股,永续债,资本公积,减:库存股,其他综合收益,专项储备,盈余公积,一般风险准备,未确定的投资损失,未分配利润,拟分配现金股利,外币报表折算差额,归属于母公司股东权益合计,少数股东权益,所有者权益(或股东权益)合计,负债和所有者权益(或股东权益)总计,数据源,是否审计,公告日期,币种,类型,更新日期
20250630,,64660635.53,,,283229768.57,,,222513767.6,7576433.16,214937334.44,,7247311.55,,,,,,,,,,4224043.63,4224043.63,,,,,,8674785.57,590550312.45,,,,,,,,1496630.17,319100.09,,,10000000.0,,19973971.25,10082443.24,9891528.01,,,,,9891528.01,,9891528.01,,,,,13220785.07,4099467.72,,,753135.95,,10859211.03,,50639858.04,641190170.49,,100000.0,,,,,,16761807.12,,16761807.12,,5514237.39,,,101469470.94,5948030.03,,,,,76083850.45,76083850.45,,,,,,,,,,,,,,3947185.19,330854.25,210155435.37,,,,,,10785380.19,,,,,,,2868493.35,,13653873.54,223809308.91,,50714286.0,,,,28903137.03,,,,25446143.94,,,312317294.61,,,417380861.58,,417380861.58,641190170.49,招股说明书/意向书,是,20251024,CNY,合并期末,2025-08-11T16:42:03
20250331,,168089348.58,,,186174183.95,,,198240874.81,7791290.43,190449584.38,,7655513.05,,,,,,,,,,5056779.94,5056779.94,,,,,,8783109.57,573999809.9,,,,,,,,1337488.66,353745.23,,,10000000.0,,,,,,,,,10174318.18,,10174318.18,,,,,14400475.99,5188115.81,,,947749.39,,10350361.99,,52752255.25,626752065.15,,,,,,,,16858432.05,,16858432.05,,8429192.4,,,88566413.32,16289755.67,,,,,78683543.89,78683543.89,,,,,,,,,,,,,,4083633.14,505751.54,213416722.01,,,,,,10663943.55,,,,,,,2950446.53,,13614390.08,227031112.09,,50714286.0,,,,28903137.03,,,,25446143.94,,,294657386.09,,,399720953.06,,399720953.06,626752065.15,其他,未审计,20250529,CNY,合并期末,2025-05-29T19:46:09
20241231,,142014801.73,,,172091415.99,,,214957229.78,5944864.58,209012365.2,,5052194.72,,,,,,,,,,4068354.85,4068354.85,,,,,,9099997.12,547283994.19,,,,,,,,1983615.18,388390.37,,,10000000.0,,19761231.28,9746680.25,10014551.03,,,,,10014551.03,,10014551.03,,,,,15703655.32,5985023.07,,,1052418.86,,10338381.68,,55466035.51,602750029.7,,,,,,,,16942384.22,,16942384.22,,6403796.44,,,131653899.64,12325226.45,,,,,50685906.03,50685906.03,,,,,,,,,,,,,,4442493.5,384227.79,222837934.07,,,,,,12702882.2,,,,,,,3114964.6,,15817846.8,238655780.87,,50714286.0,,,,28903137.03,,,,25446143.94,,,259030681.86,,,364094248.83,,364094248.83,602750029.7,定期报告,是,20250811,CNY,合并期末,2025-04-28T15:50:05
20240930,,78733361.52,,,142193927.06,,,203879782.53,7583374.46,196296408.07,,4703696.5,,,,,,,,,,4350108.57,4350108.57,,,,,,7830537.05,441691413.23,,,,,,,,5173829.64,423035.51,,,29800000.0,,,,,,,,,7089192.48,,7089192.48,,,,,16841276.47,6046307.72,,,1277610.95,,8733985.32,1615055.0,77000293.09,518691706.32,,626286.66,,,,,,13752149.26,,13752149.26,,5571402.6,,,102065370.57,5737887.59,,,,,38816259.4,38816259.4,,,,,,,,,,,,,,4533017.89,315731.39,171418105.36,,,,,,12489989.16,,,,,,,3244125.52,,15734114.68,187152220.04,,50714286.0,,,,28903137.03,,,,25446143.94,,,226475919.31,,,331539486.28,,331539486.28,518691706.32,其他,未审计,20241114,CNY,合并期末,2024-11-14T16:20:03
20240630,,63485541.85,,,135499136.56,,,190883419.47,11304407.83,179579011.64,,2840083.19,,,,,,,,,,4643164.24,4643164.24,,,,,,7437085.71,404788431.02,,,,,,,,5345909.66,457680.65,,,29800000.0,,,,,,,,,6559282.09,,6559282.09,,,,,17421338.08,7101260.76,,,1486987.93,,8615739.85,1615055.0,78403254.02,483191685.04,,958278.33,,,,,,19035965.53,,19035965.53,,7155774.92,,,87689177.65,2804810.45,,,,,28612829.67,28612829.67,,,,,,,,,,,,,,4294828.72,1426635.5,151978300.77,,,,,,14542466.77,,,,,,,3220062.53,,17762529.3,169740830.07,,50714286.0,,,,28903137.03,,,,25446143.94,,,208387288.0,,,313450854.97,,313450854.97,483191685.04,定期报告,是,20240828,CNY,合并期末,2024-08-28T16:20:10
20231231,,49060189.1,,,100641001.62,,,181510560.36,6454159.38,175056400.98,,3373093.23,771074.1,,,,,,,,,3964176.3,4735250.4,,,,,,7356565.01,346676659.72,,,,,,,,8588415.08,526970.93,,,29800000.0,,16263698.98,9253738.36,7009960.62,,,,,7009960.62,,7009960.62,,,,,19720855.16,9139059.12,,,1611422.38,,7596830.99,1615055.0,85608569.28,432285229.0,,1296827.07,,,,,,24680421.69,,24680421.69,,8787068.69,,,96195081.51,4368685.3,,,,,14554272.57,14554272.57,,,,,,,,,,,,,,4456776.53,527224.12,154866357.48,,,,,,16686018.1,,,,,,,2578622.39,,19264640.49,174130997.97,,50714286.0,,,,28351607.35,,,,25446143.94,,,153642193.74,,,258154231.03,,258154231.03,432285229.0,定期报告,是,20250428,CNY,合并期末,2024-03-28T17:25:03
20230930,,93216173.99,,,15353285.01,,,160866846.34,2884528.5,157982317.84,,5988900.67,771074.1,,,,,,,,,4553651.8,5324725.9,,,,,,1167924.53,281917856.44,,,,,,,,7066896.26,561616.07,,,29800000.0,,,,,,,,,4444346.11,,4444346.11,,,,,19010717.6,10219493.62,,,1822137.39,,10997533.3,1615055.0,85537795.35,367455651.79,,338548.74,,,,,,18876329.14,,18876329.14,,9509863.76,,,69510573.68,4457863.57,,,,,12793997.66,12793997.66,,,,,,,,,,,,,,3713253.88,570591.83,119771022.26,,,,,,16347134.61,,,,,,,3955756.38,,20302890.99,140073913.25,,50714286.0,,,,28020689.52,,,,18323968.31,,,130322794.71,,,227381738.54,,227381738.54,367455651.79,其他,未审计,20231127,CNY,合并期末,2023-11-27T16:10:05
20230630,,53617004.55,,,44654094.17,,,152478853.69,3875717.4,148603136.29,,5044423.63,,,,,,,,,,4331704.85,4331704.85,,,,,,1167924.53,261294005.42,,,,,,,,8001841.72,596261.21,,,29800000.0,,13416069.8,8822886.75,4593183.05,,,,,4593183.05,,4593183.05,,,,,19923368.9,11299928.12,,,2017852.39,,10368261.63,1615055.0,88215752.02,349509757.44,,338548.74,,,,,,19752860.68,,19752860.68,,8347007.32,,,65121660.68,6543438.86,,,,,10606137.04,10606137.04,,,,,,,,,,,,,,3674487.09,500820.44,114884960.85,,,,,,17815217.65,,,,,,,4202731.35,,22017949.0,136902909.85,,50714286.0,,,,27689771.69,,,,18323968.31,,,115878821.59,,,212606847.59,,212606847.59,349509757.44,招股说明书(申报稿),是,20231228,CNY,合并期末,2023-08-30T22:05:04
20221231,,58661564.07,,,78643435.61,,,142531349.54,1449817.4,141081532.14,,2817803.34,,,,,,,,,,5200956.67,5200956.67,,,,,,792452.83,288647562.06,,,,,,,,8630726.52,665551.49,,,10000000.0,,10610829.44,8367658.09,2243171.35,,,,,2243171.35,,2243171.35,,,,,16613134.6,13018319.22,,,454836.72,,9548650.25,3763200.16,64937590.31,353585152.37,,227618.0,,,,,,8375032.32,,8375032.32,,7581745.58,,,73946135.01,22036536.54,,,,,22037565.1,22037565.1,,,,,,,,,,,,,,2847138.49,454904.74,137506675.78,,,,,,14940745.53,,,,,,,4689298.57,,19630044.1,157136719.88,,50000000.0,,,,17990021.28,,,,18323968.31,,,110134442.9,,,196448432.49,,196448432.49,353585152.37,招股说明书/意向书,是,20251024,CNY,合并期末,2023-04-27T21:35:28
20220930,,63374243.41,,,74375158.9,,,98743065.0,1344817.4,97398247.6,,6386321.45,,,,,,,,,,,7156796.31,,,,,,,250035585.07,,,,,,,,18148959.01,700196.63,,,,,,,,,,,,,,2504820.65,,,,,17383132.09,5495400.56,,,307970.19,,3351314.81,,47891793.94,297927379.01,,19000000.0,,,,,,2410717.91,,2410717.91,,10573586.53,,,58878327.42,8516314.26,,,,,,29812791.92,,,,,,,,,,,,,,2814295.37,634415.19,132640448.6,,,,,,14768336.75,,,,,,,620360.74,,15388697.49,148029146.09,,50000000.0,,,,7639116.81,,,,11202918.39,,,81680727.34,,,150522762.54,-624529.62,149898232.92,297927379.01,其他,未审计,20221208,CNY,合并期末,2022-12-08T16:45:05
