报告日,流动资产,货币资金,结算备付金,拆出资金,交易性金融资产,买入返售金融资产,衍生金融资产,应收票据及应收账款,应收票据,应收账款,应收款项融资,预付款项,应收股利,应收利息,应收保费,应收分保账款,应收分保合同准备金,应收出口退税,应收补贴款,应收保证金,内部应收款,其他应收款,其他应收款(合计),存货,划分为持有待售的资产,待摊费用,待处理流动资产损益,一年内到期的非流动资产,其他流动资产,流动资产合计,非流动资产,发放贷款及垫款,债权投资,其他债权投资,以公允价值计量且其变动计入其他综合收益的金融资产,以摊余成本计量的金融资产,可供出售金融资产,长期股权投资,投资性房地产,长期应收款,其他权益工具投资,其他非流动金融资产,其他长期投资,固定资产原值,累计折旧,固定资产净值,固定资产减值准备,在建工程合计,在建工程,工程物资,固定资产净额,固定资产清理,固定资产及清理合计,生产性生物资产,公益性生物资产,油气资产,合同资产,使用权资产,无形资产,开发支出,商誉,长期待摊费用,股权分置流通权,递延所得税资产,其他非流动资产,非流动资产合计,资产总计,流动负债,短期借款,向中央银行借款,吸收存款及同业存放,拆入资金,交易性金融负债,衍生金融负债,应付票据及应付账款,应付票据,应付账款,预收款项,合同负债,卖出回购金融资产款,应付手续费及佣金,应付职工薪酬,应交税费,应付利息,应付股利,应付保证金,内部应付款,其他应付款,其他应付款合计,其他应交款,担保责任赔偿准备金,应付分保账款,保险合同准备金,代理买卖证券款,代理承销证券款,国际票证结算,国内票证结算,预提费用,预计流动负债,应付短期债券,划分为持有待售的负债,一年内的递延收益,一年内到期的非流动负债,其他流动负债,流动负债合计,非流动负债,长期借款,应付债券,应付债券：优先股,应付债券：永续债,租赁负债,长期应付职工薪酬,长期应付款,长期应付款合计,专项应付款,预计非流动负债,长期递延收益,递延所得税负债,其他非流动负债,非流动负债合计,负债合计,所有者权益,实收资本(或股本),其他权益工具,优先股,永续债,资本公积,减:库存股,其他综合收益,专项储备,盈余公积,一般风险准备,未确定的投资损失,未分配利润,拟分配现金股利,外币报表折算差额,归属于母公司股东权益合计,少数股东权益,所有者权益(或股东权益)合计,负债和所有者权益(或股东权益)总计,数据源,是否审计,公告日期,币种,类型,更新日期
20250930,,530529791.15,,,,,,237661835.31,4444102.2,233217733.11,4738455.89,1533856.71,,,,,,,,,,,1523654.39,28787044.27,,,,,2001858.22,806776495.94,,,,,,,,,,,,,,,,,,265692.52,,,,,66417261.59,,,,,2980391.3,48587.41,,,1274918.96,,2131601.64,,73118453.42,879894949.36,,,,,,,,174181194.49,39607693.06,134573501.43,,225787.58,,,5962871.87,5713437.5,,,,,,860825.31,,,,,,,,,,,,,,1672049.26,28065.05,188644231.06,,,,,,953882.3,,,,,,,,,953882.3,189598113.36,,83000000.0,,,,303914391.53,,-105250.07,,15756375.54,,,287484746.36,,,690050263.36,246572.64,690296836.0,879894949.36,定期报告,未审计,20251028,CNY,合并期末,2025-10-28T19:46:30
20250630,,292905880.27,,,,,,208818923.9,4023163.95,204795759.95,1757058.24,724651.1,,,,,,,,,,1621901.65,1621901.65,28426514.07,,,,,6851157.65,541106086.88,,,,,,,,,,,,,,115488350.59,48421363.43,67066987.16,169441.79,,,,66897545.37,,66897545.37,,,,,3699493.5,52992.4,,,1091984.03,,2140541.42,49230.0,73931786.72,615037873.6,,,,,,,,155389382.57,39400750.26,115988632.31,176937.15,109340.19,,,5601733.55,4694421.31,,,,,674549.26,674549.26,,,,,,,,,,,,,,2388231.47,13512.64,169048108.14,,,,,,899510.2,,,,,,,33694.54,,933204.74,169981312.88,,60000000.0,,,,98257331.68,,-387278.29,,15756375.54,,,271228176.9,,,444854605.83,201954.89,445056560.72,615037873.6,定期报告,未审计,20250815,CNY,合并期末,2025-08-15T18:16:06
20250331,,257628985.03,,,20794000.0,,,199499771.2,3876773.17,195622998.03,3149822.57,1018259.89,,,,,,,,,,1687471.5,1687471.5,25990637.36,,,,,4886131.48,514655079.03,,,,,,,,,,,,,,,,,,,,,67615632.69,,67615632.69,,,,,4450755.31,57397.39,,,1293110.29,,2071038.68,378320.0,75866254.36,590521333.39,,,,,,,,150748224.23,35708221.28,115040002.95,,253588.47,,,5364898.67,2372946.38,,,,,598585.24,598585.24,,,,,,,,,,,,,,2602261.45,29699.51,161970203.95,,,,,,1143144.46,,,,,,,115878.94,,1259023.4,163229227.35,,60000000.0,,,,98257331.68,,-356157.67,,15756375.54,,,253471148.46,,,427128698.01,163408.03,427292106.04,590521333.39,其他,未审计,20250530,CNY,合并期末,2025-05-30T20:36:02
20241231,,256887014.78,,,,,,208937240.23,3083545.87,205853694.36,2692058.33,291608.26,,,,,,,,,,1644500.58,1644500.58,25416822.09,,,,,5632166.51,501501410.78,,,,,,,,,,,,,,113811460.55,44636162.12,69175298.43,169441.79,,,,69005856.64,,69005856.64,,,,,5173441.1,61802.38,,,1484892.19,,2348982.12,521970.0,78596944.43,580098355.21,,,,,,,,157194503.19,25064945.2,132129557.99,388672.2,139363.61,,,6968887.32,2954560.04,,,,,554845.54,554845.54,,,,,,,,,,,,,,2904555.59,19407.9,171124795.39,,,,,,1862807.36,,,,,50000.0,,75115.29,,1987922.65,173112718.04,,60000000.0,,,,98257331.68,,-343227.91,,15756375.54,,,233174457.19,,,406844936.5,140700.67,406985637.17,580098355.21,定期报告,是,20251028,CNY,合并期末,2025-02-28T20:10:05
20240930,,157075968.86,,,80099811.23,,,205668612.76,4895166.83,200773445.93,1752601.14,979894.41,,,,,,,,,,1724092.66,1724092.66,23153075.29,,,,,4781085.13,475235141.48,,,,,,,,,,,,,,,,,,,,,69850560.4,,69850560.4,,,,,5896541.06,66816.86,,,1609788.85,,2872960.77,640850.0,80937517.94,556172659.42,,,,,,1057400.0,,149216543.93,21615474.31,127601069.62,,481088.58,,,6085588.34,3897630.2,,,,,764243.98,764243.98,,,,,,,,,,,,,,2888721.96,267148.21,164658365.2,,,,,,2295400.03,,,,,,,129348.77,,2424748.8,167083114.0,,60000000.0,,,,98244697.73,,-251950.69,,11662965.75,,,219322685.86,,,388978398.65,111146.77,389089545.42,556172659.42,其他,未审计,20241224,CNY,合并期末,2024-12-24T21:20:02
20240630,,198957171.34,,,30164383.56,,,180612979.01,4905690.14,175707288.87,2644789.35,558441.03,,,,,,,,,,1661324.17,1661324.17,20645940.26,,,,,4793477.99,440038506.71,,,,,,,,,,,,,,,,,,,,,68967739.18,,68967739.18,,,,,6619264.5,73050.2,,,1518460.7,,2731054.01,333980.0,80243548.59,520282055.3,,,,,,,,130019175.85,20803512.77,109215663.08,,120028.43,,,5593077.12,3329669.02,,,,,384071.03,384071.03,,,,,,,,,,,,,,2823942.64,215603.7,142485567.79,,,,,,3165717.9,,,,,,,103592.31,,3269310.21,145754878.0,,60000000.0,,,,97313416.6,,-321473.21,,11662965.75,,,205788147.39,,,374443056.53,84120.77,374527177.3,520282055.3,定期报告,是,20241224,CNY,合并期末,2024-08-28T16:10:36
20240331,,235564295.24,,,,,,166494144.38,2944100.81,163550043.57,3001728.05,854699.42,,,,,,,,,,747126.34,747126.34,24330442.32,,,,,4249593.7,435242029.45,,,,,,,,,,,,,,,,,,,,,71269469.01,,71269469.01,,,,,5192615.37,79283.54,,,1510527.26,,2401732.81,395624.64,80849252.63,516091282.08,,,,,,,,130756098.37,24850425.41,105905672.96,249336.1,494102.14,,,4935634.16,1380192.99,,,,,112528.11,112528.11,,,,,,,,,,,,,,2254503.32,64008.93,140246404.12,,,,,,2251892.52,,,,,,40725.0,,,2292617.52,142539021.64,,60000000.0,,,,96866557.83,,-207443.67,,11662965.75,,,205148082.87,,,373470162.78,82097.66,373552260.44,516091282.08,其他,未审计,20240614,CNY,合并期末,2024-06-14T19:00:04
20231231,,210501359.16,,,,,,190112521.6,3991500.15,186121021.45,1493417.65,338792.19,,,,,,,,,,771403.55,771403.55,21744707.51,,,,,3963891.18,428926092.84,,,,,,,,,,,,,,107448163.74,38017014.07,69431149.67,169441.79,2747897.55,2747897.55,,69261707.88,,69261707.88,,,,,5844991.27,85516.88,,,1451432.29,,2678976.67,376058.64,82446581.18,511372674.02,,,,,,,,136284023.12,35636985.21,100647037.91,388672.2,160301.98,,,6322524.08,1680463.64,,,,,305349.01,305349.01,,,,,,,,,,,,,,2343352.57,20839.26,147505525.86,,,,,,3076947.25,,,,,70000.0,81450.0,,,3228397.25,150733923.11,,60000000.0,,,,96196269.68,,3149.28,,11662965.75,,,192716422.92,,,360578807.63,59943.28,360638750.91,511372674.02,定期报告,是,20250326,CNY,合并期末,2024-04-29T21:00:05
20230630,,178671260.09,,,,,,172679070.19,5168220.99,167510849.2,1968304.34,529859.22,,,,,,,,,,300486.05,300486.05,25214811.56,,,,,2569123.81,381932915.26,,,,,,,,,,,,,,,,,,,,,,,67094951.16,,,,,2185376.13,50694.64,,,2064542.44,,2528592.97,,73924157.34,455857072.6,,,,,,,,111171695.84,23590408.89,87581286.95,356580.0,78329.39,,,6214555.97,2481825.62,,,,,,761701.34,,,,,,,,,,,,,,1158254.43,9929.32,122232871.91,,,,,,954153.29,,,,,,162900.0,,,1117053.29,123349925.2,,60000000.0,,,,95433037.85,,68441.16,,8964583.65,,,168005453.25,,,332471515.91,35631.49,332507147.4,455857072.6,招股说明书/意向书,是,20240227,CNY,合并期末,2023-12-27T17:27:58
20221231,,100480844.76,,,90017392.07,,,143525211.66,5690583.66,137834628.0,200000.0,644589.85,,,,,,,,,,229937.76,229937.76,28736345.07,,,,,1640306.08,365474627.25,,,,,,,,,,,,,,101695839.14,31702893.7,69992945.44,169441.79,,,,69823503.65,,69823503.65,,,,,646548.22,27765.16,,,2683347.91,,3113272.84,83500.0,76377937.78,441852565.03,,,,,,,,113980326.79,34851143.31,79129183.48,388672.19,77527.75,,,6253517.0,12811486.27,,,,,381959.56,381959.56,,,,,,,,,,,,,,422864.06,9825.11,134326178.73,,,,,,200750.13,,,,,100000.0,244350.0,3836.21,,548936.34,134875115.07,,60000000.0,,,,94471629.01,,53714.7,,8964583.65,,,143465978.53,,,306955905.89,21544.07,306977449.96,441852565.03,招股说明书/意向书,是,20250718,CNY,合并期末,2023-06-30T17:35:17
