报告日,营业总收入,营业收入,利息收入,已赚保费,手续费及佣金收入,房地产销售收入,其他业务收入,营业总成本,营业成本,手续费及佣金支出,房地产销售成本,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,其他业务成本,营业税金及附加,研发费用,销售费用,管理费用,财务费用,利息费用,利息支出,投资收益,对联营企业和合营企业的投资收益,以摊余成本计量的金融资产终止确认产生的收益,汇兑收益,净敞口套期收益,公允价值变动收益,期货损益,托管收益,补贴收入,其他收益,资产减值损失,信用减值损失,其他业务利润,资产处置收益,营业利润,营业外收入,非流动资产处置利得,营业外支出,非流动资产处置损失,利润总额,所得税费用,未确认投资损失,净利润,持续经营净利润,终止经营净利润,归属于母公司所有者的净利润,被合并方在合并前实现净利润,少数股东损益,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划变动额,权益法下不能转损益的其他综合收益,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下可转损益的其他综合收益,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,其他,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20160930,290341410.01,290341410.01,,,,,,250707152.11,193390634.73,,,,,,,,,4629086.81,,,35244562.79,17442867.78,,,,,,,,,,,,,,,,,39634257.9,19743292.6,0.0,5238834.36,8990.49,54138716.14,8860035.78,,45278680.36,,,20265981.05,,25012699.31,,,,,,,,,,,,,,,,,,,,45278680.36,20265981.05,25012699.31,0.083,0.083,定期报告,未审计,20161029,CNY,合并期末,2020-03-13T16:00:40
20160630,193073479.22,193073479.22,,,,,,163256756.89,125817149.6,,,,,,,,,3083952.1,,,22377118.65,11978536.54,,,,,,,,,,,,,,,,,29816722.33,19485210.76,,1967704.25,11528.75,47334228.84,7380684.64,,39953544.2,,,19082820.6,,20870723.6,,,,,,,,,,,,,,,,,,,,39953544.2,19082820.6,20870723.6,0.078,0.078,定期报告,未审计,20160830,CNY,合并期末,2020-03-13T16:00:40
20160331,96049371.16,96049371.16,,,,,,80771405.39,62244716.53,,,,,,,,,1596883.14,,,10435633.0,6494172.72,,,,,,,,,,,,,,,,,15277965.77,10455562.5,,4622.03,4622.03,25728906.24,4029644.55,,21699261.69,,,10782283.55,,10916978.14,,,,,,,,,,,,,,,,,,,,21699261.69,10782283.55,10916978.14,0.044,0.044,定期报告,未审计,20160430,CNY,合并期末,2020-03-13T16:00:40
20151231,427277979.27,427277979.27,,,,,,369182840.99,282105127.71,,,,,,,,,3537046.31,,,49461651.26,34091286.14,,,,,,,,,,,,,,,,,58095138.28,52741017.96,,10357255.3,996692.93,100478900.94,17148192.38,,83330708.56,,,36533329.57,,46797378.99,,,,,,,,,,,,,,,,,,,,83330708.56,36533329.57,46797378.99,0.15,0.15,定期报告,是,20160331,CNY,合并期末,2020-03-13T16:00:40
20150930,324544066.93,324544066.93,,,,,,269043980.08,205996908.83,,,,,,,,,1643175.62,,,34305159.14,27101436.49,,,,,,,,,,,,,,,,,55500086.85,1286934.03,1140.0,4051903.1,4248.13,52735117.78,9308769.76,,43426348.02,,,19032877.44,,24393470.58,,,,,,,,,,,,,,,,,,,,43426348.02,19032877.44,24393470.58,0.078,0.078,定期报告,未审计,20161029,CNY,合并期末,2020-03-13T16:00:40
20150630,220696282.65,220696282.65,,,,,,177719141.25,137670085.76,,,,,,,,,14417.19,,,21528797.69,18505840.61,,,,,,,,,,,,,,,,,42977141.4,709.85,,3987948.51,,38989902.74,6895217.71,,32094685.03,,,13660324.72,,18434360.31,,,,,,,,,,,,,,,,,,,,32094685.03,13660324.72,18434360.31,0.056,0.056,定期报告,未审计,20160830,CNY,合并期末,2020-03-13T16:00:40
20150331,109191368.6,109191368.6,,,,,,88590640.41,68672784.52,,,,,,,,,9035.68,,,10578887.64,9329932.57,,,,,,,,,,,,,,,,,20600728.19,,,60000.0,60000.0,20540728.19,3414666.51,,17126061.68,,,7767164.43,,9358897.25,,,,,,,,,,,,,,,,,,,,17126061.68,7767164.43,9358897.25,0.032,0.032,定期报告,未审计,20160430,CNY,合并期末,2020-03-13T16:00:40
20141231,464082366.55,464082366.55,,,,,,401275477.49,323822955.86,,,,,,,,,142653.93,,,34238669.72,43288975.58,,,,,,,,,,,,,,,,,62806889.06,44738650.89,,2529547.59,2484547.59,105015992.36,5050000.04,,99965992.32,,,50707847.55,,49258144.77,,,,,,,,,,,,,,,,,,,,99965992.32,50707847.55,49258144.77,0.21,0.21,定期报告,是,20160331,CNY,合并期末,2020-03-13T16:00:40
20140930,331946829.64,331946829.64,,,,,,286379530.63,229943140.49,,,,,,,,,125371.88,,,23736130.11,32813065.95,,,,,,,,,,,,,,,,,45567299.01,1370261.0,,38254.65,1780.7,46899305.36,7869195.0,,39030110.36,,,17092710.61,,21937399.75,,,,,,,,,,,,,,,,,,,,39030110.36,17092710.61,21937399.75,0.07,0.07,定期报告,未审计,20151031,CNY,合并期末,2020-03-13T16:00:40
20140630,215459927.3,215459927.3,,,,,,189200053.66,151779330.04,,,,,,,,,104063.68,,,15458490.66,22096347.08,,,,,,,,,,,,,,,,,26259873.64,,,3137.15,3137.15,26256736.49,4530094.61,,21726641.88,,,9200724.85,,12525917.03,,,,,,,,,,,,,,,,,,,,21726641.88,9200724.85,12525917.03,0.038,0.038,定期报告,未审计,20150829,CNY,合并期末,2020-03-13T16:00:40
