报告日,营业总收入,营业收入,利息收入,已赚保费,手续费及佣金收入,房地产销售收入,其他业务收入,营业总成本,营业成本,手续费及佣金支出,房地产销售成本,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,其他业务成本,营业税金及附加,研发费用,销售费用,管理费用,财务费用,利息费用,利息支出,投资收益,对联营企业和合营企业的投资收益,以摊余成本计量的金融资产终止确认产生的收益,汇兑收益,净敞口套期收益,公允价值变动收益,期货损益,托管收益,补贴收入,其他收益,资产减值损失,信用减值损失,其他业务利润,资产处置收益,营业利润,营业外收入,非流动资产处置利得,营业外支出,非流动资产处置损失,利润总额,所得税费用,未确认投资损失,净利润,持续经营净利润,终止经营净利润,归属于母公司所有者的净利润,被合并方在合并前实现净利润,少数股东损益,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划变动额,权益法下不能转损益的其他综合收益,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下可转损益的其他综合收益,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,其他,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20130930,6591120546.2,6591120546.2,,,,,,5771470865.0,5305525355.57,,,,,,,,,43410544.14,,,263572293.96,157273917.43,,,548515844.54,415981985.34,,,,,,,,,,,,,1368165525.74,8906373.82,,108151313.55,96978738.39,1268920586.01,186217521.38,,1082703064.63,,,1035543759.77,,47159304.86,-541598889.92,,,,,,,,,,,,,,,,,,,541104174.71,493944869.85,47159304.86,0.5152,0.5152,定期报告,未审计,20131019,CNY,合并期末,2020-03-13T16:00:40
20130630,3703844807.21,3703844807.21,,,,,,3427754534.54,3102988806.47,,,,,,,,,23650875.48,,,183733252.15,116152061.72,,,384274038.67,251740179.47,,,,,,,,,,,,,660364311.34,6680321.31,,45655730.62,39422110.14,621388902.03,66908806.02,,554480096.01,,,538524613.92,,15955482.09,-406793694.81,,,,,,,,,,,,,,,,,,,147686401.2,131730919.11,15955482.09,0.2679,0.2679,定期报告,未审计,20130802,CNY,合并期末,2020-03-13T16:00:40
20130331,1729431540.0,1729431540.0,,,,,,1679328908.48,1527063341.25,,,,,,,,,9188674.06,,,91302129.0,51774764.17,,,83688294.3,83688294.3,,,,,,,,,,,,,133790925.82,1702954.17,,2590260.71,18880.66,132903619.28,12728504.14,,120175115.14,,,110865344.65,,9309770.49,-17388425.37,,,,,,,,,,,,,,,,,,,102786689.77,93476919.28,9309770.49,0.0552,0.0552,定期报告,未审计,20130420,CNY,合并期末,2020-03-13T16:00:40
20121231,8211682796.04,8211682796.04,,,,,,7788395297.19,7027870439.0,,,,,,,,,49177768.48,,,435805587.76,257464116.22,,,509262416.89,329394963.14,,,,,,,,,,,,,932549915.74,80114856.37,,51564090.33,37460545.55,961100681.78,149954936.63,,811145745.15,,,797277549.46,,13868195.69,347711535.42,,,,,,,,,,,,,,,,,,,1158857280.57,1144989084.88,13868195.69,0.3967,0.3967,定期报告,是,20130221,CNY,合并期末,2020-03-13T16:00:40
20120930,5926391976.25,5926391976.25,,,,,,5535190783.96,5045622794.32,,,,,,,,,30686980.68,,,267204846.82,191646089.87,,,431652126.65,253032335.51,,,,,,,,,,,,,822853318.94,89155563.85,,13719204.81,2241767.34,898289677.98,143485274.88,,754804403.1,,,746903799.9,,7900603.2,-215835942.54,,,,,,,,,,,,,,,,,,,538968460.56,531067857.36,7900603.2,0.3716,0.3716,定期报告,未审计,20131019,CNY,合并期末,2020-03-13T16:00:40
20120630,3840574420.18,3840574420.18,,,,,,3659161930.26,3342550021.28,,,,,,,,,15371397.59,,,175635444.12,125574995.0,,,304291136.04,124423682.29,,,,,,,,,,,,,485703625.96,2340107.24,,9670298.87,,478373434.33,70189077.53,,408184356.8,,,402131857.82,,6052498.98,-66024287.94,,,,,,,,,,,,,,,,,,,342160068.86,336107569.88,6052498.98,0.2001,0.2001,定期报告,未审计,20130802,CNY,合并期末,2020-03-13T16:00:40
20120331,1865910396.57,1865910396.57,,,,,,1825028310.17,1649991655.28,,,,,,,,,16327965.34,,,95301056.82,63407632.73,,,139337782.0,52541509.77,,,,,,,,,,,,,180219868.4,1254531.76,,2474054.67,,179000345.49,32552853.89,,146447491.6,,,140945921.32,,5501570.28,17474878.29,,,,,,,,,,,,,,,,,,,163922369.89,158420799.61,5501570.28,0.0701,0.0701,定期报告,未审计,20130420,CNY,合并期末,2020-03-13T16:00:40
20111231,8613580137.37,8613580137.37,,,,,,8502772718.12,7839889163.88,,,,,,,,,44675448.43,,,371407720.14,248089529.8,,,235629748.97,106736502.96,,,,,,,,,,,,,346437168.22,7581899.87,,23776183.34,8310544.45,330242884.75,52048930.88,,278193953.87,,,276886207.63,,1307746.24,-304650702.46,,,,,,,,,,,,,,,,,,,-26456748.59,-27764494.83,1307746.24,0.1378,0.1378,定期报告,是,20130221,CNY,合并期末,2020-03-13T16:00:40
20110930,6761042211.85,6761042211.85,,,,,,6510053572.78,6058522654.98,,,,,,,,,36262939.23,,,244060434.52,171185606.42,,,191677881.11,61665805.47,,,,,,,,,,,,,442666520.18,4228397.8,,14167654.49,1693583.82,432727263.49,87270749.21,,345456514.28,,,336811875.54,,8644638.74,-339922318.17,,,,,,,,,,,,,,,,,,,5534196.11,-3110442.63,8644638.74,0.1676,0.1676,定期报告,未审计,20121027,CNY,合并期末,2020-03-13T16:00:40
20110630,4308039824.97,4308039824.97,,,,,,4162316304.3,3871079075.59,,,,,,,,,23124637.51,,,158997807.31,109091846.26,,,169018402.5,45688487.19,,,,,,,,,,,,,314741923.17,3196469.68,,7148694.81,939900.37,310789698.04,62753940.86,,248035757.18,,,229845223.48,,18190533.7,-56375457.41,,,,,,,,,,,,,,,,,,,191660299.77,173469766.07,18190533.7,0.1144,0.1144,定期报告,未审计,20120823,CNY,合并期末,2020-03-13T16:00:40
