报告日,营业总收入,营业收入,利息收入,已赚保费,手续费及佣金收入,房地产销售收入,其他业务收入,营业总成本,营业成本,手续费及佣金支出,房地产销售成本,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,其他业务成本,营业税金及附加,研发费用,销售费用,管理费用,财务费用,利息费用,利息支出,投资收益,对联营企业和合营企业的投资收益,以摊余成本计量的金融资产终止确认产生的收益,汇兑收益,净敞口套期收益,公允价值变动收益,期货损益,托管收益,补贴收入,其他收益,资产减值损失,信用减值损失,其他业务利润,资产处置收益,营业利润,营业外收入,非流动资产处置利得,营业外支出,非流动资产处置损失,利润总额,所得税费用,未确认投资损失,净利润,持续经营净利润,终止经营净利润,归属于母公司所有者的净利润,被合并方在合并前实现净利润,少数股东损益,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划变动额,权益法下不能转损益的其他综合收益,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下可转损益的其他综合收益,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,其他,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20150930,9259743551.65,9259743551.65,,,,,,8258448712.82,7003651453.9,,,,,,,,,578729939.45,,285916016.29,334487302.03,5507665.51,,,132839774.32,75561867.09,,,,,,,,,,,,,1134134613.15,82802971.0,1876.76,3448375.77,158079.19,1213489208.38,260842741.5,,952646466.88,,,883136065.32,,69510401.56,-8171528.78,-7898344.99,,,,,,-7898344.99,,10067400.0,,,,,,,,-17965744.99,-273183.79,944474938.1,875237720.33,69237217.77,0.55,0.55,定期报告,未审计,20151027,CNY,合并期末,2020-03-13T16:00:40
20150630,7205130512.25,7205130512.25,,,,,,6314417305.24,5412501766.04,,,,,,,,,439861983.78,,173098944.25,230514404.12,8283871.41,,,115592053.45,58569669.85,,,,,,,,,,,,,1006305260.46,8933733.35,117.56,2815081.43,59108.29,1012423912.38,227449727.46,,784974184.92,,,730463815.36,,54510369.56,10500000.0,10067400.0,,,,,,10067400.0,,10067400.0,,,,,,,,,432600.0,795474184.92,740531215.36,54942969.56,0.4585,0.4585,定期报告,未审计,20150731,CNY,合并期末,2020-03-13T16:00:40
20150331,1161897839.37,1161897839.37,,,,,,1095062232.62,871780965.54,,,,,,,,,37624078.88,,75894137.03,103528347.76,6234703.41,,,51022383.6,,,,,,,,,,,,,,117857990.35,3850244.49,,1435496.71,31732.88,120272738.13,18429528.55,,101843209.58,,,98154312.86,,3688896.72,,,,,,,,,,,,,,,,,,,,101843209.58,98154312.86,3688896.72,0.0616,0.0616,定期报告,未审计,20150424,CNY,合并期末,2020-03-13T16:00:40
20141231,17100229292.43,17100229292.43,,,,,,15493619175.3,12924503280.77,,,,,,,,,1390789180.66,,435783618.6,437824875.48,-36444555.04,,,-793434.19,-7346156.44,,,,,,,,,,,,,1605816682.94,14900886.19,46630.38,7274527.46,-220993.81,1613443041.67,409941763.75,,1203501277.92,,,1166710016.51,,36791261.41,94548001.01,90905236.57,,,,,,19415700.0,,19415700.0,,,,,,,,,3642764.44,1298049278.93,1257615253.08,40434025.85,0.7323,0.7323,定期报告,是,20150217,CNY,合并期末,2020-03-13T16:00:40
20140930,4424442049.61,4424442049.61,,,,,,4197673041.06,3309533272.48,,,,,,,,,359477963.33,,261316094.69,243587933.25,-25278754.91,,,-3984799.95,-13887653.05,,,,,,,,,,,,,222784208.6,10130097.56,28616.38,5476234.14,605311.31,227438072.02,64515985.7,,162922086.32,,,160021067.65,,2901018.67,,,,,,,,,,,,,,,,,,,,162922086.32,160021067.65,2901018.67,0.1,0.1,定期报告,未审计,20151027,CNY,合并期末,2020-03-13T16:00:40
20140630,3335803933.01,3335803933.01,,,,,,2948438859.88,2299196969.06,,,,,,,,,264855741.47,,167239563.58,178710676.57,-10600623.02,,,2137884.62,-7764968.48,,,,,,,,,,,,,389502957.75,6668092.07,20187.6,4344303.7,576667.91,391826746.12,101926797.19,,289899948.93,,,279743384.48,,10156564.45,,,,,,,,,,,,,,,,,,,,289899948.93,279743384.48,10156564.45,0.1756,0.1756,定期报告,未审计,20150731,CNY,合并期末,2020-03-13T16:00:40
20140331,1342337322.59,1342337322.59,,,,,,1275288391.6,1065417758.67,,,,,,,,,89027310.79,,55254331.24,63183091.26,2405899.64,,,,,,,,,,,,,,,,,67048930.99,4024119.43,,2198047.4,82551.94,68875003.02,17413637.45,,51461365.57,,,54206424.47,,-2745058.9,,,,,,,,,,,,,,,,,,,,51461365.57,54206424.47,-2745058.9,0.034,0.034,定期报告,未审计,20150424,CNY,合并期末,2020-03-13T16:00:40
20131231,16583969378.85,16583969378.85,,,,,,14465350486.64,11914194719.03,,,,,,,,,1702204082.09,,412988266.77,372946409.56,21447922.21,,,-4816588.28,-11422390.14,,,,,,,,,,,,,2113802303.93,100004770.2,111143.95,8949860.94,-491962.25,2204857213.19,567942808.05,,1636914405.14,,,1609470064.8,,27444340.34,,,,,,,,,,,,,,,,,,,,1636914405.14,1609470064.8,27444340.34,1.0102,1.0102,定期报告,是,20150217,CNY,合并期末,2020-03-13T16:00:40
20130930,5875901714.16,5875901714.16,,,,,,5120113387.37,4138733419.96,,,,,,,,,544819156.51,,182220288.73,241129281.11,13211241.06,,,3976643.08,,,,,,,,,,,,,,759764969.87,9253869.2,,5204181.81,386176.54,763814657.26,187014106.76,,576800550.5,,,562633461.01,,14167089.49,,,,,,,,,,,,,,,,,,,,576800550.5,562633461.01,14167089.49,0.3531,0.3531,定期报告,未审计,20141021,CNY,合并期末,2020-03-13T16:00:40
20130630,3503886242.61,3503886242.61,,,,,,2971962103.04,2351696795.2,,,,,,,,,335273186.7,,109665835.85,170745491.19,4580794.1,,,3976643.08,-2390396.72,,,,,,,,,,,,,535900782.65,5640549.22,,4113654.69,237766.34,537427677.18,128880273.9,,408547403.28,,,402454196.3,,6093206.98,,,,,,,,,,,,,,,,,,,,408547403.28,402454196.3,6093206.98,0.2526,0.2526,定期报告,未审计,20140819,CNY,合并期末,2020-03-13T16:00:40
