date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2010-01-04,sh.600003,3.8700,3.8700,3.8700,3.8700,3.8700,0,0.0000,3,,0,0.000000,14.616711,1.251395,6.373314,88.204958,1
2010-01-05,sh.600003,3.8700,3.8700,3.8700,3.8700,3.8700,0,0.0000,3,,0,0.000000,14.616711,1.251395,6.373314,88.204958,1
2010-01-06,sh.600003,3.8700,3.8700,3.8700,3.8700,3.8700,0,0.0000,3,,0,0.000000,14.616711,1.251395,6.373314,88.204958,1
2010-01-07,sh.600003,3.8700,3.8700,3.8700,3.8700,3.8700,0,0.0000,3,,0,0.000000,14.616711,1.251395,6.373314,88.204958,1
2010-01-08,sh.600003,3.8700,3.8700,3.8700,3.8700,3.8700,0,0.0000,3,,0,0.000000,14.616711,1.251395,6.373314,88.204958,1
2010-01-11,sh.600003,3.8700,3.8700,3.8700,3.8700,3.8700,0,0.0000,3,,0,0.000000,14.616711,1.251395,6.373314,88.204958,1
2010-01-12,sh.600003,3.8700,3.8700,3.8700,3.8700,3.8700,0,0.0000,3,,0,0.000000,14.616711,1.251395,6.373314,88.204958,1
2010-01-13,sh.600003,3.8700,3.8700,3.8700,3.8700,3.8700,0,0.0000,3,,0,0.000000,14.616711,1.251395,6.373314,88.204958,1
2010-01-14,sh.600003,3.8700,3.8700,3.8700,3.8700,3.8700,0,0.0000,3,,0,0.000000,14.616711,1.251395,6.373314,88.204958,1
2010-01-15,sh.600003,3.8700,3.8700,3.8700,3.8700,3.8700,0,0.0000,3,,0,0.000000,14.616711,1.251395,6.373314,88.204958,1
2010-01-18,sh.600003,3.8700,3.8700,3.8700,3.8700,3.8700,0,0.0000,3,,0,0.000000,14.616711,1.251395,6.373314,88.204958,1
2010-01-19,sh.600003,3.8700,3.8700,3.8700,3.8700,3.8700,0,0.0000,3,,0,0.000000,14.616711,1.251395,6.373314,88.204958,1
2010-01-20,sh.600003,3.8700,3.8700,3.8700,3.8700,3.8700,0,0.0000,3,,0,0.000000,14.616711,1.251395,6.373314,88.204958,1
2010-01-21,sh.600003,3.8700,3.8700,3.8700,3.8700,3.8700,0,0.0000,3,,0,0.000000,14.616711,1.251395,6.373314,88.204958,1
2010-01-22,sh.600003,3.8700,3.8700,3.8700,3.8700,3.8700,0,0.0000,3,,0,0.000000,14.616711,1.251395,6.373314,88.204958,1
2010-01-25,sh.600003,3.8700,3.8700,3.8700,3.8700,3.8700,0,0.0000,3,,0,0.000000,14.616711,1.251395,6.373314,88.204958,1
2010-01-26,sh.600003,3.8700,3.8700,3.8700,3.8700,3.8700,0,0.0000,3,,0,0.000000,14.616711,1.251395,6.373314,88.204958,1
2010-01-27,sh.600003,3.8700,3.8700,3.8700,3.8700,3.8700,0,0.0000,3,,0,0.000000,14.616711,1.251395,6.373314,88.204958,1
2010-01-28,sh.600003,3.8700,3.8700,3.8700,3.8700,3.8700,0,0.0000,3,,0,0.000000,14.616711,1.251395,6.373314,88.204958,1
2010-01-29,sh.600003,3.8700,3.8700,3.8700,3.8700,3.8700,0,0.0000,3,,0,0.000000,14.616711,1.251395,6.373314,88.204958,1
2010-02-01,sh.600003,3.8700,3.8700,3.8700,3.8700,3.8700,0,0.0000,3,,0,0.000000,14.616711,1.251395,6.373314,88.204958,1
2010-02-02,sh.600003,3.8700,3.8700,3.8700,3.8700,3.8700,0,0.0000,3,,0,0.000000,14.616711,1.251395,6.373314,88.204958,1
2010-02-03,sh.600003,3.8700,3.8700,3.8700,3.8700,3.8700,0,0.0000,3,,0,0.000000,14.616711,1.251395,6.373314,88.204958,1
2010-02-04,sh.600003,3.8700,3.8700,3.8700,3.8700,3.8700,0,0.0000,3,,0,0.000000,14.616711,1.251395,6.373314,88.204958,1
2010-02-05,sh.600003,3.8700,3.8700,3.8700,3.8700,3.8700,0,0.0000,3,,0,0.000000,14.616711,1.251395,6.373314,88.204958,1
2010-02-08,sh.600003,3.8700,3.8700,3.8700,3.8700,3.8700,0,0.0000,3,,0,0.000000,19.868100,1.239815,6.289896,18.828054,1
2010-02-09,sh.600003,3.8700,3.8700,3.8700,3.8700,3.8700,0,0.0000,3,,0,0.000000,19.868100,1.239815,6.289896,18.828054,1
2010-02-10,sh.600003,3.8700,3.8700,3.8700,3.8700,3.8700,0,0.0000,3,,0,0.000000,19.868100,1.239815,6.289896,18.828054,1
2010-02-11,sh.600003,3.8700,3.8700,3.8700,3.8700,3.8700,0,0.0000,3,,0,0.000000,19.868100,1.239815,6.289896,18.828054,1
2010-02-12,sh.600003,3.8700,3.8700,3.8700,3.8700,3.8700,0,0.0000,3,,0,0.000000,19.868100,1.239815,6.289896,18.828054,1
2010-02-22,sh.600003,3.8700,3.8700,3.8700,3.8700,3.8700,0,0.0000,3,,0,0.000000,19.868100,1.239815,6.289896,18.828054,1
2010-02-23,sh.600003,3.8700,3.8700,3.8700,3.8700,3.8700,0,0.0000,3,,0,0.000000,19.868100,1.239815,6.289896,18.828054,1
2010-02-24,sh.600003,3.8700,3.8700,3.8700,3.8700,3.8700,0,0.0000,3,,0,0.000000,19.868100,1.239815,6.289896,18.828054,1
2010-02-25,sh.600003,3.8700,3.8700,3.8700,3.8700,3.8700,0,0.0000,3,,0,0.000000,19.868100,1.239815,6.289896,18.828054,1
2010-02-26,sh.600003,3.8700,3.8700,3.8700,3.8700,3.8700,,,3,,0,,19.868100,1.239815,6.289896,18.828054,1
