date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2010-01-04,sh.600005,8.3500,8.3800,8.1700,8.1800,8.2800,56517668,466915654.0000,3,1.802594,1,-1.207700,-69.227791,2.380920,1.218806,760.478780,0
2010-01-05,sh.600005,8.2000,8.2400,7.9200,8.1200,8.1800,82401018,665247995.0000,3,2.628126,1,-0.733500,-68.720007,2.363456,1.209866,754.900696,0
2010-01-06,sh.600005,8.0900,8.3000,8.0300,8.1300,8.1200,84201057,690712710.0000,3,2.685537,1,0.123200,-68.804638,2.366366,1.211356,755.830377,0
2010-01-07,sh.600005,8.1000,8.1800,7.8000,7.8800,8.1300,78876542,632825591.0000,3,2.515715,1,-3.075000,-66.688874,2.293600,1.174106,732.588360,0
2010-01-08,sh.600005,7.8300,7.9100,7.7500,7.9000,7.8800,52754941,413049203.0000,3,1.682584,1,0.253800,-66.858135,2.299421,1.177086,734.447722,0
2010-01-11,sh.600005,8.0600,8.1600,7.8200,7.8500,7.9000,56644454,449871990.0000,3,1.806638,1,-0.632900,-66.434983,2.284868,1.169636,729.799318,0
2010-01-12,sh.600005,7.8200,8.0000,7.7000,7.9900,7.8500,78085042,613469888.0000,3,2.490471,1,1.783400,-67.619810,2.325617,1.190496,742.814847,0
2010-01-13,sh.600005,7.8400,7.8400,7.6000,7.6600,7.9900,132599910,1023799061.0000,3,4.229187,1,-4.130200,-64.827002,2.229565,1.141327,712.135386,0
2010-01-14,sh.600005,7.6900,7.7700,7.6100,7.7600,7.6600,69861871,537782832.0000,3,2.228198,1,1.305500,-65.673308,2.258672,1.156226,721.432192,0
2010-01-15,sh.600005,7.7400,7.7600,7.6000,7.7100,7.7600,99074401,759490541.0000,3,3.159913,1,-0.644300,-65.250155,2.244119,1.148776,716.783789,0
2010-01-18,sh.600005,7.6500,7.7200,7.6000,7.7200,7.7100,66944921,511923889.0000,3,2.135164,1,0.129700,-65.334785,2.247029,1.150266,717.713470,0
2010-01-19,sh.600005,7.7000,7.8300,7.6900,7.7900,7.7200,70771909,550020422.0000,3,2.257223,1,0.906700,-65.927199,2.267404,1.160696,724.221234,0
2010-01-20,sh.600005,7.8000,7.8200,7.4200,7.4600,7.7900,86864281,659237028.0000,3,2.770479,1,-4.236200,-63.134391,2.171352,1.111527,693.541772,0
2010-01-21,sh.600005,7.4600,7.5100,7.1900,7.3200,7.4600,87998360,643435764.0000,3,2.806650,1,-1.876700,-61.949563,2.130603,1.090667,680.526243,0
2010-01-22,sh.600005,7.2200,7.2500,7.0000,7.1700,7.3200,99170253,705363870.0000,3,3.162970,1,-2.049200,-60.680105,2.086943,1.068317,666.581033,0
