date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2010-01-04,sh.600068,11.7900,11.7900,11.4500,11.4700,11.7100,23741827,274039006.0000,3,1.933440,1,-2.049500,21.726560,4.409976,0.984986,48.549971,0
2010-01-05,sh.600068,11.3000,11.8000,11.1600,11.7200,11.4700,60781506,697331547.0000,3,4.949804,1,2.179600,22.200112,4.506095,1.006455,49.608165,0
2010-01-06,sh.600068,11.5900,12.0600,11.5600,11.9300,11.7200,63728401,758872261.0000,3,5.189788,1,1.791800,22.597895,4.586836,1.024489,50.497049,0
2010-01-07,sh.600068,11.8500,12.0000,11.4500,11.5500,11.9300,47179661,554840532.0000,3,3.842124,1,-3.185200,21.878096,4.440734,0.991856,48.888593,0
2010-01-08,sh.600068,11.5400,11.6400,11.2700,11.4800,11.5500,33287810,380291806.0000,3,2.368654,1,-0.606100,23.541670,4.778400,1.067275,52.605999,0
2010-01-11,sh.600068,11.7000,11.8300,11.4000,11.7600,11.4800,39531111,460467252.0000,3,2.812907,1,2.439000,24.115857,4.894946,1.093306,53.889072,0
2010-01-12,sh.600068,11.7000,12.0500,11.5600,12.0400,11.7600,48194492,572243552.0000,3,3.429366,1,2.381000,24.690044,5.011493,1.119337,55.172145,0
2010-01-13,sh.600068,11.8500,12.4600,11.7700,12.0600,12.0400,87735029,1068426248.0000,3,6.242944,1,0.166100,24.731057,5.019817,1.121197,55.263794,0
2010-01-14,sh.600068,12.0700,12.5500,12.0700,12.4500,12.0600,73088048,903095311.0000,3,5.200711,1,3.233800,25.530818,5.182150,1.157454,57.050931,0
2010-01-15,sh.600068,12.5000,12.5800,12.3400,12.4300,12.4500,41641999,518075983.0000,3,2.963111,1,-0.160600,25.489805,5.173825,1.155595,56.959283,0
2010-01-18,sh.600068,12.4300,13.2000,12.4300,13.0800,12.4300,76649576,983830998.0000,3,5.454138,1,5.229300,26.822739,5.444379,1.216024,59.937846,0
2010-01-19,sh.600068,13.0500,13.5100,13.0100,13.2700,13.0800,79149004,1053575538.0000,3,5.631990,1,1.452600,27.212366,5.523464,1.233688,60.808502,0
2010-01-20,sh.600068,13.2800,13.3500,12.8100,12.8700,13.2700,56365604,734283970.0000,3,4.010796,1,-3.014300,26.392099,5.356969,1.196501,58.975541,0
2010-01-21,sh.600068,12.9700,13.1000,12.5500,12.8900,12.8700,44087408,564138965.0000,3,3.137119,1,0.155400,26.433112,5.365294,1.198360,59.067189,0
2010-01-22,sh.600068,12.6700,12.8600,12.1100,12.3800,12.8900,46476405,579669563.0000,3,3.307112,1,-3.956600,25.387271,5.153013,1.150947,56.730163,0
2010-01-25,sh.600068,12.3100,12.5300,12.1100,12.2100,12.3800,21628998,266803094.0000,3,1.539050,1,-1.373200,25.038658,5.082253,1.135142,55.951154,0
2010-01-26,sh.600068,12.2100,12.4600,11.9400,12.0400,12.2100,30806868,375005140.0000,3,2.192118,1,-1.392300,24.690044,5.011493,1.119337,55.172145,0
2010-01-27,sh.600068,12.0400,12.5600,11.9200,12.3400,12.0400,37895567,466554089.0000,3,2.696527,1,2.491700,25.305245,5.136364,1.147228,56.546867,0
2010-01-28,sh.600068,12.3600,12.5500,12.0500,12.3900,12.3400,31025110,383081823.0000,3,2.207647,1,0.405200,25.407778,5.157175,1.151876,56.775987,0
2010-01-29,sh.600068,12.3100,13.0400,12.2000,12.8600,12.3900,53444022,680038702.0000,3,3.802905,1,3.793400,26.371592,5.352807,1.195571,58.929717,0
2010-02-01,sh.600068,12.7900,13.1900,12.5000,12.8400,12.8600,48770793,629309312.0000,3,3.470373,1,-0.155500,26.330579,5.344482,1.193712,58.838069,0
2010-02-02,sh.600068,12.9200,13.0600,12.6000,12.6400,12.8400,23829441,305505513.0000,3,1.695627,1,-1.557600,25.920445,5.261235,1.175118,57.921588,0
2010-02-03,sh.600068,12.6200,12.8500,12.1300,12.6900,12.6400,35065666,439313073.0000,3,2.495160,1,0.395600,26.022978,5.282047,1.179767,58.150708,0
2010-02-04,sh.600068,12.6200,13.7500,12.5000,13.3400,12.6900,79681351,1053473507.0000,3,5.669870,1,5.122100,27.355913,5.552601,1.240196,61.129271,0
2010-02-05,sh.600068,13.0000,13.7000,12.9600,13.3400,13.3400,65480263,873216149.0000,3,4.659366,1,0.000000,27.355913,5.552601,1.240196,61.129271,0
2010-02-08,sh.600068,13.3000,13.6600,13.0900,13.5900,13.3400,34113572,459607266.0000,3,2.427413,1,1.874100,27.868580,5.656660,1.263438,62.274872,0
2010-02-09,sh.600068,13.5600,13.6700,13.0000,13.2400,13.5900,26522321,353118332.0000,3,1.887243,1,-2.575400,27.150846,5.510977,1.230899,60.671030,0
2010-02-10,sh.600068,13.3700,13.6000,13.1900,13.2600,13.2400,21312346,284967131.0000,3,1.516518,1,0.151100,27.191859,5.519302,1.232759,60.762678,0
2010-02-11,sh.600068,13.3900,13.4900,13.2200,13.4100,13.2600,21496843,287149973.0000,3,1.529646,1,1.131200,27.499459,5.581737,1.246704,61.450039,0
2010-02-12,sh.600068,13.4900,13.4900,13.1400,13.2400,13.4100,18942251,251724651.0000,3,1.347870,1,-1.267700,27.150846,5.510977,1.230899,60.671030,0
2010-02-22,sh.600068,13.2800,13.9500,13.1500,13.7600,13.2400,37773404,515170627.0000,3,2.687834,1,3.927500,28.217193,5.727420,1.279243,63.053881,0
2010-02-23,sh.600068,13.7500,14.0000,13.4800,13.8000,13.7600,30517668,419483336.0000,3,2.171540,1,0.290700,28.299220,5.744070,1.282962,63.237177,0
2010-02-24,sh.600068,13.8000,14.1000,13.6600,14.0300,13.8000,24964274,347843842.0000,3,1.776378,1,1.666700,28.770874,5.839804,1.304344,64.291130,0
2010-02-25,sh.600068,14.0500,14.3200,13.9300,14.0800,14.0300,35455169,501658927.0000,3,2.522876,1,0.356400,28.873407,5.860616,1.308993,64.520250,0
2010-02-26,sh.600068,13.9900,14.2200,13.7500,13.8000,14.0800,36270341,508734864.0000,3,2.580881,1,-1.988600,28.299220,5.744070,1.282962,63.237177,0
2010-03-01,sh.600068,13.8000,13.9100,13.6000,13.8400,13.8000,32026906,439295757.0000,3,2.278932,1,0.289900,28.381247,5.760719,1.286680,63.420473,0
2010-03-02,sh.600068,13.8300,14.0000,13.6400,13.7400,13.8400,26404866,364493471.0000,3,1.878886,1,-0.722500,28.176180,5.719095,1.277383,62.962232,0
2010-03-03,sh.600068,13.7500,14.0900,13.7500,14.0300,13.7400,30280593,421164937.0000,3,2.154670,1,2.110600,28.770874,5.839804,1.304344,64.291130,0
2010-03-04,sh.600068,14.0500,14.3400,13.5100,13.6000,14.0300,45380350,636174174.0000,3,3.229120,1,-3.064900,27.889086,5.660822,1.264368,62.320696,0
2010-03-05,sh.600068,13.6400,13.7600,13.3600,13.6300,13.6000,23670725,320847535.0000,3,1.684333,1,0.220600,27.950606,5.673309,1.267157,62.458168,0
2010-03-08,sh.600068,13.5600,13.6700,13.4600,13.6400,13.6300,14108427,191458970.0000,3,1.003910,1,0.073400,27.971113,5.677472,1.268087,62.503992,0
2010-03-09,sh.600068,13.6800,13.7300,13.4500,13.6100,13.6400,13430855,182423711.0000,3,0.955697,1,-0.219900,27.909593,5.664985,1.265298,62.366520,0
2010-03-10,sh.600068,13.5700,13.6800,13.2000,13.2800,13.6100,19512167,261214833.0000,3,1.388423,1,-2.424700,27.232873,5.527626,1.234618,60.854327,0
2010-03-11,sh.600068,13.2600,13.3700,12.9200,13.0400,13.2800,18449876,241578938.0000,3,1.312834,1,-1.807200,26.740712,5.427729,1.212306,59.754550,0
