报告日,经营活动产生的现金流量,销售商品、提供劳务收到的现金,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收到原保险合同保费取得的现金,收到再保险业务现金净额,保户储金及投资款净增加额,处置交易性金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,回购业务资金净增加额,收到的税费返还,收到的其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,支付原保险合同赔付款项的现金,支付利息、手续费及佣金的现金,支付保单红利的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付的其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动产生的现金流量,收回投资所收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产所收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到的其他与投资活动有关的现金,减少质押和定期存款所收到的现金,处置可供出售金融资产净增加额,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产所支付的现金,投资所支付的现金,质押贷款净增加额,取得子公司及其他营业单位支付的现金净额,增加质押和定期存款所支付的现金,支付的其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,筹资活动产生的现金流量,吸收投资收到的现金,子公司吸收少数股东投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息所支付的现金,子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金及现金等价物的影响,现金及现金等价物净增加额,期初现金及现金等价物余额,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,期末现金及现金等价物余额,数据源,是否审计,公告日期,币种,类型,更新日期
20160930,,302864593.5,,,,,,,,,,,19248923.93,2993203.49,325106720.92,71558515.86,,,,,,18818848.28,61905525.76,38217013.8,190499903.7,134606817.22,,,,1210.0,,,,,1210.0,8390560.73,,,,,,8390560.73,-8389350.73,,,,53000000.0,,,53000000.0,110000000.0,17500807.63,,,127500807.63,-74500807.63,,51716658.86,308491378.2,,,,,360208037.06,定期报告,未审计,20161029,CNY,合并期末,2020-03-13T14:58:48
20160630,,190014863.5,,,,,,,,,,,1110183.04,23946995.23,215072041.77,46587747.06,,,,,,12490042.69,39838501.38,23020751.96,121937043.09,93134998.68,,,,1210.0,,,,,1210.0,6749521.98,,,,,,6749521.98,-6748311.98,,,,50000000.0,,,50000000.0,110000000.0,12073063.4,,,122073063.4,-72073063.4,,14313623.3,308491378.2,322805001.5,308491378.2,,,322805001.5,定期报告,未审计,20160830,CNY,合并期末,2020-03-13T14:58:48
20160331,,79228623.5,,,,,,,,,,,10282882.5,2928126.13,92439632.13,25562599.29,,,,,,6518148.77,22542694.21,9493968.93,64117411.2,28322220.93,,,,260.0,,,,,260.0,3845559.1,,,,,,3845559.1,-3845299.1,,,,50000000.0,,,50000000.0,50000000.0,5898647.54,,,55898647.54,-5898647.54,,18578274.29,308491378.2,,,,,327069652.49,定期报告,未审计,20160430,CNY,合并期末,2020-03-13T14:58:48
20151231,,462161768.92,,,,,,,,,,,,53369700.06,515531468.98,119890993.59,,,,,,38346007.49,49710154.79,31673521.39,239620677.26,275910791.72,,,,51170.0,,,,,51170.0,11709659.73,,,,,,11709659.73,-11658489.73,,,,50000000.0,,,50000000.0,152345455.0,75214762.54,24155000.0,,227560217.54,-177560217.54,-111648.33,86580436.12,221910942.08,308491378.2,221910942.08,,,308491378.2,定期报告,是,20160331,CNY,合并期末,2020-03-13T14:58:48
20150930,,297039975.71,,,,,,,,,,,,8150390.86,305190366.57,76804625.17,,,,,,20919557.51,29892253.36,35263142.7,162879578.74,142310787.83,,,,3800.0,,,,,3800.0,7615304.5,,,,,,7615304.5,-7611504.5,,,,50000000.0,,,50000000.0,95000000.0,66458237.24,,,161458237.24,-111458237.24,,23241046.09,221910942.08,,,,,245151988.17,定期报告,未审计,20161029,CNY,合并期末,2020-03-13T14:58:48
20150630,,187313129.07,,,,,,,,,,,,2707892.81,190021021.88,54295002.2,,,,,,13394376.55,18714946.95,14800053.9,101204379.6,88816642.28,,,,,,,,,0.0,4356405.3,,,,,,4356405.3,-4356405.3,,,,50000000.0,,,50000000.0,95000000.0,17989425.08,,,112989425.08,-62989425.08,,21470811.9,221910942.08,243381753.98,221910942.08,,,243381753.98,定期报告,未审计,20160830,CNY,合并期末,2020-03-13T14:58:48
20150331,,79798117.0,,,,,,,,,,,,628518.23,80426635.23,21624190.09,,,,,,6354392.96,6421497.89,8531173.2,42931254.14,37495381.09,,,,,,,,,0.0,3301456.8,,,,,,3301456.8,-3301456.8,,,,,,,0.0,,9238884.35,,,9238884.35,-9238884.35,,24955039.94,221910942.08,,,,,246865982.02,定期报告,未审计,20160430,CNY,合并期末,2020-03-13T14:58:48
20141231,,462755489.63,,,,,,,,,,,,46092330.06,508847819.69,149257906.15,,,,,,37542069.31,12577380.57,11060071.35,210437427.38,298410392.31,,,,18500.0,,,,,18500.0,6973752.05,,,,,,6973752.05,-6955252.05,,2760000.0,,50000000.0,,,52760000.0,152115455.0,87497512.72,34616425.08,12374348.82,251987316.54,-199227316.54,-24614.56,92203209.16,129707732.92,221910942.08,129707732.92,,,221910942.08,定期报告,是,20160331,CNY,合并期末,2020-03-13T14:58:48
20140930,,292284111.59,,,,,,,,,,,,27818779.47,320102891.06,99307215.75,,,,,,21397835.79,11795647.97,39537410.58,172038110.09,148064780.97,,,,1450.0,,,,,1450.0,4925762.84,,,,,,4925762.84,-4924312.84,,2760000.0,2760000.0,50000000.0,,,52760000.0,111370000.0,76512975.9,,,187882975.9,-135122975.9,,8017492.23,129707732.92,,,,,137725225.15,定期报告,未审计,20151031,CNY,合并期末,2020-03-13T14:58:48
20140630,,179072476.46,,,,,,,,,,,,10300322.82,189372799.28,61984636.33,,,,,,12977657.94,9826149.34,16701930.49,101490374.1,87882425.18,,,,1050.0,,,,,1050.0,2143820.05,,,,,,2143820.05,-2142770.05,,,,50000000.0,,,50000000.0,111370000.0,56114639.83,,,167484639.83,-117484639.83,,-31744984.7,129707732.92,97962748.22,129707732.92,,,97962748.22,定期报告,未审计,20150829,CNY,合并期末,2020-03-13T14:58:48
