报告日,经营活动产生的现金流量,销售商品、提供劳务收到的现金,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收到原保险合同保费取得的现金,收到再保险业务现金净额,保户储金及投资款净增加额,处置交易性金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,回购业务资金净增加额,收到的税费返还,收到的其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,支付原保险合同赔付款项的现金,支付利息、手续费及佣金的现金,支付保单红利的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付的其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动产生的现金流量,收回投资所收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产所收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到的其他与投资活动有关的现金,减少质押和定期存款所收到的现金,处置可供出售金融资产净增加额,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产所支付的现金,投资所支付的现金,质押贷款净增加额,取得子公司及其他营业单位支付的现金净额,增加质押和定期存款所支付的现金,支付的其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,筹资活动产生的现金流量,吸收投资收到的现金,子公司吸收少数股东投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息所支付的现金,子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金及现金等价物的影响,现金及现金等价物净增加额,期初现金及现金等价物余额,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,期末现金及现金等价物余额,数据源,是否审计,公告日期,币种,类型,更新日期
20130930,,8113907389.23,,,,,,,,,,,,66248942.21,8180156331.44,5266187819.65,,,,,,473384217.93,555766766.25,185761365.37,6481100169.2,1699056162.24,,,427051955.69,5375018.76,,389572.89,,,432816547.34,310041045.35,215648863.54,,,,7738734.88,533428643.77,-100612096.43,,,,925000000.0,,,925000000.0,1866000000.0,175282954.13,,40000000.0,2081282954.13,-1156282954.13,,442161111.68,637733634.03,,,,,1079894745.71,定期报告,未审计,20131019,CNY,合并期末,2020-03-13T14:58:48
20130630,,4477155204.06,,,,,,,,,,,460800.0,9910641.65,4487526645.71,2750955004.22,,,,,,315216597.76,262068292.99,64018652.06,3392258547.03,1095268098.68,,,338644383.39,4391066.08,,4650000.0,,,347685449.47,220668191.31,,,,,,220668191.31,127017258.16,,,,443000000.0,,,443000000.0,1197500000.0,116075822.09,,,1313575822.09,-870575822.09,52101.46,351761636.21,635890134.03,987651770.24,635890134.03,,,987651770.24,定期报告,未审计,20130802,CNY,合并期末,2020-03-13T14:58:48
20130331,,2426618520.39,,,,,,,,,,,,19306491.87,2445925012.26,1592865860.73,,,,,,180780400.24,141857346.78,58089234.62,1973592842.37,472332169.89,,,226255330.35,1743440.0,,,,,227998770.35,95608535.97,,,,,2550572.28,98159108.25,129839662.1,,,,14500000.0,,,14500000.0,178500000.0,61177923.69,,40000000.0,279677923.69,-265177923.69,,336993908.3,637733634.03,,,,,974727542.33,定期报告,未审计,20130420,CNY,合并期末,2020-03-13T14:58:48
20121231,,9359592164.44,,,,,,,,,,,,75307234.46,9434899398.9,6792461166.07,,,,,,694589969.0,555879553.5,168353373.3,8211284061.87,1223615337.03,,106114472.23,185469763.96,111422577.48,,4690000.0,,,407696813.67,1085100760.8,112080000.0,,,,,1197180760.8,-789483947.13,,,,3477000000.0,,,3477000000.0,3614300000.0,394823259.7,,,4009123259.7,-532123259.7,-770351.35,-98762221.15,734652355.18,635890134.03,734652355.18,,,635890134.03,定期报告,是,20130221,CNY,合并期末,2020-03-13T14:58:48
20120930,,6856548273.76,,,,,,,,,,,,91813416.27,6948361690.03,5110381562.24,,,,,,462623752.06,410345464.04,315816830.87,6299167609.21,649194080.82,,106114472.23,185469764.23,122370390.34,,777886.28,,,414732513.08,874177177.46,52080000.0,,,,1775635.53,928032812.99,-513300299.91,,,,2470600000.0,,,2470600000.0,2228400000.0,332961622.41,,,2561361622.41,-90761622.41,-887785.93,44244372.57,734652355.18,,,,,778896727.75,定期报告,未审计,20131019,CNY,合并期末,2020-03-13T14:58:48
20120630,,4482576218.54,,,,,,,,,,,,61973159.65,4544549378.19,3339856509.53,,,,,,316995148.39,302351212.06,251881972.77,4211084842.75,333464535.44,,106114472.23,164719732.9,1246340.34,,475598.17,,,272556143.64,669301979.97,52080000.0,,,,,721381979.97,-448825836.33,,,,2209100000.0,,,2209100000.0,1885600000.0,259592206.47,,,2145192206.47,63907793.53,-593147.1,-52046654.46,734652355.18,682605700.72,734652355.18,,,682605700.72,定期报告,未审计,20130802,CNY,合并期末,2020-03-13T14:58:48
20120331,,2145148040.04,,,,,,,,,,,,13751859.65,2158899899.69,1417891461.7,,,,,,178869933.04,129096862.83,51083947.04,1776942204.61,381957695.08,,106114472.23,,360000.0,,155182.95,,,106629655.18,348059311.9,,,,,697000.0,348756311.9,-242126656.72,,,,377300000.0,,,377300000.0,655200000.0,68413850.05,,,723613850.05,-346313850.05,,-206482811.69,734652355.18,,,,,528169543.49,定期报告,未审计,20130420,CNY,合并期末,2020-03-13T14:58:48
20111231,,10075544001.89,,,,,,,,,,,,20365228.69,10095909230.58,7700339246.65,,,,,,639456236.88,516937879.24,165247027.72,9021980390.49,1073928840.09,,178103438.67,251851662.59,4969196.84,,7443801.9,,,442368100.0,642888038.0,106600000.0,,,,,749488038.0,-307119938.0,,1500000.0,1500000.0,1245000000.0,,,1246500000.0,1260000000.0,514657984.24,,,1774657984.24,-528157984.24,-429389.6,238221528.25,496430826.93,734652355.18,496430826.93,,,734652355.18,定期报告,是,20130221,CNY,合并期末,2020-03-13T14:58:48
20110930,,8036471732.64,,,,,,,,,,,,32039126.31,8068510858.95,6189269500.06,,,,,,424208708.44,478867161.95,214197454.54,7306542824.99,761968033.96,,113000000.0,316955101.26,5249357.43,,1051135.2,,,436255593.89,212831261.87,106600000.0,,,,,319431261.87,116824332.02,,1500000.0,,816500000.0,,,818000000.0,813700000.0,451283168.43,,,1264983168.43,-446983168.43,,431809197.55,496430826.93,,,,,928240024.48,定期报告,未审计,20121027,CNY,合并期末,2020-03-13T14:58:48
20110630,,5138893995.18,,,,,,,,,,,,21488435.06,5160382430.24,3654368340.0,,,,,,289292065.87,337515611.26,129791461.91,4410967479.04,749414951.2,,113000000.0,123329916.0,130180.0,,916291.16,,,237376387.16,176552263.99,1000000.0,,,,,177552263.99,59824123.17,,,,351500000.0,,,351500000.0,416000000.0,385787922.47,,,801787922.47,-450287922.47,,358951151.9,496430826.93,855381978.83,496430826.93,,,855381978.83,定期报告,未审计,20120823,CNY,合并期末,2020-03-13T14:58:48
