报告日,流动资产,货币资金,结算备付金,拆出资金,交易性金融资产,买入返售金融资产,衍生金融资产,应收票据及应收账款,应收票据,应收账款,应收款项融资,预付款项,应收股利,应收利息,应收保费,应收分保账款,应收分保合同准备金,应收出口退税,应收补贴款,应收保证金,内部应收款,其他应收款,其他应收款(合计),存货,划分为持有待售的资产,待摊费用,待处理流动资产损益,一年内到期的非流动资产,其他流动资产,流动资产合计,非流动资产,发放贷款及垫款,债权投资,其他债权投资,以公允价值计量且其变动计入其他综合收益的金融资产,以摊余成本计量的金融资产,可供出售金融资产,长期股权投资,投资性房地产,长期应收款,其他权益工具投资,其他非流动金融资产,其他长期投资,固定资产原值,累计折旧,固定资产净值,固定资产减值准备,在建工程合计,在建工程,工程物资,固定资产净额,固定资产清理,固定资产及清理合计,生产性生物资产,公益性生物资产,油气资产,合同资产,使用权资产,无形资产,开发支出,商誉,长期待摊费用,股权分置流通权,递延所得税资产,其他非流动资产,非流动资产合计,资产总计,流动负债,短期借款,向中央银行借款,吸收存款及同业存放,拆入资金,交易性金融负债,衍生金融负债,应付票据及应付账款,应付票据,应付账款,预收款项,合同负债,卖出回购金融资产款,应付手续费及佣金,应付职工薪酬,应交税费,应付利息,应付股利,应付保证金,内部应付款,其他应付款,其他应付款合计,其他应交款,担保责任赔偿准备金,应付分保账款,保险合同准备金,代理买卖证券款,代理承销证券款,国际票证结算,国内票证结算,预提费用,预计流动负债,应付短期债券,划分为持有待售的负债,一年内的递延收益,一年内到期的非流动负债,其他流动负债,流动负债合计,非流动负债,长期借款,应付债券,应付债券：优先股,应付债券：永续债,租赁负债,长期应付职工薪酬,长期应付款,长期应付款合计,专项应付款,预计非流动负债,长期递延收益,递延所得税负债,其他非流动负债,非流动负债合计,负债合计,所有者权益,实收资本(或股本),其他权益工具,优先股,永续债,资本公积,减:库存股,其他综合收益,专项储备,盈余公积,一般风险准备,未确定的投资损失,未分配利润,拟分配现金股利,外币报表折算差额,归属于母公司股东权益合计,少数股东权益,所有者权益(或股东权益)合计,负债和所有者权益(或股东权益)总计,数据源,是否审计,公告日期,币种,类型,更新日期
20160930,,360208037.06,,,,,,32605501.0,,32605501.0,,542818.96,,,,,,,,,,8102355.6,8102355.6,55292.68,,,,,,401514005.3,,,,,,,,,,,,,,,,,,23474578.22,23474578.22,,114558682.08,,114558682.08,,,,,,1223214859.49,,22644681.99,,,,,1383892801.78,1785406807.08,,53000000.0,,,,,,172289395.09,,172289395.09,1308915.0,,,,2449913.9,5076037.29,784796.49,,,,1792392.21,2577188.7,,,,,,,,,,,,,,64960270.93,,301661720.91,,390000000.0,,,,,,9090905.0,9090905.0,,51253057.84,1252068.94,,,451596031.78,753257752.69,,244596000.0,,,,143140855.12,,,,23351987.11,,,236346592.88,,,647435435.11,384713619.28,1032149054.39,1785406807.08,定期报告,未审计,20161029,CNY,合并期末,2020-03-13T15:29:48
20160630,,322805001.5,,,,,,31080563.99,,31080563.99,,537543.51,,,,,,,,,,8233959.96,8233959.96,25967.89,,,,,,362683036.85,,,,,,,,,,,,,,249388229.39,131514705.88,117873523.51,,21856101.87,21856101.87,,117873523.51,,117873523.51,,,,,,1259536751.96,,22644681.99,,,,,1421911059.33,1784594096.18,,50000000.0,,,,,,173507815.56,,173507815.56,1308915.0,,,,1847561.84,11948127.08,715929.25,,,,1879203.43,2595132.68,,,,,,,,,,,,,,64960270.93,,306167823.09,,390000000.0,,,,,,9090905.0,9090905.0,,51772324.91,1252068.94,,,452115298.85,758283121.94,,244596000.0,,,,143140855.12,,,,23351987.11,,,235163432.43,,,646252274.66,380058699.58,1026310974.24,1784594096.18,定期报告,未审计,20160830,CNY,合并期末,2020-03-13T15:29:48
20160331,,327069652.49,,,,,,31738667.99,,31738667.99,,539423.6,,,,,,,,,,6467896.22,6467896.22,45249.94,,,,,,365860890.24,,,,,,,,,,,,,,,,,,19272632.05,19272632.05,,121166788.71,,121166788.71,,,,,,1296421810.33,,22644681.99,,,,,1459505913.08,1825366803.32,,50000000.0,,,,,,172719720.11,,172719720.11,1352545.5,,,,1160691.42,11399001.25,784670.61,,,,2520483.86,3305154.47,,,,,,,,,,,,,,124960270.93,,364897383.68,,390000000.0,,,,,,9090905.0,9090905.0,,51556809.98,1252068.94,,,451899783.92,816797167.6,,244596000.0,,,,143140855.12,,,,23351987.11,,,226862895.38,,,637951737.61,370617898.11,1008569635.72,1825366803.32,定期报告,未审计,20160430,CNY,合并期末,2020-03-13T15:29:48
20151231,,308491378.2,,,,,,1385700.0,,1385700.0,,360945.2,,,,,,,,,,6630853.39,6630853.39,51820.51,,,,,,316920697.3,,,,,,,,,,,,,,249339177.32,124954271.74,124384905.58,,15710512.73,15710512.73,,124384905.58,,124384905.58,,,,,,1332934458.7,,22644681.99,,,,,1495674559.0,1812595256.3,,50000000.0,,,,,,173732194.68,,173732194.68,3396871.5,,,,456411.52,15573062.4,814961.27,,,,4437929.13,5252890.4,,,,,,,,,,,,,,124960270.93,,373371701.43,,390000000.0,,,,,,9090905.0,9090905.0,,51819451.0,1252068.94,,,452162424.94,825534126.37,,244596000.0,,,,143140855.12,,,,23351987.11,,,216080611.83,,,627169454.06,359891675.87,987061129.93,1812595256.3,定期报告,是,20161029,CNY,合并期末,2020-03-13T15:29:48
20150930,,245151988.17,,,,,,34481682.28,,34481682.28,,668708.44,,,,,,,,,,10963335.87,10963335.87,40170.94,,,,,,291305885.7,,,,,,,,,,,,,,,,,,,,,116937869.37,9642.29,116947511.66,,,,,,1374324479.5,,22644681.99,,,,,1539002716.35,1830308602.05,,50000000.0,,,,,,172752716.18,,172752716.18,1039650.0,,,,1429599.43,9281579.05,1148570.13,,,,4937705.69,6086275.82,,,,,,,,,,,,,,49960270.93,,290550091.41,,517800000.0,,,,,,13636360.0,13636360.0,,59676023.06,,,1489358.19,592601741.25,883151832.66,,244596000.0,,,,143140855.12,,,,22576670.4,,,199355476.41,,,609669001.93,337487767.46,947156769.39,1830308602.05,定期报告,未审计,20151031,CNY,合并期末,2020-03-13T15:29:48
20150630,,243381753.98,,,,,,32791402.78,,32791402.78,,367628.44,,,,,,,,,,7655547.04,7655547.04,60630.0,,,,,,284256962.24,,,,,,,,,,,,,,239264043.76,119134234.97,120129808.79,,21975049.5,21975049.5,,120129808.79,,120129808.79,,,,,,1412022329.27,,22644681.99,,,,,1576771869.55,1861028831.79,,50000000.0,,,,,,172473766.8,,172473766.8,1039650.0,,,,1975954.9,4727409.72,1140876.58,15898740.0,,,10353943.09,27393559.67,,,,,,,,,,,,,,53960270.93,,311570612.02,,513800000.0,,,,,,13636360.0,13636360.0,,60374868.5,1666884.87,,,589478113.37,901048725.39,,244596000.0,,,,143140855.12,,,,22576670.4,,,193982923.69,,,604296449.21,355683657.19,959980106.4,1861028831.79,定期报告,未审计,20150829,CNY,合并期末,2020-03-13T15:29:48
20150331,,246865982.02,,,,,,29559295.28,,29559295.28,,451425.6,,,,,,,,,,6401949.46,6401949.46,6316.4,,,,,,283284968.76,,,,,,,,,,,,,,,,,,21130055.6,21130055.6,,123721642.28,,123721642.28,,,,,,1448233275.11,,22644681.99,,,,,1615729654.98,1899014623.74,,50000000.0,,,,,,172419560.92,,172419560.92,1074305.0,,,,2831113.05,13012494.8,1156149.2,,,,8931013.28,10087162.48,,,,,,,,,,,,,,98960270.93,,348384907.18,,513800000.0,,,,,,13636360.0,13636360.0,,60616248.64,1666884.87,,,589719493.51,938104400.69,,244596000.0,,,,143140855.12,,,,22576670.4,,,203988503.4,,,614302028.92,346608194.13,960910223.05,1899014623.74,定期报告,未审计,20150430,CNY,合并期末,2020-03-13T15:29:48
20141231,,221910942.08,,,,,,2726856.78,,2726856.78,,538922.52,,,,,,,,,,5985615.77,5985615.77,505683.4,,,,,,231668020.55,,,,,,,,,,,,,,238629019.66,111002281.49,127626738.17,,17833998.8,17833998.8,,127626738.17,,127626738.17,,,,,,1484737726.64,,22644681.99,,,,,1652843145.6,1884511166.15,,50000000.0,,,,,,173286953.26,,173286953.26,2926694.5,,,,1591750.62,15498662.71,1152098.73,,,,7703751.31,8855850.04,,,,,,,,,,,,,,98960270.93,,351120182.06,,513800000.0,,,,,,13636360.0,13636360.0,,60503577.85,1666884.87,,,589606822.72,940727004.78,,244596000.0,,,,143140855.12,,,,22576670.4,,,196221338.97,,,606534864.49,337249296.88,943784161.37,1884511166.15,定期报告,是,20160331,CNY,合并期末,2020-03-13T15:29:48
20140930,,137725225.15,,,,,,34177602.98,,34177602.98,,418206.95,,,,,,,,,,8279974.82,8279974.82,419734.5,,,,,,181020744.4,,,,,,,,,,,,,,,,,,15335741.6,15335741.6,,134062993.71,,134062993.71,,,,,,1521242178.29,,22644681.99,,,,,1693285595.59,1874306339.99,,50000000.0,,,,,,171454605.26,,171454605.26,,,,,1407112.16,18489472.75,1528791.86,,,,6164995.24,7693787.1,,,,,,,,,,,,,,40445455.0,,289490432.27,,607800000.0,,,,,,18181815.0,18181815.0,,61114947.76,,,2496516.73,689593279.49,979083711.76,,244596000.0,,,,143722534.13,,,,20366185.76,,,164816686.66,,,573501406.55,321721221.68,895222628.23,1874306339.99,定期报告,未审计,20141031,CNY,合并期末,2020-03-13T15:29:48
20140630,,97962748.22,,,,,,33032706.24,,33032706.24,,380801.95,,,,,,,,,,7161996.73,7161996.73,376799.0,,,,,,138915052.14,,,,,,,,,,,,,,244497443.81,106277682.94,138219760.87,,13142027.8,13142027.8,,138219760.87,,138219760.87,,,,,,1560144175.82,,22644681.99,,,,,1734150646.48,1873065698.62,,50000000.0,,,,,,177876182.71,,177876182.71,0.0,,,,1537927.08,16520919.17,1315913.11,9783840.0,,,7741364.31,18841117.42,,,,,,,,,,,,,,40445455.0,,305221601.38,,607800000.0,,,,,,20827415.0,20827415.0,,61561005.76,,,2496516.73,692684937.49,997906538.87,,244596000.0,,,,143722534.13,,,,20366185.76,,,156924700.91,,,565609420.8,309549738.95,875159159.75,1873065698.62,定期报告,未审计,20140830,CNY,合并期末,2020-03-13T15:29:48
