报告日,流动资产,货币资金,结算备付金,拆出资金,交易性金融资产,买入返售金融资产,衍生金融资产,应收票据及应收账款,应收票据,应收账款,应收款项融资,预付款项,应收股利,应收利息,应收保费,应收分保账款,应收分保合同准备金,应收出口退税,应收补贴款,应收保证金,内部应收款,其他应收款,其他应收款(合计),存货,划分为持有待售的资产,待摊费用,待处理流动资产损益,一年内到期的非流动资产,其他流动资产,流动资产合计,非流动资产,发放贷款及垫款,债权投资,其他债权投资,以公允价值计量且其变动计入其他综合收益的金融资产,以摊余成本计量的金融资产,可供出售金融资产,长期股权投资,投资性房地产,长期应收款,其他权益工具投资,其他非流动金融资产,其他长期投资,固定资产原值,累计折旧,固定资产净值,固定资产减值准备,在建工程合计,在建工程,工程物资,固定资产净额,固定资产清理,固定资产及清理合计,生产性生物资产,公益性生物资产,油气资产,合同资产,使用权资产,无形资产,开发支出,商誉,长期待摊费用,股权分置流通权,递延所得税资产,其他非流动资产,非流动资产合计,资产总计,流动负债,短期借款,向中央银行借款,吸收存款及同业存放,拆入资金,交易性金融负债,衍生金融负债,应付票据及应付账款,应付票据,应付账款,预收款项,合同负债,卖出回购金融资产款,应付手续费及佣金,应付职工薪酬,应交税费,应付利息,应付股利,应付保证金,内部应付款,其他应付款,其他应付款合计,其他应交款,担保责任赔偿准备金,应付分保账款,保险合同准备金,代理买卖证券款,代理承销证券款,国际票证结算,国内票证结算,预提费用,预计流动负债,应付短期债券,划分为持有待售的负债,一年内的递延收益,一年内到期的非流动负债,其他流动负债,流动负债合计,非流动负债,长期借款,应付债券,应付债券：优先股,应付债券：永续债,租赁负债,长期应付职工薪酬,长期应付款,长期应付款合计,专项应付款,预计非流动负债,长期递延收益,递延所得税负债,其他非流动负债,非流动负债合计,负债合计,所有者权益,实收资本(或股本),其他权益工具,优先股,永续债,资本公积,减:库存股,其他综合收益,专项储备,盈余公积,一般风险准备,未确定的投资损失,未分配利润,拟分配现金股利,外币报表折算差额,归属于母公司股东权益合计,少数股东权益,所有者权益(或股东权益)合计,负债和所有者权益(或股东权益)总计,数据源,是否审计,公告日期,币种,类型,更新日期
20130930,,1079894745.71,,,,,,644695404.66,5000000.0,639695404.66,,77246649.65,6416887.37,,,,,,,,,21783415.45,28200302.82,236559013.51,,,,,,2066596116.35,,,,,,,2849017279.04,2498063295.69,18754510.72,,,,,,,,,334615835.98,332186103.33,2429732.65,7344409217.62,,7344409217.62,,,,,,305713425.72,,,22117339.59,,30337822.27,91605939.38,13494634666.01,15561230782.36,,805000000.0,,,,,,885621048.98,300000000.0,585621048.98,665851.03,,,,164868537.88,165028047.98,3573458.07,1865116.73,,,149247360.53,154685935.33,,,,,,,,,,,,,,25000000.0,,2200869421.2,,2062500000.0,,,,,,,,,,,440664750.08,32734166.21,2535898916.29,4736768337.49,,2010000000.0,,,,3242981015.54,,,,1483505345.97,,,3609530929.99,,,10346017291.5,478445153.37,10824462444.87,15561230782.36,定期报告,未审计,20131019,CNY,合并期末,2020-03-13T15:29:48
20130630,,989495270.24,,,,,,810189028.82,134500000.0,675689028.82,,64874029.1,89534433.12,,,,,,,,,22296788.99,111831222.11,227091695.28,,,,,1907406.52,2205388652.07,,,,,,,2944108675.64,2209552380.76,19014801.46,,,,,16672107349.68,9051633218.72,7620474130.96,40911796.84,355088353.72,344960078.08,10128275.64,7579562334.12,,7579562334.12,,,,,,308000314.08,,,24124364.71,,31883395.91,77364993.2,13548699613.6,15754088265.67,,795000000.0,,,,,,1002374677.9,300000000.0,702374677.9,713200.5,,,,151418250.52,121820908.02,5904867.18,767960.37,,,103159019.32,109831846.87,,,,,,,,,,,,,,560000000.0,,2741158883.81,,2062500000.0,,,,,,,,,,,485599815.11,33784895.39,2581884710.5,5323043594.31,,2010000000.0,,,,3377786210.65,,,,1483505345.97,,,3112511784.14,,,9983803340.76,447241330.6,10431044671.36,15754088265.67,定期报告,未审计,20130802,CNY,合并期末,2020-03-13T15:29:48
20130331,,974727542.33,,,,,,589990864.86,4500000.0,585490864.86,,14398003.02,38449668.0,,,,,,,,,20425561.71,58875229.71,207291996.5,,,,,,1845283636.42,,,,,,,3463315701.56,2072512962.6,19275092.2,,,,,,,,,261092856.67,250081233.45,11011623.22,7746763591.07,8971.0,7746772562.07,,,,,,309685666.4,,,25162921.08,,44190338.26,100330129.88,14042338230.72,15887621867.14,,1215000000.0,,,,,,602134834.81,,602134834.81,1055453.81,,,,122635368.03,61064011.94,3511436.01,767960.37,,,92639291.71,96918688.09,,,,,,,,,,,,,,685000000.0,,2783808356.68,,2070000000.0,,,,,,,,,,,616047300.75,31621249.78,2717668550.53,5501476907.21,,2010000000.0,,,,3767191480.09,,,,1483505345.97,,,2684852514.87,,,9945549340.93,440595619.0,10386144959.93,15887621867.14,定期报告,未审计,20130420,CNY,合并期末,2020-03-13T15:29:48
20121231,,637733634.03,,,,,,942152732.38,4000000.0,938152732.38,,11881684.14,264704998.35,,,,,,,,,23500037.11,288205035.46,235885264.28,,,,,,2115858350.29,,,,,,,3486500268.72,1988752160.25,19535382.94,,,,,16722179066.13,8736286849.36,7985892216.77,40911796.84,184627678.88,174904516.89,9723161.99,7944980419.93,,7944980419.93,,,,,,311972760.77,,,26289889.3,,52495735.22,77793506.2,14092947802.21,16208806152.5,,1377000000.0,,,,,,768796885.33,,768796885.33,1236363.85,,,,141055881.74,90397951.89,7951584.69,767960.37,,,88785207.98,97504753.04,,,,,,,,,,,,,,725000000.0,,3200991835.85,,2070000000.0,,,,,,,,,,,621843442.54,32612603.95,2724456046.49,5925447882.34,,2010000000.0,,,,3784579905.46,,,,1483505345.97,,,2573987170.22,,,9852072421.65,431285848.51,10283358270.16,16208806152.5,定期报告,是,20131019,CNY,合并期末,2020-03-13T15:29:48
20120930,,778896727.75,,,,,,827085579.65,3800000.0,823285579.65,,142878145.7,199668.0,,,,,,,,,195572183.59,195771851.59,252042634.92,,,,,,2196674939.61,,,,,,,2735103631.44,2115647200.36,19795673.68,,,,,,,,,312733340.48,301586753.28,11146587.2,7886633727.42,2738648.46,7889372375.88,,,,,,290376651.3,,,19647327.92,,59028125.61,,13441704326.67,15638379266.28,,2115000000.0,,,,,,361777455.95,250000000.0,111777455.95,963482.9,,,,137390598.68,39227873.78,4468074.72,767960.37,,,512488003.38,517724038.47,,,,,,,,,,,,,,340000000.0,,3512083449.78,,1995000000.0,,,,,,,,,,,436952408.23,30873958.12,2462826366.35,5974909816.13,,2010000000.0,,,,3221032427.5,,,,1408556267.82,,,2598562498.81,,,9238151194.13,425318256.02,9663469450.15,15638379266.28,定期报告,未审计,20121027,CNY,合并期末,2020-03-13T15:29:48
20120630,,682605700.72,,,,,,686610031.55,4800000.0,681810031.55,,63020438.19,199668.0,,,,,,,,,174027604.3,174227272.3,269734900.91,,,,,,1876198343.67,,,,,,,2934852504.24,2009036241.08,20055964.42,,,,,15244104965.15,8397709646.2,6846395318.95,48505100.0,1003159929.91,983558717.34,19601212.57,6797890218.95,46600412.41,6844490631.36,,,,,,292383352.58,,,20519041.98,,113196119.98,,13237693785.55,15113892129.22,,2150000000.0,,,,,,417921811.43,200000000.0,217921811.43,879298.55,,,,122653673.42,-29677429.78,4463423.96,767960.37,,,82345727.44,87577111.77,,,,,,,,,,,,,,466000000.0,,3215354465.39,,1915000000.0,,,,,,,,,,,486889626.43,29986978.95,2431876605.38,5647231070.77,,2010000000.0,,,,3370844082.1,,,,1408556267.82,,,2253790556.73,,,9043190906.65,423470151.8,9466661058.45,15113892129.22,定期报告,未审计,20120823,CNY,合并期末,2020-03-13T15:29:48
20120331,,528169543.49,,,,,,699819855.62,10694794.31,689125061.31,,496255980.39,199668.0,,,,,,,,,57196343.68,57396011.68,228387094.23,,,,,,2010028485.41,,,,,,,3046184725.88,1956795047.22,20316255.16,,,,,,,,,272155023.87,264495937.84,7659086.03,7021051940.4,19286908.12,7040338848.52,,,,,,294017165.57,,,21261074.13,,113427993.57,,12764496133.92,14774524619.33,,1220000000.0,,,,,,489582347.55,100000000.0,389582347.55,329624.09,,,,108631215.3,107119436.02,4410300.33,767960.37,,,77600194.56,82778455.26,,,,,,,,,,,,,,896400000.0,,2904841078.22,,1915000000.0,,,,,,,,,,,514722681.84,30937499.79,2460660181.63,5365501259.85,,2010000000.0,,,,3454343248.33,,,,1408556267.82,,,2113204620.23,,,8986104136.38,422919223.1,9409023359.48,14774524619.33,定期报告,未审计,20120421,CNY,合并期末,2020-03-13T15:29:48
20111231,,734652355.18,,,,,,625552396.88,13009794.31,612542602.57,,229485861.23,199668.0,,,,,,,,,51620172.54,51819840.54,298852692.49,,,,,,1940363146.32,,,,,,,3042203088.16,1904181109.9,20576545.9,,,,,15368375840.95,8108900006.18,7259475834.77,48505100.0,217643008.98,211131204.76,6511804.22,7210970734.77,19181316.1,7230152050.87,,,,,,296327246.88,,,21923631.08,,118102453.48,,12851109135.25,14791472281.57,,1245000000.0,,,,,,433935753.22,100000000.0,333935753.22,294559.67,,,,113779250.35,77111991.85,7679836.38,767960.37,,,62716197.1,71163993.85,,,,,,,,,,,,,,1149300000.0,,3090585548.94,,1915000000.0,,,,,,,,,,,508897722.41,31888020.63,2455785743.04,5546371291.98,,2010000000.0,,,,3436868370.04,,,,1408556267.82,,,1972258698.91,,,8827683336.77,417417652.82,9245100989.59,14791472281.57,定期报告,是,20130221,CNY,合并期末,2020-03-13T15:29:48
20110930,,928240024.48,,,,,,613022707.57,10670000.0,602352707.57,,141844429.15,199668.0,,,,,,,,,62562125.83,62761793.83,241460906.59,,,,,,1987329861.62,,,,,,,2995174267.2,1860229242.04,20836836.64,,,,,,,,,116566464.29,108934308.94,7632155.35,7282361003.27,17499428.95,7299860432.22,,,,,,257062063.58,,,22693465.48,,112260274.0,,12684683045.45,14672012907.07,,1030000000.0,,,,,,261433536.01,,261433536.01,334770.09,,,,112141820.22,73832074.68,3115811.28,767960.37,,,85174483.17,89058254.82,,,,,,,,,,,,,,292300000.0,,1859100455.82,,3004300000.0,,,,,,,,,,,498681975.5,32838541.47,3535820516.97,5394920972.79,,2010000000.0,,,,3401596754.32,,,,1383386949.84,,,2057353684.8,,,8852337388.96,424754545.32,9277091934.28,14672012907.07,定期报告,未审计,20111022,CNY,合并期末,2020-03-13T15:29:48
20110630,,855381978.83,,,,,,614693977.1,8750000.0,605943977.1,,110593915.58,199668.0,,,,,,,,,31414228.12,31613896.12,236622401.01,,,,,,1848906168.64,,,,,,,3373236748.22,1925594949.38,21097127.38,,,,,15262540335.86,7754919809.76,7507620526.1,48505100.0,91757422.49,83998397.12,7759025.37,7459115426.1,19296274.96,7478411701.06,,,,,,259180435.72,,,24519821.92,,103167120.81,,13276965326.98,15125871495.62,,880000000.0,,,,,,517227920.05,,517227920.05,377276.26,,,,109144080.86,48576354.41,3682305.04,2180653.62,,,96678209.37,102541168.03,,,,,,,,,,,,,,375000000.0,,2032866799.61,,3004300000.0,,,,,,,,,,,593197595.75,33789062.31,3631286658.06,5664153457.67,,2010000000.0,,,,3685143615.09,,,,1383386949.84,,,1950387032.74,,,9028917597.67,432800440.28,9461718037.95,15125871495.62,定期报告,未审计,20110827,CNY,合并期末,2020-03-13T15:29:48
