日期,代码,方向,成交价,成交额,费用,因子值,未来1天收益,未来1周收益,未来1月收益,备注
2013-01-04,sh.600565,买入,3.8,9880.0,5.0988,3.8,0.0052631578947368585,-0.010526315789473717,0.044736842105263186,调仓买入
2013-01-04,sz.002210,买入,5.08,9652.0,5.09652,5.08,0.009842519685039353,-0.013779527559055205,0.011811023622047223,调仓买入
2013-01-04,sz.002276,买入,5.18,9842.0,5.09842,5.18,0.007722007722007707,-0.007722007722007707,0.044401544401544424,调仓买入
2013-01-04,sz.000748,买入,5.26,9468.0,5.09468,5.26,0.005703422053231932,-0.009505703422053147,0.31558935361216744,调仓买入
2013-01-04,sz.000539,买入,5.86,9962.0,5.09962,5.86,-0.010238907849829393,-0.03583617747440271,0.0887372013651877,调仓买入
2013-02-08,sz.000748,卖出,7.29,13122.0,11.692219999999999,,,,,调仓卖出
2013-02-08,sh.600108,买入,6.99,13980.0,5.1398,6.99,0.005722460658083017,0.03433476394849788,-0.06723891273247506,调仓买入
2013-02-22,sh.600108,卖出,7.23,14460.0,12.374600000000001,,,,,调仓卖出
2013-02-22,sz.000537,买入,6.83,14343.0,5.14343,6.83,-0.017569546120058566,-0.013177159590043952,-0.09516837481698392,调仓买入
2013-03-29,sz.000537,卖出,6.45,13545.0,11.90795,,,,,调仓卖出
2013-03-29,sh.600108,买入,6.37,13377.0,5.13377,6.37,0.03296703296703285,0.02511773940345363,0.014128728414442682,调仓买入
2013-04-03,sz.002210,卖出,5.2,9880.0,10.0388,,,,,调仓卖出
2013-04-03,sz.002276,卖出,4.98,9462.0,9.82562,,,,,调仓卖出
2013-04-03,sz.000539,卖出,5.59,9503.0,9.846530000000001,,,,,调仓卖出
2013-04-03,sh.600108,卖出,6.35,13335.0,11.80085,,,,,调仓卖出
2013-04-03,sz.000682,买入,3.0,10500.0,5.105,3.0,-0.009999999999999898,-0.0033333333333332993,0.01333333333333342,调仓买入
2013-04-03,sh.600208,买入,3.29,10528.0,5.10528,3.29,-0.01823708206686936,0.015197568389057725,0.045592705167173175,调仓买入
2013-04-03,sh.600759,买入,4.64,10208.0,5.10208,4.64,-0.010775862068965525,0.0021551724137931494,-0.023706896551723977,调仓买入
2013-04-03,sz.000534,买入,5.08,10160.0,5.1016,5.08,-0.007874015748031482,-0.003937007874015852,0.0059055118110236116,调仓买入
2013-04-26,sz.000534,卖出,5.3,10600.0,10.405999999999999,,,,,调仓卖出
2013-04-26,sh.600790,买入,5.28,11616.0,5.11616,5.28,0.017045454545454586,0.04734848484848486,0.16287878787878785,调仓买入
2013-05-03,sh.600790,卖出,5.45,11990.0,11.1149,,,,,调仓卖出
2013-05-03,sz.000534,买入,5.13,11799.0,5.11799,5.13,-0.009746588693957059,-0.015594541910331383,0.14035087719298245,调仓买入
2013-05-31,sz.000534,卖出,5.85,13455.0,11.86205,,,,,调仓卖出
2013-05-31,sz.000905,买入,5.67,13608.0,5.13608,5.67,0.0017636684303350414,-0.04761904761904756,-0.18165784832451504,调仓买入
2013-06-07,sz.000905,卖出,5.4,12960.0,11.6096,,,,,调仓卖出
2013-06-07,sz.000534,买入,5.31,12743.999999999998,5.12744,5.31,0.07156308851224114,0.06403013182674222,-0.1468926553672315,调仓买入
2013-06-14,sz.000534,卖出,5.58,13392.0,11.82992,,,,,调仓卖出
2013-06-14,sz.000905,买入,5.42,13550.0,5.1355,5.42,0.023985239852398532,-0.01291512915129156,-0.06642066420664217,调仓买入
2013-06-21,sz.000905,卖出,5.35,13375.0,11.82125,,,,,调仓卖出
2013-06-21,sz.000534,买入,5.03,13581.0,5.13581,5.03,-0.09145129224652082,-0.10735586481113324,-0.11530815109343939,调仓买入
2013-07-05,sh.600565,卖出,3.65,9490.0,9.8399,,,,,调仓卖出
2013-07-05,sh.600208,卖出,3.38,10816.0,10.51616,,,,,调仓卖出
2013-07-05,sh.600759,卖出,4.51,9922.0,10.060220000000001,,,,,调仓卖出
2013-07-05,sz.000534,卖出,4.65,12555.000000000002,11.40305,,,,,调仓卖出
2013-07-05,sh.600795,买入,2.26,10621.999999999998,5.10622,2.26,-0.0265486725663715,0.03539823008849563,0.008849557522123908,调仓买入
2013-07-05,sz.000100,买入,2.27,10442.0,5.10442,2.27,-0.04405286343612336,-0.008810572687224627,-0.04405286343612336,调仓买入
2013-07-05,sh.600609,买入,2.96,10656.0,5.10656,2.96,-0.05067567567567566,-0.010135135135135087,0.006756756756756799,调仓买入
2013-07-05,sh.600398,买入,3.08,10472.0,5.10472,3.08,-0.032467532467532534,0.006493506493506551,0.006493506493506551,调仓买入
2013-09-06,sh.600398,卖出,4.99,16966.0,13.652660000000001,,,,,调仓卖出
2013-09-06,sh.601668,买入,3.2,17280.0,5.1728,3.2,0.031249999999999778,0.05624999999999991,0.021874999999999867,调仓买入
2013-09-30,sh.600795,卖出,2.32,10904.0,10.56104,,,,,调仓卖出
2013-09-30,sh.600609,卖出,3.27,11772.0,11.003720000000001,,,,,调仓卖出
2013-09-30,sh.601668,卖出,3.22,17388.0,13.86788,,,,,调仓卖出
2013-09-30,sh.600839,买入,2.11,13293.0,5.13293,2.11,0.009478672985782088,0.028436018957346043,0.2654028436018958,调仓买入
2013-09-30,sz.000301,买入,3.21,13161.0,5.13161,3.21,0.031152647975077885,0.10903426791277271,0.07476635514018692,调仓买入
2013-09-30,sz.000031,买入,3.88,13192.0,5.13192,3.88,0.02577319587628879,0.02577319587628879,-0.03865979381443296,调仓买入
2013-10-11,sz.000031,卖出,4.03,13702.0,11.988019999999999,,,,,调仓卖出
2013-10-11,sh.600565,买入,4.01,14035.0,5.14035,4.01,-0.009975062344139585,-0.029925187032418865,-0.1271820448877805,调仓买入
2014-01-03,sh.600839,卖出,2.8,17640.0,13.996400000000001,,,,,调仓卖出
2014-01-03,sh.600795,买入,2.3,17710.0,5.1771,2.3,-0.01304347826086949,-0.021739130434782483,0.0,调仓买入
2014-03-07,sh.600565,卖出,3.66,12810.0,11.533100000000001,,,,,调仓卖出
2014-03-07,sz.000031,买入,3.27,12753.0,5.12753,3.27,-0.03669724770642202,-0.00917431192660545,0.07339449541284404,调仓买入
2014-04-04,sz.000682,卖出,3.22,11270.0,10.7477,,,,,调仓卖出
2014-04-04,sz.000301,卖出,3.35,13735.0,12.00485,,,,,调仓卖出
2014-04-04,sh.600795,卖出,2.35,18095.0,14.228449999999999,,,,,调仓卖出
2014-04-04,sz.000031,卖出,3.51,13689.0,11.981390000000001,,,,,调仓卖出
2014-04-04,sh.600512,买入,3.0,14100.0,5.141,3.0,0.010000000000000009,0.01333333333333342,-0.053333333333333344,调仓买入
2014-04-04,sz.000767,买入,3.49,13960.0,5.1396,3.49,0.005730659025787732,-0.02005730659025795,-0.19770773638968486,调仓买入
2014-04-04,sh.600565,买入,3.59,14001.0,5.14001,3.59,0.0027855153203342198,0.0055710306406684396,-0.07520891364902504,调仓买入
2014-04-04,sh.600578,买入,3.6,14040.0,5.1404,3.6,0.019444444444444375,0.0,-0.061111111111111116,调仓买入
2014-04-11,sh.600578,卖出,3.63,14157.0,12.22007,,,,,调仓卖出
2014-04-11,sh.600743,买入,3.45,14835.0,5.14835,3.45,0.011594202898550732,-0.02898550724637683,-0.08695652173913049,调仓买入
2014-05-09,sh.600565,卖出,3.55,13845.0,12.06095,,,,,调仓卖出
2014-05-09,sh.600578,买入,3.37,13817.0,5.13817,3.37,0.026706231454005858,0.017804154302670572,-0.011869436201780381,调仓买入
2014-05-16,sh.600578,卖出,3.43,14063.0,12.17213,,,,,调仓卖出
2014-05-16,sh.600565,买入,3.38,13858.0,5.13858,3.38,-0.008875739644970349,0.01479289940828421,-0.008875739644970349,调仓买入
2014-05-23,sh.600565,卖出,3.43,14063.0,12.17213,,,,,调仓卖出
2014-05-23,sh.600578,买入,3.4,14280.0,5.1428,3.4,-0.002941176470588225,-0.01764705882352946,-0.044117647058823484,调仓买入
2014-06-06,sh.600578,卖出,3.35,14070.0,12.175699999999999,,,,,调仓卖出
2014-06-06,sh.600565,买入,3.3,13860.0,5.1386,3.3,0.0,0.00909090909090926,0.0181818181818183,调仓买入
2014-06-27,sh.600565,卖出,3.29,13818.0,12.04718,,,,,调仓卖出
2014-06-27,sh.600578,买入,3.27,13734.0,5.13734,3.27,0.00917431192660545,0.01834862385321112,0.11314984709480136,调仓买入
2014-07-04,sz.000100,卖出,2.31,10626.0,10.41926,,,,,调仓卖出
2014-07-04,sh.600512,卖出,2.8,13160.0,11.7116,,,,,调仓卖出
2014-07-04,sz.000767,卖出,2.77,11080.0,10.6508,,,,,调仓卖出
2014-07-04,sh.600743,卖出,2.85,12255.0,11.250050000000002,,,,,调仓卖出
2014-07-04,sh.600578,卖出,3.33,13986.0,12.13286,,,,,调仓卖出
2014-07-04,sh.600567,买入,2.0,12200.0,5.122,2.0,-0.0050000000000000044,-0.020000000000000018,0.010000000000000009,调仓买入
2014-07-04,sz.000882,买入,2.95,12095.0,5.12095,2.95,-0.016949152542372947,-0.003389830508474634,0.04067796610169472,调仓买入
2014-07-04,sh.600565,买入,3.36,12096.0,5.12096,3.36,0.008928571428571397,0.03571428571428581,0.0714285714285714,调仓买入
2014-07-04,sh.600223,买入,3.59,12206.0,5.12206,3.59,0.0027855153203342198,0.0055710306406684396,0.139275766016713,调仓买入
2014-07-04,sh.600863,买入,3.75,12000.0,5.12,3.75,-0.002666666666666595,0.021333333333333426,-0.29066666666666663,调仓买入
2014-09-30,sh.600567,卖出,2.5,15250.0,12.7775,,,,,调仓卖出
2014-09-30,sz.000882,卖出,3.72,15252.0,12.77852,,,,,调仓卖出
2014-09-30,sh.600565,卖出,4.56,16416.0,13.372160000000001,,,,,调仓卖出
2014-09-30,sh.600863,卖出,3.09,9888.0,10.04288,,,,,调仓卖出
2014-09-30,sz.000979,买入,4.33,14289.0,5.14289,4.33,0.020785219399538146,0.09006928406466508,0.04618937644341803,调仓买入
2014-09-30,sh.600724,买入,5.18,13986.0,5.13986,5.18,0.01930501930501949,0.02316602316602312,-0.021235521235521082,调仓买入
2014-09-30,sh.601766,买入,5.26,14202.0,5.14202,5.26,0.0076045627376426506,0.005703422053231932,0.102661596958175,调仓买入
2014-09-30,sh.600376,买入,5.51,14326.0,5.14326,5.51,0.014519056261343088,0.04900181488203281,0.06170598911070768,调仓买入
2014-10-10,sh.600376,卖出,5.79,15054.0,12.67754,,,,,调仓卖出
2014-10-10,sh.600039,买入,4.88,15616.0,5.15616,4.88,0.018442622950819665,-0.0348360655737705,-0.030737704918032627,调仓买入
2014-10-17,sh.601766,卖出,5.77,15578.999999999998,12.94529,,,,,调仓卖出
2014-10-17,sh.600376,买入,5.57,15596.0,5.15596,5.57,0.008976660682226134,-0.030520646319569078,0.0825852782764811,调仓买入
2014-10-31,sh.600376,卖出,5.78,16184.0,13.25384,,,,,调仓卖出
2014-10-31,sz.000046,买入,5.64,15792.0,5.15792,5.64,0.02659574468085113,0.054964539007092306,0.45390070921985815,调仓买入
2014-11-07,sz.000046,卖出,5.95,16660.0,13.4966,,,,,调仓卖出
2014-11-07,sh.600376,买入,5.76,16704.0,5.16704,5.76,0.02604166666666674,0.046875,0.2586805555555556,调仓买入
2014-11-28,sh.600376,卖出,7.32,21228.0,16.13328,,,,,调仓卖出
2014-11-28,sh.600187,买入,6.68,21376.0,5.55776,6.68,0.011976047904191711,-0.02395209580838331,0.13772455089820368,调仓买入
2014-12-19,sh.600187,卖出,6.87,21984.0,16.70784,,,,,调仓卖出
2014-12-19,sh.600979,买入,6.57,21681.0,5.63706,6.57,-0.019786910197869045,0.03196347031963476,-0.05327245053272456,调仓买入
2014-12-31,sh.600223,卖出,6.62,22508.0,17.10608,,,,,调仓卖出
2014-12-31,sz.000979,卖出,4.55,15015.0,12.65765,,,,,调仓卖出
2014-12-31,sh.600039,卖出,5.46,17472.0,13.910720000000001,,,,,调仓卖出
2014-12-31,sh.600601,买入,4.68,18252.0,5.18252,4.68,0.014957264957265126,0.010683760683760868,0.10470085470085477,调仓买入
2014-12-31,sz.000767,买入,5.51,18183.0,5.18183,5.51,0.007259528130671544,-0.074410163339383,0.005444646098003769,调仓买入
2015-01-09,sh.600979,卖出,6.58,21714.0,16.50264,,,,,调仓卖出
2015-01-09,sz.000533,买入,5.29,20102.0,5.22652,5.29,-0.020793950850661713,-0.017013232514177634,-0.056710775047258966,调仓买入
2015-01-09,sz.000678,买入,6.27,20064.0,5.21664,6.27,-0.04306220095693769,-0.023923444976076458,-0.019138755980861122,调仓买入
2015-01-16,sz.000678,卖出,6.12,19584.0,14.98784,,,,,调仓卖出
2015-01-16,sz.000558,买入,5.35,19795.0,5.19795,5.35,-0.0803738317757009,-0.05046728971962611,-0.009345794392523366,调仓买入
2015-01-23,sh.600724,卖出,5.41,14607.0,12.449570000000001,,,,,调仓卖出
2015-01-30,sh.600724,买入,5.34,14418.0,5.14418,5.34,-0.0074906367041198685,-0.054307116104868935,0.03745318352059934,调仓买入
2015-03-06,sz.000558,卖出,6.57,24309.0,18.47484,,,,,调仓卖出
2015-03-06,sh.600052,买入,6.49,24662.0,6.41212,6.49,0.016949152542372836,0.05855161787365182,0.18335901386748832,调仓买入
2015-03-20,sh.600601,卖出,8.46,32994.0,25.07544,,,,,调仓卖出
2015-03-20,sz.000558,买入,7.56,32508.0,8.45208,7.56,0.029100529100529293,0.09788359788359813,0.48015873015873023,调仓买入
2015-03-27,sz.000558,卖出,8.3,35690.0,27.124399999999998,,,,,调仓卖出
2015-03-27,sh.600187,买入,8.2,36080.0,9.380799999999999,8.2,0.017073170731707332,0.04756097560975614,0.1073170731707318,调仓买入
2015-04-03,sz.000767,卖出,6.46,21318.0,16.201680000000003,,,,,调仓卖出
2015-04-03,sz.000533,卖出,7.49,28462.0,21.63112,,,,,调仓卖出
2015-04-03,sh.600724,卖出,6.87,18549.0,14.45999,,,,,调仓卖出
2015-04-03,sh.600052,卖出,7.68,29184.0,22.17984,,,,,调仓卖出
2015-04-03,sh.600187,卖出,8.59,37796.0,28.72496,,,,,调仓卖出
2015-04-03,sh.600020,买入,5.74,26978.0,7.01428,5.74,0.06794425087108014,0.1428571428571428,0.3292682926829267,调仓买入
2015-04-03,sh.600236,买入,6.91,26949.0,7.006740000000001,6.91,0.01447178002894356,0.052098408104196636,0.20115774240231565,调仓买入
2015-04-03,sh.600396,买入,8.25,26400.0,6.864000000000001,8.25,0.024242424242424176,-0.002424242424242329,0.040000000000000036,调仓买入
2015-04-03,sz.000637,买入,8.98,26940.0,7.0044,8.98,0.015590200445434244,0.00445434298440972,0.12249443207126953,调仓买入
2015-04-03,sz.000558,买入,9.29,26940.999999999996,7.0046599999999986,9.29,0.1001076426264802,0.30032292787944037,0.29171151776103343,调仓买入
2015-04-10,sz.000558,卖出,12.09,35061.0,26.64636,,,,,调仓卖出
2015-04-10,sh.600982,买入,8.95,35800.0,9.308000000000002,8.95,0.024581005586592264,0.012290502793296243,-0.027932960893854775,调仓买入
2015-04-17,sz.000637,卖出,9.6,28800.0,21.888,,,,,调仓卖出
2015-04-17,sh.600565,买入,8.59,28347.0,7.370220000000001,8.59,-0.03725261932479629,0.033760186263096736,0.38067520372526187,调仓买入
2015-05-08,sh.600565,卖出,9.59,31647.0,24.051720000000003,,,,,调仓卖出
2015-05-08,sh.600173,买入,9.31,31654.0,8.23004,9.31,0.03437164339419985,0.03866809881847466,0.4156820622986035,调仓买入
2015-05-15,sh.600173,卖出,9.67,32878.0,24.98728,,,,,调仓卖出
2015-05-15,sz.000637,买入,9.58,32572.0,8.468720000000001,9.58,-0.0052192066805846205,0.13569937369519836,0.45093945720250517,调仓买入
2015-05-22,sz.000637,卖出,10.88,36992.0,28.11392,,,,,调仓卖出
2015-05-22,sh.600173,买入,10.84,36856.0,9.58256,10.84,0.047970479704797064,0.2158671586715868,0.05904059040590415,调仓买入
2015-05-29,sh.600173,卖出,13.18,44812.0,34.05712,,,,,调仓卖出
2015-05-29,sz.000637,买入,10.1,45450.0,11.817,10.1,0.10000000000000009,0.25643564356435644,0.18118811881188113,调仓买入
2015-06-12,sz.000637,卖出,13.9,62550.0,47.538000000000004,,,,,调仓卖出
2015-06-19,sh.600173,买入,11.48,61992.0,16.11792,11.48,-0.04965156794425085,-0.2447735191637631,-0.32229965156794427,调仓买入
2015-07-03,sh.600020,卖出,5.75,27025.0,20.539,,,,,调仓卖出
2015-07-03,sz.000725,买入,4.06,27607.999999999996,7.17808,4.06,-0.004926108374384119,-0.10344827586206884,-0.08866995073891615,调仓买入
2015-07-10,sh.600236,卖出,8.06,31434.000000000004,23.889840000000003,,,,,调仓卖出
2015-07-10,sh.600396,卖出,8.2,26239.999999999996,19.9424,,,,,调仓卖出
2015-07-10,sh.600982,卖出,5.94,23760.0,18.0576,,,,,调仓卖出
2015-07-17,sh.600173,卖出,7.08,38232.0,29.05632,,,,,调仓卖出
2015-07-17,sh.600208,买入,5.86,29300.0,7.618,5.86,0.015358361774743923,0.07337883959044356,0.10068259385665534,调仓买入
2015-07-17,sz.000572,买入,7.28,29848.0,7.760479999999999,7.28,-0.015109890109890167,-0.017857142857142794,0.09615384615384626,调仓买入
2015-07-17,sh.601872,买入,7.61,29679.0,7.71654,7.61,0.06307490144546635,0.1353482260183969,0.3193166885676739,调仓买入
2015-07-17,sh.600162,买入,7.64,29796.0,7.74696,7.64,0.0327225130890052,0.053664921465968796,0.1361256544502618,调仓买入
2015-08-14,sh.601872,卖出,10.04,39156.0,29.75856,,,,,调仓卖出
2015-08-14,sh.600048,买入,9.78,40098.0,10.42548,9.78,0.014314928425357865,-0.12269938650306744,-0.18302658486707557,调仓买入
2015-08-21,sh.600048,卖出,8.58,35178.0,26.735279999999996,,,,,调仓卖出
2015-08-21,sh.601872,买入,8.34,35028.0,9.10728,8.34,-0.09952038369304561,-0.10791366906474809,-0.16666666666666663,调仓买入
2015-09-18,sh.601872,卖出,6.59,27678.0,21.03528,,,,,调仓卖出
2015-09-18,sh.600353,买入,6.13,27585.0,7.1721,6.13,0.09951060358890707,0.04404567699836881,0.4339314845024469,调仓买入
2015-09-30,sz.000572,卖出,5.76,23616.0,17.94816,,,,,调仓卖出
2015-09-30,sh.600162,卖出,6.14,23946.0,18.19896,,,,,调仓卖出
2015-09-30,sh.600353,卖出,6.31,28395.0,21.580199999999998,,,,,调仓卖出
2015-09-30,sz.000959,买入,3.85,25025.0,6.506500000000001,3.85,0.025974025974025983,0.020779220779220786,-0.04935064935064937,调仓买入
2015-09-30,sh.600020,买入,5.23,25104.000000000004,6.52704,5.23,0.030592734225621365,0.0669216061185467,0.14531548757170176,调仓买入
2015-09-30,sz.000429,买入,5.39,25333.0,6.5865800000000005,5.39,0.03339517625231925,0.06864564007421148,0.23747680890538048,调仓买入
2015-11-06,sz.000429,卖出,6.77,31818.999999999996,24.182439999999996,,,,,调仓卖出
2015-11-06,sz.000671,买入,6.46,32300.0,8.398,6.46,-0.003095975232198067,0.02941176470588247,0.21052631578947367,调仓买入
