日期,代码,方向,成交价,成交额,费用,因子值,未来1天收益,未来1周收益,未来1月收益,备注
2010-02-05,sh.600209,买入,14.79,4437.0,5.04437,0.7949029126213591,0.10006761325219737,0.15551048005409074,-0.014198782961460377,调仓买入
2010-02-05,sh.600552,买入,34.35,3435.0,5.03435,0.7498726439123791,-0.048326055312954974,-0.09199417758369721,0.009606986899563186,调仓买入
2010-02-05,sz.000735,买入,11.45,4580.0,5.0458,0.719219219219219,0.10043668122270755,0.10043668122270755,-0.125764192139738,调仓买入
2010-02-05,sz.000886,买入,10.0,4000.0,5.04,0.3966480446927374,0.0,0.0009999999999998899,-0.09499999999999997,调仓买入
2010-02-05,sh.600373,买入,16.52,4956.0,5.04956,0.38940285954583675,0.017554479418886215,0.03389830508474567,-0.0714285714285714,调仓买入
2010-02-05,sh.600133,买入,17.62,3524.0,5.03524,0.34812547819433814,-0.08910329171396136,0.05618615209988631,-0.3473325766174802,调仓买入
2010-02-05,sz.000523,买入,10.88,4352.0,5.04352,0.33007334963325197,0.0431985294117645,-0.04687500000000011,0.0900735294117645,调仓买入
2010-02-05,sh.600012,买入,7.6,4560.0,5.0456,0.3080895008605853,0.010526315789473717,-0.02894736842105261,-0.051315789473684204,调仓买入
2010-02-12,sh.600373,卖出,17.08,5123.999999999999,7.613239999999999,,,,,调仓卖出
2010-02-12,sz.000523,卖出,10.37,4148.0,7.11548,,,,,调仓卖出
2010-02-12,sh.600012,卖出,7.38,4428.0,7.258279999999999,,,,,调仓卖出
2010-02-12,sh.600692,买入,12.74,5096.0,5.05096,0.3847826086956523,0.03532182103610659,0.09419152276295129,0.06985871271585564,调仓买入
2010-02-12,sh.600403,买入,17.45,5235.0,5.05235,0.34541249036237454,0.027507163323782224,0.21891117478510025,0.13753581661891134,调仓买入
2010-02-12,sz.002198,买入,30.12,3012.0,5.03012,0.31070496083550925,-0.0073041168658699585,-0.03751660026560433,-0.12217795484727756,调仓买入
2010-02-26,sh.600552,卖出,35.74,3574.0,6.82274,,,,,调仓卖出
2010-02-26,sz.000886,卖出,9.44,3776.0,6.9257599999999995,,,,,调仓卖出
2010-02-26,sh.600133,卖出,20.29,4058.0,7.06958,,,,,调仓卖出
2010-02-26,sh.600692,卖出,13.94,5576.0,7.8437600000000005,,,,,调仓卖出
2010-02-26,sz.002198,卖出,28.99,2899.0,6.478490000000001,,,,,调仓卖出
2010-02-26,sh.600545,买入,15.09,4527.0,5.04527,0.6527929901423877,0.008614976805831676,-0.039098740888005246,-0.08084824387011269,调仓买入
2010-02-26,sz.000632,买入,9.71,4855.0,5.04855,0.5437201907790143,0.016477857878475666,-0.09371781668383106,-0.20082389289392388,调仓买入
2010-02-26,sz.000639,买入,22.65,4530.0,5.0453,0.4380952380952381,0.04768211920529808,0.026490066225165698,0.016777041942604987,调仓买入
2010-02-26,sz.000151,买入,13.8,4140.0,5.0414,0.40816326530612246,-0.01521739130434785,-0.04492753623188417,-0.03985507246376818,调仓买入
2010-03-05,sh.600209,卖出,14.85,4455.0,7.27205,,,,,调仓卖出
2010-03-05,sz.000735,卖出,10.34,4136.0,7.109360000000001,,,,,调仓卖出
2010-03-05,sz.000151,卖出,13.18,3954.0,7.01654,,,,,调仓卖出
2010-03-05,sz.000753,买入,10.39,4156.0,5.04156,0.5279411764705884,0.010587102983637964,-0.02694898941289714,-0.09913378248315696,调仓买入
2010-03-05,sh.600039,买入,12.07,4828.0,5.04828,0.4648058252427185,0.07125103562551782,-0.03396851698425851,-0.09610604805302403,调仓买入
2010-03-05,sz.000627,买入,11.71,4684.0,5.04684,0.46009975062344166,0.0076857386848847575,-0.017933390264731064,0.13492741246797602,调仓买入
2010-03-05,sh.600821,买入,7.71,4626.0,5.04626,0.3866906474820144,0.016861219195849486,-0.04928664072632938,-0.06095979247730221,调仓买入
2010-03-05,sh.600781,买入,16.23,4869.0,5.04869,0.36731255265374907,0.036968576709796475,-0.04559457794208255,-0.026494146642020877,调仓买入
2010-03-12,sh.600403,卖出,18.69,5607.0,7.85957,,,,,调仓卖出
2010-03-12,sh.600545,卖出,14.47,4341.0,7.21391,,,,,调仓卖出
2010-03-12,sz.000632,卖出,8.53,4265.0,7.17515,,,,,调仓卖出
2010-03-12,sz.000639,卖出,22.39,4478.0,7.28378,,,,,调仓卖出
2010-03-12,sh.600821,卖出,7.33,4398.0,7.24298,,,,,调仓卖出
2010-03-12,sh.600781,卖出,15.49,4647.0,7.36997,,,,,调仓卖出
2010-03-12,sh.600680,买入,14.69,4407.0,5.04407,0.42898832684824906,0.02042205582028589,0.05377808032675291,0.055139550714772056,调仓买入
2010-03-12,sz.000815,买入,13.14,3942.0,5.03942,0.40234791889007493,0.007610350076103556,0.028158295281582868,0.1339421613394216,调仓买入
2010-03-12,sh.600379,买入,13.47,4041.0,5.04041,0.38437821171634123,0.09948032665181894,0.3556050482553823,0.40608760207869343,调仓买入
2010-03-12,sz.000519,买入,22.8,4560.0,5.0456,0.3652694610778444,-0.07894736842105265,-0.011842105263157876,-0.08991228070175439,调仓买入
2010-03-12,sz.002199,买入,25.58,2558.0,5.02558,0.3548728813559321,-0.010946051602814588,0.13956215793588744,0.05824863174354977,调仓买入
2010-03-12,sh.600220,买入,7.06,4942.0,5.04942,0.34732824427480913,-0.031161473087818692,-0.019830028328611804,-0.06090651558073645,调仓买入
2010-03-19,sz.000753,卖出,10.0,4000.0,7.04,,,,,调仓卖出
2010-03-19,sz.000627,卖出,11.7,4680.0,7.3868,,,,,调仓卖出
2010-03-19,sz.000519,卖出,22.53,4506.0,7.29806,,,,,调仓卖出
2010-03-19,sz.002199,卖出,29.15,2915.0,6.486649999999999,,,,,调仓卖出
